Source Domain,Source Element,Relationship,Target Domain,Target Element,Cardinality,Lifecycle Phase,Procore Join Path,Strength,Description
"--- PRIORITY 1: FINANCIAL CORE — budget, commitment, and change order cascade ---",,,,,,,,,,
Financial Instruments,Project Budget,CONTAINS,Financial Instruments,Budget Line Item,1:many,All,"budget_line_items.project_id → projects.project_id",High,"A project budget is composed of individual budget line items that allocate dollars to specific cost codes."
Financial Instruments,Budget Line Item,CLASSIFIED_AS,Financial Instruments,Cost Code,many:1,All,"budget_line_items via wbs_codes.cost_code_id → cost_codes.cost_code_id",High,"Every budget line item maps to a cost code that classifies what type of work the money is for."
Financial Instruments,Budget Line Item,CLASSIFIED_AS,Financial Instruments,WBS Code,many:1,All,"budget_line_items via wbs_codes.wbs_code_id",High,"WBS codes add a second dimension (phase, location, or category) to cost code classification."
Financial Instruments,Budget Line Item,CLASSIFIED_AS,Financial Instruments,Budget Code,many:1,All,"budget_line_items.budget_code_id → budget_codes.budget_code_id",Medium,"Budget codes group budget lines for executive reporting (Structure, MEP, General Conditions)."
Financial Instruments,Budget Line Item,ADJUSTED_BY,Financial Instruments,Budget Modification,1:many,Construction,"budget_modifications.wbs_code_id → budget_line_items (via wbs_codes)",High,"Budget modifications transfer money between budget lines. transfer_amount is the field (not amount)."
Financial Instruments,Commitment (Subcontract),COMMITTED_TO,Financial Instruments,Budget Line Item,many:many,Procurement / Construction,"commitment_line_items.wbs_code_id → wbs_codes → budget_line_items",High,"Commitment line items map to budget lines via WBS codes. Committed cost = sum of commitment line items per cost code."
Financial Instruments,Commitment (Subcontract),CONTAINS,Financial Instruments,Commitment Line Item,1:many,Procurement / Construction,"commitment_line_items.commitment_id → commitments.commitment_id",High,"Each commitment breaks into line items that allocate to specific cost codes."
Financial Instruments,Commitment (Subcontract),CONTRACTED_TO,Organizations,Subcontractor (Trade-Specific),many:1,Procurement / Construction,"commitments.vendor_id → project_vendors.vendor_id",High,"Every commitment links to a vendor. Vendor identity links financial to organizational domain."
Financial Instruments,Commitment (Purchase Order),COMMITTED_TO,Financial Instruments,Budget Line Item,many:many,Procurement / Construction,"commitment_line_items.wbs_code_id → wbs_codes → budget_line_items",High,"PO line items map to budget lines. Same mechanism as subcontracts."
Financial Instruments,Commitment (Purchase Order),CONTRACTED_TO,Organizations,Material Supplier,many:1,Procurement / Construction,"commitments.vendor_id → project_vendors.vendor_id",High,"POs link to material suppliers via vendor_id."
Financial Instruments,Change Event (CE),ORIGINATED_FROM,Documents & Communications,Request for Information (RFI),many:1,Construction,"change_events.origin_type = 'Rfi::Header' AND change_events.origin_id = rfis.rfi_header_id",High,"307K CEs originated from RFIs — the strongest document-to-financial bridge in Procore."
Financial Instruments,Change Event (CE),ORIGINATED_FROM,Quality & Safety Records,Observation,many:1,Construction,"change_events.origin_type = 'Observations::Item' AND change_events.origin_id = observations.observation_id",Medium,"20,238 CEs originated from observations across 727 cos. Direct field-to-financial traced path."
Financial Instruments,Change Event (CE),CLASSIFIED_AS,Standards & Classifications,MasterFormat,many:1,Construction,"change_events → change_event_line_items.wbs_code_id → wbs_codes.cost_code_id → cost_codes.code (MasterFormat prefix)",High,"CE cost lands on cost codes which map to MasterFormat divisions for building system attribution."
Financial Instruments,Change Event (CE),CONTAINS,Financial Instruments,Change Event Line Item,1:many,Construction,"change_event_line_items.change_event_id → change_events.change_event_id",High,"CE line items carry cost-code-level detail with wbs_code_id and latest_cost_amount."
Financial Instruments,Change Event (CE),BECOMES,Financial Instruments,Potential Change Order (CPCO),1:many,Construction,"commitment_potential_change_orders.change_event_id",High,"A single CE may generate CPCOs for multiple affected subcontractors."
Financial Instruments,Potential Change Order (CPCO),BECOMES,Financial Instruments,Commitment Change Order (CCO),many:1,Construction,"commitment_potential_change_orders.commitment_change_order_id (89.5% populated)",High,"CPCOs bridge CEs to CCOs. 89.5% have a CCO link — the CE→CPCO→CCO lifecycle chain."
Financial Instruments,Commitment Change Order (CCO),ADJUSTS,Financial Instruments,Commitment (Subcontract),many:1,Construction,"commitment_change_orders.commitment_id → commitments.commitment_id",High,"CCOs modify commitment amounts. Approved CCOs (96.7%) change the committed dollar amount."
Financial Instruments,Commitment Change Order (CCO),CONTAINS,Financial Instruments,CCO Line Item,1:many,Construction,"commitment_change_order_line_items.commitment_change_order_id",High,"CCO line items carry wbs_code_id and extended_amount for cost-code-level change attribution."
Financial Instruments,CCO Line Item,COSTS_AGAINST,Financial Instruments,Budget Line Item,many:1,Construction,"commitment_change_order_line_items.wbs_code_id → wbs_codes → budget_line_items",High,"CCO line item costs land on budget lines via WBS/cost code mapping."
