Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- BUDGET & COST STRUCTURE: the planned allocation of project funds ---",,,,,,,,
Budget & Cost Structure,Project Budget,"The total approved budget for a project — the financial ceiling against which all costs are measured. Lifecycle: Created (preconstruction) → Approved → Active → Modified (via budget modifications) → Closed (at closeout). Original budget vs. revised budget tracks scope growth. Key properties: total budget amount, original budget, revised budget, contingency amount, allowance amount. Budget = planned spend, NOT actual cost — actual cost comes from commitments, change orders, and direct costs. Budget vs. actual variance is the fundamental financial metric. Downstream: budget line items, budget modifications, cost forecasts.",AACE 18R-97 (Cost Estimate Classification); PMI PMBOK Cost Management; ASTM E2516 (Cost Classification),"$500K–$500M+ depending on project type and delivery method",Procore; Sage 300 CRE; Viewpoint Vista; CMiC; Primavera Unifier; MS Excel; Oracle Aconex,"High — budget_line_items table, dedicated financial module with wide adoption",Compare budget-to-actual variance across project types and value bands; budget accuracy (original vs. final) by delivery method,"Not all customers purchase financial tools. Projects without budget module should be excluded from cost benchmarks. Budget availability is gated by tool purchase — absence means no tool, not no budget."
Budget & Cost Structure,Budget Line Item,"An individual row in the project budget — allocates a specific dollar amount to a specific cost code or scope of work. Lifecycle: Created → Active → Modified (via budget modifications and change orders) → Closed. Key properties: amount (original), amount (revised), cost code, WBS code, budget code, committed cost, direct cost, projected cost, variance. Budget line item amount = PLANNED allocation, NOT actual cost. Actual cost = committed cost + direct cost + approved changes. Variance = budget amount − (committed + direct + approved changes). Projected cost includes pending changes. Every financial transaction ties back to a budget line item via cost code.","CSI MasterFormat (cost code basis); company-specific chart of accounts","10–500+ line items per project depending on complexity","Procore; Sage 300 CRE; Viewpoint Vista; CMiC; Primavera; MS Excel","High — budget_line_items table, foundational to all financial tracking",Budget line item variance by cost code division enables cross-project cost comparison at the building-system level,"Budget line items are the bridge between money and work. Maps to building systems through cost code / WBS code — a budget line for '05 12 00 Structural Steel' maps to the Structural Frame system."
Budget & Cost Structure,Cost Code,"A categorization code that classifies costs by type of work — typically based on MasterFormat divisions. The Rosetta Stone between financial data and building systems. Key properties: code number, description, MasterFormat division, standard vs. custom, project-specific or company-standard. Division 03 = Concrete → Foundations + Structural Frame. Division 26 = Electrical → Electrical system. Company-specific codes must normalize to MasterFormat for cross-company benchmarking.","CSI MasterFormat (50 divisions); UniFormat; company-specific codes","02 Sitework, 03 Concrete, 05 Steel, 09 Finishes, 15 Mechanical, 26 Electrical","Procore; Sage 300; Viewpoint; CMiC; Foundation Software; Spectrum; MS Excel","High — cost_codes table, foundational classification system",Normalize company codes to MasterFormat for cross-company cost comparison by division and building system,"Cost codes vary wildly between companies. Some use 3-level (division.section.subsection), others use flat codes. UCDM must normalize to MasterFormat for comparability."
Budget & Cost Structure,WBS Code,"Work Breakdown Structure code that adds a second dimension to cost classification — segments cost within a cost code by phase, location, or category. Example: cost code 03 30 00 (Cast-in-Place Concrete) + WBS 'Foundation' vs. WBS 'Elevated Slab'. Enables building-element-level cost tracking within a single cost code. WBS 'Rework' or 'Warranty' segments are signals for rework cost detection. Downstream: all financial line items that reference WBS.","PMI PMBOK WBS (§5.4); MIL-STD-881 (defense WBS)","Phase-based, location-based, system-based, or hybrid segmentation","Procore; Primavera P6 (native WBS); MS Project; CMiC; Viewpoint","Medium — exists within budget structure, adoption varies widely across companies",WBS-level cost comparison enables system-specific and location-specific benchmarking within a cost code,"WBS code adoption varies. Some companies use them extensively (5+ segments per cost code), others not at all. Budget codes serve a similar segmentation purpose."
Budget & Cost Structure,Budget Code,"A grouping code applied to budget line items for reporting and categorization — distinct from cost codes. Key properties: code, description, project-specific or company-standard. Budget codes are a REPORTING overlay, not a transactional code. They group budget lines for executive summaries (e.g., 'Structure', 'Enclosure', 'MEP', 'General Conditions', 'Contingency'). Budget codes with values like 'Rework' or 'Warranty' are signals for rework cost detection.",Company-specific reporting hierarchies; loosely aligned with UniFormat categories,"Structure, Enclosure, MEP, General Conditions, Contingency, Site, Interiors","Procore; Sage 300; Viewpoint; CMiC; MS Excel","Medium — budget_codes table exists, not all companies use them",Budget code roll-ups enable executive-level cost comparison across projects,"Budget codes are the least standardized of the three code types. Highly company-specific. Useful for roll-up reporting but not for detailed cost analysis. Can map to building system groups — 'Structure' = Foundations + Frame, 'MEP' = HVAC + Plumbing + Electrical."
"--- COMMITMENTS: contracted obligations to pay for work ---",,,,,,,,
Commitments,Commitment (Subcontract),"A legally binding agreement between the GC and a subcontractor for a defined scope of work — the largest category of project spend. Lifecycle: Draft → Out for Signature → Executed → Active → Complete → Closed. Key properties: vendor, original amount, revised amount (after COs), scope of work, cost code(s), execution date, retainage %, insurance and bond requirements. Original amount + approved CCOs = revised amount. Committed cost on a budget line = sum of commitment line items mapped to that cost code. A single subcontract can span multiple cost codes and building systems. Upstream: bid packages, budget line items. Downstream: commitment line items, CCOs, subcontractor invoices, retainage, lien waivers.","AIA A101/A201 (owner-contractor); AIA A401 (contractor-sub); ConsensusDocs 750","25–40 subcontracts per project covering 70–85% of project cost","Procore; Textura; GCPay; Sage 300; Viewpoint; CMiC; Foundation; Spectrum","High — commitments table, core financial instrument with wide adoption",Compare commitment coverage (% of budget committed) and subcontract count across project types and value bands,"Subcontracts are the primary financial instrument in construction. The vendor on a commitment links the financial domain to the Organizations domain. Mapped to building systems via cost codes on line items."
Commitments,Commitment (Purchase Order),"An agreement to purchase materials, equipment, or services from a supplier — typically for materials not included in a subcontract scope. Lifecycle: Draft → Issued → Active → Complete → Closed. Shorter duration than subcontracts, material-focused, simpler change order workflow. Key properties: vendor, amount, cost code(s), delivery date, terms, freight. PO delivery tracking connects to the Field Operations domain (delivery logs). Upstream: budget line items. Downstream: commitment line items, CCOs, supplier invoices.","UCC Article 2 (sale of goods); company procurement policies","$5K–$500K per PO; 10–30 POs per project depending on self-perform scope","Procore; Sage 300; Viewpoint; CMiC; Foundation; Spectrum; QuickBooks","High — same commitments table (type field distinguishes subcontract vs. PO)",Compare PO spend ratio (PO $ / total committed $) across project types and self-perform levels,"POs are tracked in the same commitment system as subcontracts but with simpler workflows. Material PO delays are a primary schedule risk — connects to the Material Shortage insight."
Commitments,Commitment Line Item,"A cost-code-level detail row within a commitment — breaks the total commitment into budget-aligned allocations. Key properties: cost code, WBS code, description, amount, commitment reference. Created with the commitment, modified by CCOs, closed with the commitment. The sum of commitment line items by cost code = committed cost on corresponding budget line items. Line item descriptions are a rich NLP signal for cost categorization. Upstream: parent commitment. Downstream: budget line items (as committed cost), CCO line items.","Follows parent commitment's standard/format","5–500 line items per commitment depending on scope granularity","Procore; Sage 300; Viewpoint; CMiC","High — commitment_line_items table, foundational to financial tracking",Line item granularity enables cost-code-level benchmarking of committed cost across projects,"Line item granularity varies by project and company. More granular = better cost tracking but more administrative burden. Direct cost-code-to-building-system mapping at the line item level."
"--- CHANGE MANAGEMENT: how scope and cost changes flow through the system ---",,,,,,,,
Change Management,Change Event (CE),"Earliest financial signal of scope/cost change. change_reason values: design_development, owner_directive, unforeseen_conditions, value_engineering, scope_change, rework, allowance, regulatory, escalation. CRITICAL: CE and CCO track the SAME change — NEVER sum, use GREATEST(CE, CCO). Void CEs (mapped_to_status = 'void') must be excluded. origin_type links to triggering document (RFI, observation). Lifecycle: Created → Pending → Approved → Void. Key properties: title, description, change_reason (structured enum), origin_type, cost amount (estimated), schedule impact. change_reason is the PRIMARY categorization field — NOT origin_id (which is a bigint FK, 93% null). Upstream: RFIs, observations, owner directives, differing conditions. Downstream: CE line items, CPCOs.","AACE RP 10S-90 (Cost Engineering); AIA G701 (Change Order); ConsensusDocs 704","$1K–$5M per CE; 50–500+ CEs per project depending on complexity","Procore; Primavera Unifier; CMiC; Viewpoint; Newforma; MS Excel","High — change_events table with structured change_reason field, dedicated change management module",Compare change event volume and cost by change_reason category across project types; design change % as share of total CEs,"CEs are the earliest financial signal of a change. 6,748 companies have CEs with design-related change_reason. CE origin_type links back to the triggering document (RFI, observation). change_reason is the PRIMARY categorization field — NOT origin_id (which is a bigint FK, 93% null)."
Change Management,Change Event Line Item,"A cost-code-level detail row within a change event — breaks the estimated change cost into budget-aligned allocations. Key properties: cost code, WBS code, description, latest_cost_amount (current estimate, not original), commitment_potential_change_order_line_item_id (link to CPCO). Created with CE, updated as estimates refine, resolved when CPCO/CCO is approved. 40.8% have a CPCO line item ID — the most reliable CE→CCO tracing path. Descriptions are a rich NLP signal for cost categorization (rework, design changes) even when change_reason is null.","Follows parent CE standard/format","1–50 line items per CE depending on scope breadth","Procore; Primavera Unifier; CMiC; Viewpoint","High — change_event_line_items table with cost code and WBS detail",Line-item-level change cost analysis by cost code enables building-system-specific change tracking,"WBS codes on CE line items can identify specific elements (e.g., WBS 'Rework' within cost code '09 29 00 Gypsum Board'). latest_cost_amount is the current estimate — use this for cost totals."
Change Management,Potential Change Order (CPCO),"An intermediate instrument that bridges a change event to a commitment change order — represents the GC's request to modify a specific subcontract based on an approved change. Lifecycle: Created (from CE) → Pending → Approved (becomes CCO) → Void. Key properties: title, status, cost amount, commitment reference, change event reference, commitment_change_order_id. CPCOs exist because a single change event may affect multiple subcontracts — one design change might create CPCOs for structural, mechanical, and electrical subs. CPCO→CCO link is 89.5% populated. CPCO line items table is NOT in the gold data layer.","AIA G709 (Proposal Request); company-specific RFP/CPCO workflows","1–5 CPCOs per CE depending on number of affected subs","Procore; Primavera Unifier; CMiC; Viewpoint","High — commitment_potential_change_orders table, bridges CE to CCO in change workflow",Track CPCO-to-CCO conversion rate and timeline across projects,"CPCOs are where changes get allocated to specific vendors. The CPCO is the bridge: CE identifies → CPCO formalizes against a commitment → CCO executes. Inherits building system mapping from parent CE."
Change Management,Commitment Change Order (CCO),"Formal modification to a subcontract/PO that changes committed dollar amount. change_reason values (title case): Design Development, Owner Directive, Unforeseen Conditions, Value Engineering, Scope Change, Rework. Status: 96.7% Approved. grand_total is the cost column. CCOs have INDEPENDENT change_reason — not inherited from CE. Always use LOWER() for CE vs. CCO comparison (CE snake_case, CCO title case). CCOs can exist WITHOUT a corresponding CE. Lifecycle: Draft → Pending → Approved → Void; also Proceeding. 250K design CCOs, 4,200 cos, $13.8B committed cost. Upstream: CPCOs, or created directly. Downstream: commitment line items (modifies amounts), sub invoices (billable after approval), budget line items (updates committed cost).","AIA G701 (Change Order); ConsensusDocs 704; company-specific CO forms","$500–$2M per CCO; CCOs are 6.4x larger than corresponding CEs on average","Procore; Textura; GCPay; Sage 300; Viewpoint; CMiC; Foundation; Spectrum","High — commitment_change_orders table with structured change_reason, dedicated module",Compare CCO volume and cost by change_reason; committed change cost as % of original commitment,"250K CCOs with design-related change_reason across 4,200 companies. $1.45B saved from CE/CCO deduplication in rework analysis. CCO grand_total is the cost column."
Change Management,CCO Line Item,"A cost-code-level detail row within a commitment change order — modifies specific commitment line item amounts. Key properties: cost code, WBS code, description, extended_amount (line item cost), commitment_potential_change_order_id (100% populated — reliable link to CPCO). Created and approved with parent CCO. Line item descriptions are NLP signal for cost categorization. Direct wbs_code_id enables building-element-level cost attribution for change orders.","Follows parent CCO standard/format","1–50 line items per CCO depending on scope breadth","Procore; Sage 300; Viewpoint; CMiC","High — commitment_change_order_line_items table with WBS and cost code detail",CCO line item analysis by cost code enables system-specific change cost benchmarking,"CCO line items are where committed cost changes actually land in the budget. Sum of CCO line items by cost code = net change to committed cost on corresponding budget lines."
Change Management,Owner Change Order (Prime Contract CO),"A formal modification to the prime contract between owner and GC — changes the contract value and potentially the schedule. Lifecycle: Draft → Pending → Approved → Void. Key properties: title, description, status, amount, schedule impact, prime contract reference. Distinct from commitment COs — owner COs change GC revenue, not subcontract cost. A single owner CO may aggregate multiple change events. The delta between owner CO amounts and commitment CO amounts is where GC margin on changes lives. Upstream: change events (aggregated), owner directives. Downstream: prime contract (modifies value), owner invoices (billable), budget modifications.","AIA G701 (Change Order); ConsensusDocs 704; owner-specific CO forms","$5K–$10M per owner CO; fewer but larger than commitment COs","Procore; Primavera Unifier; CMiC; Viewpoint; Oracle Aconex; MS Excel","Medium — prime_contract_change_orders table exists, lower adoption than commitment-side change orders",Compare owner CO markup (owner CO amount vs. commitment CO cost) to benchmark GC margin on changes,"Not all projects track owner COs in construction software. Owner CO timing vs. commitment CO timing reveals cash flow risk — GC may commit to sub COs before owner approves the funding."
Change Management,Budget Modification,"REWORK SIGNAL: Modifications to rework-coded budget lines signal actual rework exceeding planned budget — 339 cos. Internal transfer between budget line items (moves money, does not change total budget). transfer_amount (NOT 'amount'), notes (NOT 'description'), direct wbs_code_id. Lifecycle: Created → Approved → Posted. The transfer amount is a budget adjustment, not a standalone cost transaction. Maps to building systems via cost codes on source and destination budget lines. Upstream/downstream: budget line items (source and destination).","Company-specific budget transfer policies; AACE cost control practices","$1K–$1M per modification; 10–100+ per project","Procore; Sage 300; Viewpoint; CMiC; MS Excel","High — budget_modifications table with direct WBS code linkage",Budget modification patterns reveal where cost overruns are occurring — transfers FROM contingency TO specific codes indicate overrun locations,"339 companies have rework-coded budget modifications. Maps to building systems via cost codes on source and destination budget line items. transfer_amount is the correct field (not 'amount'); notes is the correct field (not 'description')."
"--- COST TRACKING: non-commitment expenditures ---",,,,,,,,
Cost Tracking,Direct Cost,"A non-commitment expenditure — costs that don't flow through a subcontract or purchase order. Includes GC self-performed labor, small material purchases, equipment rental, T&M charges, reimbursables. Lifecycle: Created → Approved → Paid. Key properties: vendor (optional), description, amount, cost code, WBS code, date, invoice number. Direct costs charge against budget line items but bypass the commitment/invoice workflow. Upstream: budget line items (budgeted amount). Downstream: direct cost line items, budget line items (as actual direct cost).","Company-specific cost tracking policies; AACE cost classification","$100–$500K per direct cost entry; represents 15–30% of project cost depending on self-perform scope","Procore; Sage 300; Viewpoint; CMiC; Foundation; QuickBooks; MS Excel","High — direct_costs table, dedicated tracking for non-commitment expenses",Compare direct cost ratio (DC $ / total project cost) across project types and self-perform levels,"Companies that self-perform more have higher direct cost ratios and lower commitment ratios. Direct costs are the 'other' cost bucket — everything not covered by subcontracts or POs."
Cost Tracking,Direct Cost Line Item,"A cost-code-level detail row within a direct cost — enables granular cost tracking for non-commitment expenses. Key properties: cost code, WBS code, description, amount, direct cost reference. Provides the same cost-code-level granularity as commitment and change order line items. Description and WBS code are NLP signals for cost categorization. WBS-coded rework direct costs = $399M across the portfolio.","Follows parent direct cost format","1–20 line items per direct cost entry","Procore; Sage 300; Viewpoint; CMiC","High — direct_cost_line_items table with cost code and WBS detail",Direct cost line item analysis by cost code enables non-commitment cost benchmarking at building-system level,"Direct cost line item descriptions contain actionable keywords — 'rework', 'repair', 'correction', 'redo'. $500M in rework-related direct costs identified via NLP on line item descriptions."
"--- BILLING & PAYMENT: how money moves between parties ---",,,,,,,,
Billing & Payment,Owner Invoice / Pay Application,"A periodic billing from the GC to the owner for work completed — the GC's request for payment under the prime contract. Lifecycle: Draft → Submitted → Under Review → Approved → Paid; also Rejected, Revised. Key properties: billing period, scheduled value, work completed (previous + current), stored materials, retainage, amount due, percent complete. Pay app amount ≠ project cost — it's the billing. Percent complete by line item based on schedule of values. Stored materials (on site but not installed) are billable on many contracts. Retainage (5–10%) withheld until substantial completion. Upstream: commitments, direct costs, owner COs. Downstream: payment, retainage.","AIA G702/G703 (Application and Certificate for Payment); ConsensusDocs payment forms","Monthly billing cycle; $50K–$10M per pay application depending on project size","Procore; Textura; GCPay; Sage 300; Viewpoint; CMiC; MS Excel","High — owner_invoices table with line items, markups, and workflow tracking",Compare pay application processing time (submission to approval) and billing accuracy across projects,"Monthly pay application cycle drives the financial rhythm of every project. Lender draws are often tied to pay app approval. Pay app line items correspond to SOV items mapping to cost codes."
Billing & Payment,Subcontractor Invoice,"A periodic billing from a subcontractor to the GC for work completed under a subcontract. Lifecycle: Draft → Submitted → Under Review → Approved → Paid; also Rejected, Revised. Key properties: billing period, commitment reference, scheduled value, work completed, stored materials, retainage, amount due, percent complete. Mirrors pay applications but flows in the opposite direction — subs bill the GC. Invoice review and approval drives cash flow for subcontractors. Upstream: commitments, CCOs (approved changes added to SOV). Downstream: payment, retainage, lien waiver (required with each invoice).","AIA G702/G703 (adapted for sub billing); company-specific invoice forms","Monthly billing; 25–40 subs × 12–24 months = 300–960 invoices per project","Procore; Textura; GCPay; Sage 300; Viewpoint; CMiC; Foundation","High — subcontractor_invoices table with workflow tracking",Compare invoice processing time and rejection rate across vendors and projects,"Subcontractor invoice volume is high. Matching invoice amounts to approved work is a major administrative task. Invoice processing time is a key vendor relationship metric."
Billing & Payment,Retainage,"Funds withheld from progress payments as security for completion of work — released at substantial completion or final completion. Lifecycle: Accumulating (during construction) → Partial Release (at substantial completion) → Full Release (at final completion). Key properties: retainage held (cumulative), retainage released, retainage rate (%), release conditions. Retainage is NOT a cost — it's a withheld portion of earned payment. Typical rate: 5–10%. Release triggers: substantial completion (reduce to 50%), final completion (release remainder). Retainage held from subs should approximately equal retainage held from owner. Upstream: owner invoices, subcontractor invoices. Downstream: payment, lien waiver.","State retainage statutes (vary by jurisdiction); AIA contract retainage provisions; Miller Act (federal projects)","5–10% of each progress payment; total retainage = 5–10% of contract value","Procore; Textura; GCPay; Sage 300; Viewpoint; CMiC","Medium — tracked within invoicing system, no dedicated retainage table",Compare retainage rates and release timing across project types and jurisdictions,"Retainage is one of the most contentious financial instruments in construction. Subs view it as the GC holding their money. Some states cap retainage at 5%. Release delays strain vendor relationships."
Billing & Payment,Payment,"The actual transfer of funds between parties — the final step in the billing cycle. Lifecycle: Scheduled → Processed → Cleared. Key properties: amount, date, from party, to party, invoice reference, payment method. Payment is the actual cash event — distinct from invoice approval. Payment terms (Net 30, Net 45) create a gap between approval and payment. Cash flow forecasting depends on payment timing. Pay-when-paid clauses mean sub payment depends on owner payment to GC. Upstream: owner invoices, subcontractor invoices, retainage release. Downstream: lien waiver.","Prompt Payment Acts (federal and state); UCC payment provisions; contract-specific terms","Net 30 to Net 60 payment terms; $10K–$5M per payment","Procore; Textura; GCPay; Sage 300; Viewpoint; CMiC; bank EFT systems","High — payments_* tables (agreements, disbursements, issued, received), comprehensive payment tracking",Compare payment cycle time (invoice approval to payment) and prompt payment compliance across projects,"Payment timing drives cash flow. Slow-paying owners cascade delays to sub payments. Construction lenders tie draws to pay app approval, adding another layer."
Billing & Payment,Lien Waiver,"A legal document in which a party waives their right to file a mechanic's lien against the property — exchanged with each payment. Four types: conditional progress (with invoice), unconditional progress (when payment clears), conditional final (with final invoice), unconditional final (with final payment). Collection from all tiers of subcontractors required before owner makes final payment to GC. Upstream: payment. Downstream: none — terminal document.","State mechanic's lien statutes (vary by jurisdiction); statutory lien waiver forms in many states","4 types × number of subs × number of billing periods = hundreds per project","Procore; Textura; GCPay; Levelset; zlien; MS Excel","High — payments_lien_waivers table with subtier tracking",Compare lien waiver collection rate and timeliness across projects and vendors,"Lien waiver collection is a major closeout task. Missing lien waivers can block final payment and retainage release. Some states have statutory lien waiver forms that must be used exactly."
"--- FINANCIAL CLASSIFICATION & STRUCTURE: how costs are organized and categorized ---",,,,,,,,
