Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- UNIVERSAL LIFECYCLE STATUSES: the basic states any construction record can be in ---",,,,,,,,
Universal Lifecycle Statuses,Open,"Record is active and available for action — the entry point for most construction records. Indicates the item has been created and is part of the active workflow. Every record type has some version of 'open' as its initial actionable state.","PMI PMBOK; ISO 21500","Open, Active, New","Procore; P6; Sage 300; Viewpoint Vista; CMiC; PlanGrid; Bluebeam","High — status fields exist on virtually every Procore table, universal adoption","Compare record creation-to-close ratios across projects to identify workflow efficiency","Some systems use 'Active' or 'New' instead of 'Open'. UCDM should normalize to 'Open' as the universal starting state."
Universal Lifecycle Statuses,In Progress,"Work has begun on the record but is not yet complete. Indicates active effort by a responsible party — distinguishes items being worked on from those sitting idle. Common on tasks, action plans, inspections, and punch items.","PMI PMBOK","In Progress, Active, Working","Procore; P6; MS Project; Sage 300; PlanGrid","High — structured status value on action plans, punch items, and task-based records","Track percentage of records in active work vs. idle to measure team throughput","Not all record types use 'In Progress' — RFIs and submittals typically go Submitted → Under Review. Map carefully per record type."
Universal Lifecycle Statuses,Draft,"Record exists but has not been formally issued into the workflow. Editable, not yet visible to reviewers or counterparties. The pre-submission holding state where the creator refines before committing.","AIA A201 (document submission protocols)","Draft, Preliminary, Not Issued","Procore; Bluebeam; Newforma; PlanGrid","High — Draft status on change events, RFIs, submittals, correspondences, commitments","Compare draft-to-submission conversion rates — high draft abandonment signals unclear processes","Draft items should be excluded from cycle time calculations. Only count from submission forward."
Universal Lifecycle Statuses,Closed,"Record has completed its lifecycle — no further action required. Terminal state indicating the workflow has run its course, whether resolved successfully or not. Distinct from Void (cancelled) and Approved (decision).","PMI PMBOK; ISO 21500","Closed, Complete, Resolved, Done","Procore; P6; Sage 300; Viewpoint; CMiC; MS Project","High — terminal status on most record types","Closure rates and average time-to-close are primary workflow efficiency benchmarks","Some systems use 'Complete' or 'Resolved'. Normalize to 'Closed' for lifecycle analysis. Check whether closed items had a resolution or were just abandoned."
Universal Lifecycle Statuses,Void,"Record has been invalidated or cancelled — the work was never completed, just abandoned. Distinct from Closed (completed lifecycle). Voided records should be excluded from most metrics but tracked as a signal of rework or process waste.","AACE 10S-90 (cost engineering terminology)","Void, Cancelled, Withdrawn, Deleted","Procore; Sage 300; Viewpoint; CMiC","High — Void status on change events, commitments, change orders","Void rates by record type reveal process waste — high void rate on COs signals poor scoping","Voided CEs use mapped_to_status != 'void' filter. Voided CCOs use status = 'Void'. Always exclude from cost aggregations."
Universal Lifecycle Statuses,On Hold,"Record is paused, awaiting external input, owner decision, or other blocking condition. Not cancelled — expected to resume. Common when waiting for design clarification, material delivery, or client direction.","PMI PMBOK (risk response: accept)","On Hold, Suspended, Waiting, Deferred","Procore; P6; MS Project; Sage 300","Medium — available as status on some records but not a dedicated workflow state","Hold duration and hold frequency reveal external dependency patterns and decision bottlenecks","On Hold is often used inconsistently — some teams use it for 'I don't know what to do with this'. Consider tracking hold reason for meaningful analysis."
Universal Lifecycle Statuses,Overdue,"Record has passed its due date without reaching its expected next state. A computed status based on comparing due_date to current_date and record status. Indicates workflow stall requiring attention.","PMI PMBOK (schedule variance)","Overdue, Past Due, Late","Procore; P6; MS Project; PlanGrid; Fieldwire","High — overdue flag on submittals, due_date_variance on RFIs, computable on any record with due date","Overdue rates by record type and responsible party are core accountability metrics","Procore has a native 'overdue' boolean on submittals and due_date_variance on RFIs. For other records, overdue must be computed from due_date + status."
"--- APPROVAL & REVIEW STATUSES: states specific to formal review and approval cycles ---",,,,,,,,
Approval & Review Statuses,Pending,"Awaiting action from the next responsible party. The record has entered the workflow but the reviewer has not yet begun evaluation. Pre-action holding state that starts the response time clock.","AIA A201 (submittal review); AGC ConsensusDocs","Pending, Awaiting Review, Queued","Procore; Bluebeam; Newforma; PlanGrid; Submittal Exchange","High — Pending status on commitments, change orders, action plans","Pending queue depth per reviewer reveals capacity constraints and bottleneck individuals","Pending vs. Submitted distinction matters: Pending = in queue but not picked up. Submitted = formally sent. Some systems conflate these."
Approval & Review Statuses,Submitted,"Formally sent to the reviewer or approver — the official handoff point. Clock starts on contractual response time. The creator has completed their work and is waiting for a decision.","AIA A201 (submittal procedures); AGC","Submitted, Issued, Sent for Review","Procore; Bluebeam; Newforma; Submittal Exchange; PlanGrid","High — Submitted status on submittals, RFIs, change events, correspondences","Submission volume over time reveals project phase intensity — early submittals peak in design, late ones signal problems","Track submitted_date as the official workflow start for cycle time calculations."
Approval & Review Statuses,Under Review,"Actively being evaluated by the responsible party. Between submitted and decision. Some systems track this explicitly, others infer it from ball-in-court assignment.","AIA A201; DBIA","Under Review, In Review, Being Reviewed","Procore; Bluebeam; Newforma; PlanGrid","Medium — some records have explicit Under Review status, others rely on ball-in-court to infer review activity","Time spent in review vs. pending reveals whether delays are caused by queue depth or actual review complexity","Not universally tracked as a distinct status. Many systems jump from Submitted → Approved/Rejected without explicit review state."
Approval & Review Statuses,Approved,"Accepted without conditions — authorizes the associated work, cost, or material to proceed. The positive terminal decision in an approval workflow. On financial records, triggers commitment of funds.","AIA A201; AACE; PMI","Approved, Accepted, Authorized","Procore; Sage 300; Viewpoint; CMiC; Bluebeam; Newforma","High — Approved status on submittals, commitments, change orders, budget changes (96.7% of CCOs are Approved)","Approval rates and time-to-approval are fundamental workflow health metrics","CCOs are 96.7% approved in Procore — rejection is rare once a CCO is created. CEs have more status variety."
Approval & Review Statuses,Approved as Noted,"Accepted with conditions, corrections, or minor modifications. Common on submittals — fabrication may proceed but noted changes must be incorporated. The 'yes, but' decision that avoids full rejection.","AIA A201 (submittal review actions); CSI","Approved as Noted, Approved with Comments, Conditional Approval","Procore; Bluebeam; Newforma; Submittal Exchange","High — native submittal status in Procore, structured value","Track 'as noted' frequency by spec section to identify which trades produce the most revision-prone submittals","Approved as Noted should be counted as approved for throughput metrics but flagged for quality metrics — it signals rework potential."
Approval & Review Statuses,Rejected,"Not accepted — requires rework before resubmission. A hard stop that sends the record back to the originator. Resets the workflow cycle. Should always include rejection reason for tracking.","AIA A201; AGC ConsensusDocs","Rejected, Not Approved, Returned, Denied","Procore; Bluebeam; Newforma; Submittal Exchange","High — native status on submittals, RFIs, and approval workflows","Rejection rates by reviewer, trade, and spec section identify quality gaps and problem areas","Rejection reason is critical for root cause analysis but often unstructured free text. Cross-reference with spec section for pattern detection."
Approval & Review Statuses,Revise and Resubmit,"Similar to rejected but with specific revision guidance — the reviewer has identified what needs to change. Softer than rejection, implies the approach is correct but execution needs refinement. Common on submittals.","AIA A201 (submittal actions)","Revise and Resubmit, Revise & Resubmit, Resubmit","Procore; Bluebeam; Newforma; Submittal Exchange","High — native submittal status in Procore","Resubmission rates and revision cycles per submittal reveal design coordination quality","Track revision count per submittal. More than 2 cycles signals a breakdown in pre-submission coordination."
"--- FIELD DISPOSITION STATUSES: states from field inspection and quality observation workflows ---",,,,,,,,
Field Disposition Statuses,Ready for Review,"Field work is complete and awaiting quality inspection, superintendent sign-off, or third-party verification. The handoff point between field crews and quality/management teams.","ISO 19650 (information handover); AIA","Ready for Review, Ready for Inspection, Complete — Pending QC","Procore; PlanGrid; Fieldwire; BIM 360 Field","Medium — workflow_status value on punch items and observations, but not a universal explicit state","Tracks field-to-QC handoff velocity — long Ready for Review times indicate inspection bottleneck","In Procore, this maps to specific workflow_status values on punch items. Not all record types have this state."
Field Disposition Statuses,Conforming,"Inspection item meets the specified requirements — pass disposition. The field evaluator has verified the work complies with plans, specs, or standards. Moves the item toward closure.","ISO 9001 (conformity assessment); IBC","Conforming, Pass, Satisfactory, Meets Requirements","Procore; PlanGrid; Fieldwire; BIM 360 Field","High — inspection_items.status = 'Conforming' is a structured native value","Conformance rates by inspection type, trade, and project phase reveal quality performance patterns","In Procore, inspection_items.status values are capitalized: 'Conforming' (not 'conforming'). Deficiency rate across all inspections is typically 2-6%."
Field Disposition Statuses,Deficient,"Inspection item fails to meet requirements — requires corrective action. A formal finding that the installed work does not comply with plans, specifications, or applicable codes. Triggers rework cycle.","ISO 9001; OSHA (for safety deficiencies)","Deficient, Fail, Non-Conforming, Does Not Meet Requirements","Procore; PlanGrid; Fieldwire; BIM 360 Field","High — inspection_items.status = 'Deficient' is a structured native value","Deficiency rates per trade, spec section, and project type are core quality benchmarks","In Procore, 'Deficient' (capitalized). Track deficiency-to-resolution cycle time. Also see observation.type_name for severity classification."
Field Disposition Statuses,Not Applicable,"Record or inspection item does not apply in this context — excluded from evaluation. Used when an inspection checklist item is irrelevant to the specific work being inspected.","ISO 9001 (scope exclusion)","Not Applicable, N/A, Excluded, Not Inspected","Procore; PlanGrid; Fieldwire","High — inspection_items.status = 'Not Applicable' is a structured native value","High N/A rates on inspection templates signal poorly configured checklists — template optimization opportunity","'Not Applicable' and 'Uninspected' are distinct in Procore. N/A = doesn't apply. Uninspected = applies but wasn't checked. 'Neutral' also exists as a non-disposition."
"--- WORKFLOW COMPONENTS: the operational building blocks of construction workflows ---",,,,,,,,
Workflow Components,Workflow Step,"An individual stage in a multi-step approval or review process. Defines who must act, what action is required, and the sequence position. The atomic unit of workflow configuration.","PMI PMBOK (process groups); ISO 21500","Step 1: PM Review → Step 2: Architect Review → Step 3: Owner Approval","Procore; Newforma; Aconex; Oracle Aconex; Kahua","Medium — workflow_steps tables exist for several record types but most are not import-ready in the gold layer","Step count per workflow type reveals process complexity — simpler workflows correlate with faster throughput","Procore has *_workflow_steps tables for budget changes, commitments, COs, owner/sub invoices. Most are NOT ready (N) in gold layer except owner_invoice."
Workflow Components,Approval Chain,"Ordered sequence of reviewers and approvers that a record must pass through before reaching a terminal state. Defines the review hierarchy, required vs. optional reviewers, and fallback rules.","AIA A201 (submittal review requirements); DBIA","Linear chain, parallel reviewers, hybrid (parallel then sequential)","Procore; Newforma; Aconex; Kahua; Submittal Exchange","Medium — submittal_approvers table (Y) tracks approval chains, but configuration of chain rules is limited in gold layer","Average chain length by record type benchmarks process overhead — longer chains increase cycle time","In Procore, submittal_approvers defines the approval chain with sequence and response tracking. Most other record types have simpler single-approver patterns."
Workflow Components,Ball in Court,"The party currently responsible for taking the next action on a record. Construction-specific accountability term — at any moment, someone 'has the ball'. Changes as the record moves through workflow steps.","AGC (project management practices); AIA","Architect, GC PM, Subcontractor, Owner, Engineer","Procore; Newforma; Aconex; PlanGrid","High — dedicated rfis_bic and submittal_ball_in_courts tables, plus ball_in_court fields on records","Ball-in-court aging by party type reveals who causes the most workflow delays — actionable accountability metric","In Procore, BIC is tracked via dedicated tables (rfis_bic, submittal_ball_in_courts) and inline fields. DocuSign overlay adds docusign_ball_in_court_status."
Workflow Components,Distribution List,"Set of parties notified when a record is created, changes status, or receives a response. Ensures relevant stakeholders stay informed without being in the approval chain. Notification, not action.","AIA A201 (distribution requirements); AGC","PM, Superintendent, Owner Rep, Architect, Sub Foreman","Procore; Newforma; Aconex; Bluebeam","High — rfi_distributions, submittal_distributions, company/project_distribution_groups tables all ready (Y)","Distribution list breadth correlates with project communication health — narrow lists miss stakeholders","Distribution groups can be configured at company level (reusable) or project level (custom). Both table types exist in Procore."
Workflow Components,Workflow Response,"A reviewer's formal action at a workflow step — approve, reject, forward, return, or comment. The decision record that advances (or returns) the workflow. Timestamped for cycle time calculation.","PMI; AIA A201","Approve, Reject, Forward, Return, Comment, No Response Required","Procore; Newforma; Aconex; Kahua","Medium — owner_invoice_workflow_responses (Y), but most *_workflow_responses tables are not import-ready","Response patterns by reviewer reveal decision-making behavior — some approvers rubber-stamp, others consistently add conditions","Procore has *_workflow_responses tables for budget changes, commitments, COs, invoices. Most NOT ready in gold layer except owner_invoice."
Workflow Components,Due Date,"The date by which action must be completed on a record or workflow step. Contractually significant — missed due dates can trigger liquidated damages, delay claims, or escalation.","AIA A201 (response time requirements); AGC","7-day RFI response, 14-day submittal review, 30-day CO approval","Procore; P6; MS Project; Newforma; PlanGrid","High — due_date fields on RFIs, submittals, action plans, meeting items, punch items","Due date compliance rates are fundamental project management health indicators","RFI due_date_variance and submittal overdue flag are native Procore fields. For other records, compare due_date to action_date."
Workflow Components,Response Time,"The elapsed time between submission and response — either the contractual allowance or the actual measured duration. Critical for project pacing — slow responses cascade into schedule delays.","AIA A201 (14-day default); AGC; DBIA","7 days (RFI), 14 days (submittal), 21 days (complex submittal), 30 days (CO)","Procore; Newforma; Aconex; P6","Medium — computable from date fields but not a native stored metric. due_date_variance on RFIs is the closest","Average response time by record type, reviewer, and project phase benchmarks workflow performance","Must be computed: response_date - submitted_date. Filter out weekends/holidays for business days. Cross-reference with contract-specified allowances."
Workflow Components,Escalation,"Elevation of a stalled workflow item to a higher authority when the responsible party fails to act within the allowed response time. The safety valve for stuck workflows.","PMI PMBOK (issue escalation); AGC","Auto-escalate after 7 days, notify PM after 3 days, alert exec after 14 days","Newforma; Aconex; Kahua; Oracle Unifier","None — no escalation tracking or automation in Procore. Manual process via email/phone.","Escalation frequency reveals systemic bottlenecks — high escalation rates signal broken workflows or overwhelmed reviewers","Procore does not have native escalation. This is a gap — most enterprise PM systems include configurable escalation rules."
Workflow Components,Delegation,"Temporary or permanent transfer of approval authority from one party to another. Required when the primary reviewer is unavailable — prevents workflow stalls during vacations, role changes, or emergencies.","PMI PMBOK; AIA (authority delegation)","Out-of-office delegation, role-based delegation, proxy approval","Newforma; Aconex; Oracle Unifier; Kahua","None — no delegation capability in Procore. Workaround: manually reassign ball-in-court.","Delegation frequency and patterns reveal organizational resilience — high delegation need with no capability signals single-point-of-failure risk","Procore lacks formal delegation. Teams work around this by manually changing BIC or having admins act on behalf of others."
"--- WORKFLOW PATTERNS: standard workflow types used across construction record types ---",,,,,,,,
