Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- PROJECT IDENTITY: project type, sector, work type, and program classification. The attributes that define what a project IS. ---",,,,,,,,
Project Identity,Project Type,"Primary functional use of the constructed facility — the single most impactful attribute for benchmarking. A $50M hospital and a $50M warehouse have completely different cost profiles, risk patterns, and trade compositions. Custom values are common across companies — normalization to a standard taxonomy is critical for cross-company comparison.",CSI UniFormat; RS Means Project Type; ENR Classification,"Commercial Office, Retail, Healthcare (Hospital / Medical Office / Ambulatory), Education (K-12 / Higher Ed), Industrial (Manufacturing / Warehouse / Distribution), Residential (Multi-Family / Single-Family / Senior Living), Hospitality (Hotel / Resort), Government / Civic, Religious, Transportation (Airport / Rail / Transit), Infrastructure (Roads / Bridges / Utilities), Water / Wastewater, Power / Energy, Data Center, Laboratory / Research, Sports / Entertainment, Mixed Use, Renovation / TI",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel; Owner capital planning systems,"High — dedicated project field, widely populated (80%+ adoption). Free-text with common patterns, but no enforced picklist — normalization needed for benchmarking",Primary segmentation dimension — most benchmarks start here. Compare any metric by type.,Most impactful single attribute. Custom values are common — companies use their own naming. Normalization is essential for cross-company analysis.
Project Identity,Project Subtype,"Further classification within primary project type — customer-defined refinement. Examples: 'Class A Office', 'Acute Care', 'Fulfillment Center', 'Garden-Style Apartments', 'Charter School'. No industry standard taxonomy for subtypes — each company defines their own.",None — customer-defined,"Class A Office, Acute Care, Fulfillment Center, Garden-Style Apartments, Charter School, Strip Mall, Ambulatory Surgery Center",Procore; Sage 300; Viewpoint Vista; CMiC; Owner capital planning systems,Low — free-text custom field when present; no standardized subtype field in most PM systems,Secondary segmentation — refines type-level benchmarks when enough data exists within a subtype,No industry standard for subtypes. Only useful when a company has 20+ projects of the same subtype to enable meaningful comparison.
Project Identity,Sector,"Public vs. private funding and ownership — determines procurement rules, bonding requirements, prevailing wage, and compliance burden. Public projects have transparency requirements and standardized procurement. Private projects move faster with fewer constraints. P3 (Public-Private Partnership) is a growing hybrid model.",Federal Acquisition Regulation (FAR); State procurement codes; Miller Act,"Private, Public – Federal, Public – State, Public – Local / Municipal, Institutional, Non-Profit, Public-Private Partnership (P3)",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; Owner capital planning systems,Medium — no dedicated sector field in most PM systems; often inferred from owner type or tracked via custom fields,Segment by procurement rules and compliance burden — public projects have different cost and schedule profiles,"Public projects have prevailing wage, bonding, and procurement requirements that add 10-30% to labor cost. P3 is growing."
Project Identity,Work Type,New construction vs. renovation vs. addition — fundamentally different risk and cost profiles. Renovation projects have 2-3x the change order rate of new construction due to unknown existing conditions. Mixing work types in benchmarks produces misleading results. Must be filtered before any cost or schedule comparison.,None — industry-standard categories,"New Construction, Renovation / Remodel, Addition, Tenant Improvement / Fit-Out, Demolition, Historic Restoration, Infrastructure Rehabilitation, Adaptive Reuse",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel,Medium — no dedicated work type field in most PM systems; often embedded in project name or tracked via custom fields,Filters benchmarks — renovation has fundamentally different cost and risk profiles from new construction,Renovation projects have 2-3x change order rates. Existing conditions discovery is the #1 source of changes. Always filter by work type before benchmarking.
Project Identity,Program Type,"Owner's capital program classification — groups projects by investment purpose across a portfolio. Useful for owners running rollout or prototype programs (retail chains, QSR, healthcare clinics) where standardized scope enables tight benchmarking. Customer-defined with no industry standard.",None — customer-defined,"Capital Improvement, Maintenance & Repair, Expansion, Deferred Maintenance, Prototype Rollout, New Market Entry, Sustainability Retrofit",Procore; Sage 300; Viewpoint Vista; CMiC; Owner capital planning systems; MS Excel,Low — custom field when present; most companies don't track program classification in PM systems,Portfolio-level analysis — groups projects by investment purpose for program-level benchmarking,"Rollout / prototype programs (retail, QSR, healthcare clinics) have distinct benchmarking needs. Standardized scope enables tighter comparison."
"--- FINANCIAL: project value, cost structure, and financial benchmarking attributes. ---",,,,,,,,
Financial,Estimated Value,Owner's initial budget or estimated total project cost at authorization — the 'what we thought it would cost' baseline. Set before contracts are awarded. Different from contract value (which is the GC agreement). Used to measure cost growth from initial estimate through final completion.,AACE Classification System (Class 1-5 Estimates),$0 – $10B+ (wide range by type: $500K TI to $5B+ mega-project),Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Primavera; MS Excel; Owner budgeting systems,"High — dedicated project field (total_value or estimated_value), widely populated",Baseline for cost growth analysis — compare initial estimate to contract value to final cost,Often the number used when the project is first created. May be a rough estimate (Class 5) or detailed estimate (Class 1). Precision matters for benchmarking.
Financial,Contract Value,"Contracted amount between owner and GC/CM — the GMP, lump sum, or negotiated target. This is the number subcontractors and the market see. Updated via change orders over the project lifecycle. Represents the GC's contractual obligation.",AIA A101/A133 (contract forms); ConsensusDocs,"$0 – $10B+ (GMP, lump sum, or negotiated)",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel,"High — dedicated project field, widely populated. Change order tracking captures modifications to contract value",Primary cost benchmark dimension — defines project scale band,"GMP, lump sum, or negotiated. May differ significantly from estimated value. Change orders modify this over time."
Financial,Total Value Band,"Bucketed range for benchmarking by project scale — log-scale bands work better than linear because construction costs, risks, and outcomes don't scale linearly. A $100M project is not simply 10x a $10M project — it's a fundamentally different kind of project.",ENR Project Cost Ranges,"< $1M, $1M–$5M, $5M–$10M, $10M–$25M, $25M–$50M, $50M–$100M, $100M–$250M, $250M–$500M, $500M–$1B, > $1B",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel,"High — derived from total value or contract value, which are widely populated",Core benchmarking dimension — project scale bands normalize comparison across project sizes,Band thresholds should align with industry norms and data distribution. Log-scale bands work better than linear.
Financial,Cost per SF,Total project cost divided by gross building area — the most comparable unit cost metric across building projects. Only meaningful for building projects (not infrastructure). Varies enormously by type: warehouse $100-200/SF vs. hospital $600-1500/SF. Must normalize by type and region.,RS Means Square Foot Cost Data; ENR Cost Data,"$100–$1,500+/SF depending on type, region, and complexity",Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; MS Excel,Medium — requires both cost and area fields populated; area field is often empty or inconsistent (gross vs. net),Key unit cost benchmark — most comparable metric across building projects,"Only meaningful for building projects. Varies enormously by type and region. Must normalize by type, region, and year."
Financial,Hard Cost,"Direct construction cost excluding soft costs (design fees, permits, FF&E, land, financing). Typically 60-80% of total project cost. Isolates construction cost from owner's total investment. Essential for apples-to-apples cost benchmarking.",AACE Recommended Practice 10S-90; CSI Uniformat Level 1,60-80% of total project cost (varies by delivery method and owner cost structure),Procore; Sage 300; Viewpoint Vista; CMiC; Owner accounting systems; MS Excel,"Low — most PM systems track total contract value, not hard cost vs. soft cost breakdown. Requires owner-side data or custom fields",Isolates construction cost from owner's total project cost for cleaner benchmarking,Hard cost vs. total cost distinction matters. Some customers track only hard cost; others include soft costs. Always clarify definition.
