Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- PRE-CONSTRUCTION: design, estimating, permitting, and planning before ground-breaking ---",,,,,,,,
Preconstruction,Programming & Feasibility,"Owner defines project requirements and validates viability — needs assessment, site analysis, zoning review, pro forma development, and environmental studies. Gate: program approval / authorization to proceed with design. Primarily owner and development team; contractor involved only in CM-at-Risk or design-build.","ASTM E1557 (UNIFORMAT II); local zoning codes; NEPA/CEQA (environmental)","Pro forma; feasibility study; site due diligence report; environmental assessment; program document","Excel; Argus (real estate pro forma); GIS tools; Bluebeam; local permit portals","None — Procore is a construction-phase platform with no feasibility or programming module",Compare go/no-go decision timelines and site assessment scope across project types,"Cross-domain: Project Attributes (project type, location, total value defined here). Duration ranges from weeks to years depending on entitlement complexity."
Preconstruction,Design Development,"Architects and engineers develop the design from concept through construction documents — schematic design (SD), design development (DD), construction documents (CD), code review, structural/MEP engineering, energy modeling, specifications. Gate: bid-ready construction documents issued.","AIA B101 (design services); AIA E203 (BIM); IBC/ICC (code compliance); ASHRAE 90.1 (energy)","SD package; DD drawings; construction documents; specifications; code compliance report; design-phase RFIs","AutoCAD; Revit; Bluebeam; Newforma; ProjectWise; BIM 360 Design; Procore (drawings)","Low — drawing management and design-phase RFIs exist, but Procore is not a design tool",Compare design duration and RFI volume across delivery methods (design-build vs. design-bid-build),"Design RFIs between owner/architect/engineers are high volume. Coordination between disciplines starts here. Cross-domain: Building Elements (all systems defined on paper)."
Preconstruction,Estimating & Budgeting,"Develop cost estimates from conceptual through detailed GMP or hard bid — quantity takeoff, unit pricing, subcontractor pricing, risk contingency, value engineering. Multiple estimate rounds: conceptual (SD), detailed (DD), final (CD). Gate: budget or GMP established.","AACE 18R-97 (cost estimate classification); ASTM E1557 (UNIFORMAT II); RSMeans","Conceptual estimate; detailed estimate; GMP proposal; value engineering log; bid tabulation","On-Screen Takeoff; Planswift; HCSS HeavyBid; Sage Estimating; ProEst; Excel; Procore Estimating","Medium — precon estimating tables exist (estimates, estimate_layers) but adoption is growing",Compare estimate accuracy (final vs. actual) and VE savings rates across project types,"VE can significantly change scope. Cross-domain: Financial (budget line items and cost codes originate from estimates)."
Preconstruction,Permitting & Approvals,"Secure regulatory approvals required before construction — building permits, zoning variances, environmental permits, utility coordination, fire marshal review, DOT permits, stormwater permits. Gate: building permit issued / notice to proceed.","IBC/ICC (building code); NFPA (fire code); EPA/state environmental; ADA; local zoning ordinances","Building permit; environmental permits; utility agreements; fire marshal approval; SWPPP","Local permit portals; e-permitting systems; Bluebeam; Excel; Procore (document management)","Low — no dedicated permitting module; documents stored in project files",Compare permit timelines across jurisdictions and project complexity levels,"Permit timelines vary wildly — 2 weeks to 12+ months depending on jurisdiction. Critical path item. Cross-domain: Project Attributes (location drives requirements)."
Preconstruction,Preconstruction Planning,"GC develops execution strategy before breaking ground — baseline schedule, logistics plan, phasing strategy, safety plan, quality plan, procurement strategy, staffing plan. CM-at-Risk does this during design; design-bid-build GCs do it after award. Gate: baseline schedule accepted.","PMI PMBOK (scheduling); AGC (safety planning); OSHA 29 CFR 1926 (safety); CPM scheduling standards","Baseline schedule; site logistics plan; phasing plan; safety plan; quality plan; procurement schedule","Oracle P6; MS Project; Asta Powerproject; Procore (schedule); Bluebeam; Excel","Medium — schedule module exists with schedule_task and lookahead tables, but baseline tracking is limited",Compare planning duration and baseline schedule quality across delivery methods,"Baseline schedule is a key contractual deliverable. Cross-domain: Resources (staffing plan), Project Attributes (delivery method determines timing)."
"--- PROCUREMENT: bidding, buyout, submittals, fabrication, and material delivery ---",,,,,,,,
Procurement,Bidding & Buyout,"Solicit bids from subcontractors and suppliers, level bids, negotiate scope, and award contracts — scope definition, bid solicitation, bid leveling, insurance/bonding verification, contract execution. Buyout typically 60-80% complete before mobilization. Gate: all major subcontracts and POs executed.","AIA A201 (general conditions); ConsensusDocs; AGC contract forms; state lien law","Subcontracts; purchase orders; bid tabulations; scope clarification letters; insurance certificates; bonds","Building Connected; PlanHub; SmartBid; iSqFt; Procore (bidding); Excel","Medium — bidding module exists in Procore but bid tables not in analytics gold layer",Compare buyout timelines and bid coverage rates across project sizes,"Long-lead items (steel, curtain wall, elevators, switchgear) bid early. Cross-domain: Financial (subcontracts become commitments)."
Procurement,Submittals & Shop Drawings,"Subcontractors prepare detailed fabrication and product documents for architect/engineer review — submittal preparation, review cycles, resubmittals, product substitution requests. Submittal log is a critical schedule driver. Gate: all critical-path submittals approved.","CSI MasterFormat (section-based organization); AIA A201 (submittal requirements); ASTM product standards","Approved submittals; approved shop drawings; product data sheets; material samples; color selections","Procore (submittals); Submittal Exchange; PlanGrid; BIM 360; Bluebeam; Newforma","High — submittals table with status, due dates, overdue flags, and approval tracking",Compare submittal cycle times and resubmittal rates across project types and trades,"Curtain wall, structural steel, and elevator submittals typically have longest lead. Cross-domain: Building Elements (submittals organized by system)."
Procurement,Fabrication & Long-Lead Items,"Materials fabricated off-site with delivery schedules established — structural steel (8-16 wks), curtain wall (12-24 wks), elevators (16-30 wks), switchgear (12-20 wks), precast, HVAC equipment, custom casework. Gate: long-lead materials delivered or delivery confirmed.","AISC (steel fabrication); AAMA (curtain wall); ASME (elevators); UL (electrical equipment)","Fabricated materials; delivery schedules; factory test reports; QC documentation","ERP systems; fabricator tracking portals; Excel; Procore (submittals as proxy for fabrication status)","Low — no fabrication tracking module; submittals used as proxy for fabrication status",Compare fabrication lead times by material type across market conditions,"These durations drive the critical path schedule. Cross-domain: Building Elements (Structural Frame, Exterior Enclosure, Elevators, Electrical)."
