Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- OBSERVATIONS: site findings documented during construction — the earliest quality and safety signal ---",,,,,,,,
Observations,Observation,"A documented finding from a site walk or inspection — captures conditions, hazards, deficiencies, or noteworthy items during active construction. The primary during-construction quality and safety signal. Key properties: name (issue description, 0% null, avg 33 chars), category (structured: Quality, Safety, Environmental, Commissioning, Warranty, Work to Complete — 0% null), type_name (severity/workflow: Corrective Action, Deficiency, Non-Conformance, Safety Hazard, Safety Violation — NOT issue type), status (Open, In Progress, Ready for Review, Closed), assignee (responsible party via vendor_id, 80% populated), location. Observations are LEADING indicators — 63% correlation with downstream rework, 28-day lead time, 1.98x multiplier. Lifecycle: Created → Assigned → In Progress → Ready for Review → Closed.","OSHA 29 CFR 1926 (safety); ISO 9001 §8.7 (nonconformity); company-specific observation programs","Quality, Safety, Environmental, Commissioning, Warranty, Work to Complete; severity via type_name","Procore; iAuditor/SafetyCulture; Fieldwire; PlanGrid; BIM 360 Field; paper forms; Excel","High — observation table with structured category, type_name, status, hazard_name, vendor_id. 5,923+ cos with quality observations. Widely adopted.",Compare observation density (per $M or per SF) by category and project type to benchmark quality/safety culture,"observation.name is the classification field for keyword clustering (18 validated issue categories). type_name is severity, NOT issue type. trade_id exists but has NO lookup table — dead end for V1. vendor_id (80% populated) is the trade attribution path."
Observations,Safety Observation,"An observation with category = 'Safety' — documents hazards, unsafe conditions, and safety compliance findings during site walks. Key addition: hazard_name field provides OSHA-aligned structured taxonomy (Fall, Struck By, Electrical, Caught In/Between, etc.) — 55% populated on safety observations. 16 hazard types with 50+ companies each. Recurrence detection: same hazard × project × week; 2+ consecutive weeks = 'recurring', 3+ = 'systemic'. Recurrence rates range 29–45% by hazard type.","OSHA 29 CFR 1926 (Construction Safety); OSHA Focus Four Hazards; ANSI/ASSP Z590.3","Fall Protection, Struck By, Electrical, Caught In/Between, Housekeeping, PPE, Scaffolding, Excavation, Ladder Safety","Procore; iAuditor/SafetyCulture; Safety management platforms; paper forms","High — observation table with hazard_name (OSHA-aligned taxonomy), 1,296+ cos with recurring safety patterns",Compare hazard recurrence rates and safety observation density across project types and companies,"hazard_name is 45.4% null — only 55% of safety obs have structured hazards. Corrective action linkage is sparse (1.2% via incident_action). Daily log safety violations were validated as UNUSABLE for recurrence tracking (subject 66% null, no vendor FK)."
Observations,Quality Observation,"An observation with category = 'Quality' — documents workmanship deficiencies, material issues, and quality non-conformances during active construction. The strongest during-construction quality signal. keyword clustering on observation.name yields 18 issue categories including Doors/Windows, Electrical, Paint/Finish, Plumbing/Piping, Cracks/Damage, HVAC, Waterproofing. 43% of quality observations cluster into named categories. 3D analysis validated: issue distribution varies by project type (Commercial = Doors/Windows #1, Healthcare = Electrical #1, Industrial = Cracks/Damage #1).","ISO 9001 §8.7 (Control of Nonconforming Outputs); company-specific QC programs","Corrective Action, Deficiency, Non-Conformance; 18 issue categories via keyword clustering","Procore; iAuditor/SafetyCulture; Fieldwire; BIM 360 Field; paper forms","High — observation table filtered by category = 'Quality'. 5,923 cos with quality observation data.",Compare quality observation density and issue category distribution across project types,"Quality observations + punch items form the dual-signal model for Common Quality Issues (insight #4). Observations are during-construction; punch items are closeout. Combined: 12,556 unique companies."
Observations,Environmental / Commissioning Observation,"Observations with category = 'Environmental' or 'Commissioning' — documents environmental compliance findings (erosion control, dust, spills) and commissioning findings (system performance, functional testing results, equipment issues). Lower volume than Quality and Safety categories but important for specialized compliance and handover tracking.","EPA NPDES (environmental); ASHRAE Guideline 0 (commissioning); LEED commissioning prerequisites","Environmental: erosion, sediment, spill, dust, dewatering. Commissioning: functional test, performance, equipment startup, controls verification.","Procore; specialized commissioning software (Cx Alloy, Kahua); environmental compliance tools; Excel","Medium — same observation table, lower adoption for Environmental and Commissioning categories compared to Quality/Safety",Compare commissioning observation volume per system to benchmark handover quality,"Environmental and Commissioning observations follow the same data structure but serve different compliance purposes. Commissioning observations often link to specific building systems (HVAC, electrical, controls)."
"--- INSPECTIONS: formal examinations against checklists or standards ---",,,,,,,,
Inspections,Inspection,"A formal structured examination of work against defined criteria — conducted by quality managers, safety officers, third-party inspectors, or regulatory authorities. Key properties: name, status (Open, In Progress, Ready for Review, Closed), type (company-defined), inspection_type (Safety, Quality, Commissioning — but 93% null on group field, nearly useless). Inspections contain inspection items (individual checklist lines). Scheduled inspections track recurring compliance checks. Lifecycle: Created/Scheduled → In Progress → Complete → Closed.","ISO 9001 §8.6 (Release of Products); OSHA inspection requirements; IBC special inspections; ACI 318 (concrete testing)","Safety, Quality, Commissioning, Pre-pour, Pre-cover, Structural, Electrical, Fire Protection, Environmental","Procore; iAuditor/SafetyCulture; Fieldwire; PlanGrid; paper checklists; BIM 360 Field","High — inspections table with status, type, result tracking. inspection_assignees, inspection_schedules, inspection_item_activity, inspection_item_comments all READY.",Compare inspection volume and pass rate across project types and inspection categories,"inspections.group values are lowercase ('quality', 'safety') but 93% null — nearly useless for categorization. Inspection type is the better filter. Inspections are the formal complement to observations — observations are ad-hoc, inspections are scheduled."
Inspections,Inspection Item,"An individual line item within an inspection checklist — the atomic unit of conformance checking. Key properties: name (item description), status (structured, capitalized: 'Conforming', 'Deficient', 'Not Applicable', 'Uninspected', 'Neutral'). Deficient items trigger corrective action workflows. Deficiency rate ranges 2–6% by inspection type across 5,470 companies. Names are safety-focused and more descriptive than observation names.","ISO 9001 checklist requirements; OSHA checklist standards; company-specific inspection templates","Conforming, Deficient, Not Applicable, Uninspected, Neutral; 91K+ recurring deficiency patterns across 1,630 cos","Procore; iAuditor/SafetyCulture; paper checklists","High — inspection_items table with structured status values. inspection_item_activity and inspection_item_comments provide audit trail.",Compare deficiency rate (Deficient / Total Items) across inspection types and project types,"inspection_items.status values are CAPITALIZED ('Deficient' not 'deficient'). Recurring deficiency detection: same item name × project × inspection type. Deficient items in inspections are a second signal for violation tracking (insight #11)."
Inspections,Scheduled Inspection,"A recurring or planned inspection defined in advance — ensures systematic compliance checking on a regular cadence. Tracks inspection frequency, assigned inspector, and schedule compliance. Scheduled inspections that are missed or late are a compliance gap signal.","OSHA periodic inspection requirements; IBC §1704 (special inspections); contract-specified inspection schedules","Daily safety walk, weekly quality audit, monthly fire protection check, pre-pour inspection, pre-cover inspection, close-in inspection","Procore; iAuditor/SafetyCulture; scheduling tools; Excel","High — inspection_schedules table tracks planned inspections with frequency and assignee",Compare scheduled vs. actual inspection compliance rate across project types,"Scheduled inspection adherence rate = actual inspections / scheduled inspections. Low adherence signals resource constraints or deprioritized quality/safety programs."
Inspections,Third-Party / Special Inspection,"An inspection conducted by an independent testing or inspection agency — required by building codes for structural, fire protection, and other critical systems. Special inspections are mandated by IBC Chapter 17 for specific construction activities (structural steel, concrete placement, fireproofing, sprinkler systems). Results are reported to the authority having jurisdiction (AHJ). Distinct from internal QC inspections — third-party inspections carry regulatory weight.","IBC §1704 (Special Inspections); ACI 318; AISC 360; NFPA 13; local jurisdiction requirements","Structural steel (welding, bolting), concrete (pre-pour, placement, curing), fireproofing, sprinkler systems, soil compaction, waterproofing","Procore (as inspections or forms); testing lab portals; paper reports; specialized inspection software","Medium — tracked through inspections tool or forms, but no dedicated third-party inspection table. Results often uploaded as attachments rather than structured data.",Compare third-party inspection pass rate and required retest frequency across project types,"Third-party inspection failures often trigger re-work and schedule delays. Results connect to building elements (which system was inspected) and financial instruments (cost of retesting). Testing agency is an Organization domain entity."
