Category,Relationship,Inverse,Definition,Cardinality,Lifecycle Phases,Construction Examples
"--- COMPOSITIONAL: structural containment — what's inside what ---",,,,,,
Compositional,CONTAINS,PART_OF,"Parent entity hierarchically contains child entities at any nesting level",1:many,All,"Project contains phases; phase contains work packages; building contains floors; floor contains zones; inspection contains checklist items; budget contains line items; schedule contains tasks"
Compositional,COMPOSED_OF,COMPONENT_OF,"Entity is physically or logically made up of constituent parts",1:many,All,"Building system composed of elements; assembly composed of materials; work package composed of activities; contract composed of scope items"
"--- CLASSIFICATION: how things are categorized and mapped to standards ---",,,,,,
Classification,CLASSIFIED_AS,CLASSIFIES,"Entity belongs to a category within a taxonomy or coding system",many:1,All,"Change order classified as design change; observation classified as safety hazard; cost classified under Division 26 Electrical; delay classified as weather"
Classification,MAPS_TO,MAPPED_FROM,"Entity maps to an equivalent in a different standard or classification system",many:1,All,"Company cost code maps to CSI MasterFormat division; field observation maps to OSHA hazard category; local spec section maps to industry standard"
Classification,TYPED_AS,TYPE_OF,"Entity has a specific type within its broader class",many:1,All,"Contract typed as subcontract vs. purchase order; change typed as owner-directed vs. design error; inspection typed as quality vs. safety; submittal typed as shop drawing vs. product data"
"--- RESPONSIBILITY: who does / owns / is accountable for what ---",,,,,,
Responsibility,ASSIGNED_TO,HAS_ASSIGNMENT,"Work item or issue assigned to a responsible party for action",many:1,Construction / Closeout,"Punch item assigned to drywall sub; RFI assigned to structural engineer; deficiency assigned to responsible contractor; action item assigned to project manager"
Responsibility,CONTRACTED_TO,HAS_CONTRACT,"Scope of work commercially contracted to a vendor or trade partner",many:1,Procurement / Construction,"Electrical scope contracted to ABC Electric; steel supply contracted to fabricator; testing services contracted to third-party lab"
Responsibility,PERFORMED_BY,PERFORMS,"Work physically executed by a trade or crew",many:1,Construction,"Concrete pour performed by concrete crew; wiring performed by electricians; waterproofing performed by specialty applicator"
Responsibility,MANAGED_BY,MANAGES,"Entity overseen or administered by a person or role at the project or program level",many:many,All,"Project managed by project manager; program managed by owner's rep; safety managed by safety director; schedule managed by project controls"
Responsibility,INSPECTED_BY,INSPECTS,"Entity examined or verified by a qualified party",many:many,Construction / Commissioning / Closeout,"Fire stopping inspected by special inspector; air balance verified by TAB contractor; concrete strength verified by testing lab; punchlist walked by owner's rep"
Responsibility,DESIGNED_BY,DESIGNS,"Entity created or specified by a design professional",many:1,Preconstruction,"Structural system designed by structural engineer; MEP systems designed by MEP engineer; landscape designed by landscape architect; lighting designed by lighting consultant"
Responsibility,OWNED_BY,OWNS,"Entity owned by a party who has decision authority over it",many:1,All,"Project owned by developer; asset owned by facility owner; specification owned by architect of record; change authority owned by owner"
"--- FINANCIAL: how money flows through a project ---",,,,,,
Financial,COSTS_AGAINST,RECEIVES_COST,"Actual cost attributed to a budget category or cost account",many:1,Construction / Closeout,"Rework cost charges against concrete cost code; change order costs against design contingency; direct cost charges against general conditions"
Financial,COMMITTED_TO,HAS_COMMITMENT,"Budget dollars contractually committed to a scope of work via contract or purchase order",many:1,Procurement / Construction,"$2M committed to electrical subcontract; $500K committed to steel purchase order; $50K committed to testing services"
Financial,BILLED_AGAINST,HAS_BILLING,"Invoice or pay application submitted against a contract or budget line",many:1,Construction / Closeout,"Monthly pay app billed against electrical subcontract; material invoice billed against purchase order; retainage release billed at substantial completion"
Financial,BUDGETED_FOR,HAS_BUDGET,"Budget amount allocated for a planned scope or cost category",many:1,Preconstruction / Procurement,"$3M budgeted for structural steel; $200K budgeted for owner contingency; allowance budgeted for unforeseen conditions"
Financial,ADJUSTS,ADJUSTED_BY,"Financial modification that changes an existing allocation or commitment",many:1,Construction / Closeout,"Budget transfer adjusts concrete line item; change order adjusts subcontract value; cost reallocation adjusts contingency"
"--- LIFECYCLE: how things evolve and transition through states ---",,,,,,
Lifecycle,BECOMES,DERIVED_FROM,"Entity evolves or transforms into a different entity type as it progresses",many:many,All,"RFI becomes change order; estimate becomes budget; punch item becomes warranty claim; proposal becomes contract; potential change becomes approved change"
Lifecycle,VERSIONED_AS,VERSION_OF,"Entity has successive revisions tracked over time",1:many,All,"Drawing versioned as Rev C; schedule versioned as Update #12; specification versioned as Addendum 2; submittal versioned as resubmittal"
Lifecycle,SUPERSEDES,SUPERSEDED_BY,"Newer entity replaces an older one — the old entity is no longer current",1:1,All,"Addendum 3 supersedes Addendum 2; revised drawing supersedes original; updated schedule supersedes baseline; new spec section supersedes prior issue"
Lifecycle,RESOLVES_TO,HAS_RESOLUTION,"Entity reaches a terminal state or disposition",many:1,Construction / Closeout,"Observation resolves to closed; submittal resolves to approved as noted; RFI resolves to answered; punch item resolves to accepted; claim resolves to settled"
Lifecycle,APPROVED_AS,HAS_APPROVAL,"Entity reviewed and approved with a specific status or conditions",many:1,All,"Submittal approved as noted; change order approved; pay application approved for payment; material sample approved; shop drawing approved with comments"
"--- CAUSAL: where things come from and what they cause ---",,,,,,
