Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- PROJECT LEADERSHIP: executives and managers who run the project ---",,,,,,,,
Project Leadership,Owner's Representative,"Owner's on-site or dedicated agent who makes decisions on the owner's behalf — design review, scope decisions, change authorization, acceptance of work, dispute resolution, stakeholder management. Consumes budget reports, schedule updates, change requests, pay applications. Produces change authorizations, design approvals, acceptance letters, field directives. Active across all phases from conception through warranty. Decision authority: High — authorized to make binding decisions for owner on scope, cost, and schedule.","CMAA (owner representation standards); AIA A201 (owner's role); PMI PMP","Owner's rep; OR; owner's PM; client representative","Procore (project_users, project_role_memberships); Primavera Unifier; Kahua; e-Builder; Excel","Medium — tracked in project_role_memberships and project_users; role_name may include Owner's Rep but not consistently classified",Compare owner's rep decision response times and change authorization turnaround across project types,"Scope of authority varies by contract — some can authorize changes up to a threshold, others must escalate. Critical gatekeeper. Cross-domain: Organizations (Owner/Developer), Financial Instruments (change authorization)."
Project Leadership,Project Executive,"Senior leader overseeing a project or group of projects for the GC or CM — portfolio oversight, client relationship, risk escalation, financial performance, resource allocation, contract negotiations. Consumes monthly financial reports, schedule summaries, risk registers. Produces executive summaries, escalation decisions, resource commitments. Active across all phases with higher involvement during procurement and major milestones. Decision authority: High — approves GMP, major change orders, staffing.","PMI PMP/PgMP; AGC project executive standards","Project exec; PE; VP of operations; division manager","Procore (project_users); ERP systems (Sage, Viewpoint, CMiC); Excel","Low — tracked in project_users but no structured PE role classification; PE activity not captured in daily workflows",Compare PE portfolio span (projects per PE) and escalation frequency across company sizes,"Typically manages 2-5 projects simultaneously. The PE is the GC's senior relationship with the owner. Gets involved for major decisions and problem resolution."
Project Leadership,Project Manager,"Day-to-day leader of the project — owns schedule, budget, and subcontractor management. Consumes daily reports, budget/schedule updates, RFIs, submittals, change events, pay applications. Produces monthly reports, budget forecasts, schedule updates, meeting minutes, change order packages. Active from Procurement through Closeout. Decision authority: Medium-High — manages budget and schedule; recommends changes; escalates major issues to PE.","PMI PMP; CMAA CCM; AGC project management standards","PM; project manager; construction manager (on owner side)","Procore (primary user — all modules); Sage 300; Viewpoint Vista; CMiC; MS Project; P6; Excel","High — project_role_memberships tracks PM role (role_name = 'Project Manager'); PM is the primary Procore power user across all modules",Compare PM workload (projects per PM) and project performance (cost growth, schedule variance) across project types,"The central hub of project information — PM touches every UCDM domain. GC PM vs. owner PM have different perspectives but both need the same data. Cross-domain: all domains."
Project Leadership,Assistant Project Manager,"Supports PM with day-to-day management — often assigned specific scope areas or administrative functions. Manages submittal tracking, RFI coordination, subcontract administration, insurance tracking, meeting coordination, document control. Active from Procurement through Closeout. Decision authority: Low-Medium — executes PM decisions; manages defined scope areas; limited authorization for minor changes.","PMI CAPM; AGC; CMAA","APM; assistant PM; junior PM","Procore (submittals, RFIs, commitments, correspondence, document management); Sage 300; Viewpoint; Excel","Medium — tracked in project_users; may have project_role_memberships entry; APM is a heavy Procore user but role not always distinguished from PM",Compare APM scope coverage (trades managed per APM) and administrative task completion rates,"Career progression: APM → PM → PE. The APM role is where most people learn construction management. Typically assigned specific trades. Cross-domain: Documents (submittals, RFIs), Financial Instruments (subcontract admin)."
Project Leadership,Design Manager,"Manages the design process and design team coordination for the GC or owner — design review, constructability review, design schedule management, value engineering. Primarily a design-build or CM at Risk role. Active during Preconstruction; extends into Construction for design-build. Decision authority: Medium — recommends design decisions; manages design consultants; does not stamp drawings.","AIA (design phase standards); DBIA (design-build management); AGC","Design manager; VDC director; preconstruction design lead","Procore (RFIs, submittals, drawings, coordination issues); BIM 360; Revit; Bluebeam; Newforma","Low — not a standard project_role_memberships role; design manager activity captured indirectly through RFI/submittal workflows",Compare design review turnaround times and constructability issue identification rates across delivery methods,"Bridges the gap between design intent and construction reality. Manages the A/E team on behalf of the GC. Cross-domain: Organizations (Design Team), Phases (Design Development)."
"--- FIELD OPERATIONS: personnel who manage work on the jobsite ---",,,,,,,,
Field Operations,Superintendent,"Senior field leader responsible for day-to-day construction operations — trade coordination, schedule enforcement, quality oversight, safety enforcement, site logistics, daily reporting. Consumes lookaheads, daily logs, inspection schedules, safety reports, coordination notes, drawing sets. Produces daily reports, coordination schedules, field directives, site logistics plans. Active from Construction through Closeout. Decision authority: Medium-High — controls site access, work sequence, schedule priorities; can stop unsafe work.","OSHA 29 CFR 1926 (competent person requirements); AGC (field management)","Superintendent; super; site manager; general superintendent","Procore (daily logs — primary creator, inspections, observations, punch items, schedule); Raken; Fieldwire; PlanGrid","High — project_role_memberships tracks superintendent role; super is the primary daily log creator and field Procore user",Compare superintendent span of control (subcontractors per super) and daily reporting compliance rates,"The superintendent owns the field — everything on site flows through the super. Typically the most experienced person on the project. Cross-domain: Field Operations (daily logs), Phases (all construction phases)."
Field Operations,Assistant Superintendent,"Supports superintendent with field coordination — often assigned to specific building areas or trades. Manages area-specific trade coordination, daily documentation, inspection coordination, material tracking, quality walks. Active from Construction through Closeout. Decision authority: Low-Medium — manages assigned area; escalates issues to superintendent.","OSHA 29 CFR 1926; AGC","Assistant super; area super; assistant superintendent","Procore (daily logs, inspections, observations, punch items); Raken; Fieldwire; PlanGrid","Medium — tracked in project_users; may appear in project_role_memberships; creates daily logs and field records for assigned areas",Compare assistant superintendent area assignments and deficiency identification rates per area,"Often assigned specific floors, areas, or trade groups. Career path to superintendent. May have 1-3 areas depending on project size."
Field Operations,Project Engineer,"Technical field support — manages engineering and documentation aspects of field work. Drafts RFIs, coordinates submittals, tracks as-builts, reviews shop drawings, tracks quantities, solves technical problems. Bridge between office (PM team) and field (super team). Active from Construction through Closeout. Decision authority: Low — identifies issues and proposes solutions; does not authorize changes.","PMI; AGC; AACE (project controls)","PE (field); project engineer; field office engineer","Procore (RFIs, submittals, daily logs, as-built markups); Bluebeam; Excel; BIM tools","Medium — tracked in project_users; creates RFIs, manages submittals in Procore; role not always distinguished in project_role_memberships",Compare project engineer RFI drafting rates and submittal processing turnaround across project types,"Often the first to identify technical conflicts. Strong career development role. Cross-domain: Documents (RFIs, submittals), Building Elements (technical issues)."
Field Operations,Field Engineer,"Entry-level field position focused on surveying, layout, and construction documentation — concrete placement monitoring, quantity verification, material receiving, photo documentation. Starting point for most construction careers. Active during Construction. Decision authority: Low — executes technical tasks under supervision; flags discrepancies.","OSHA 10/30 (safety training); survey instrument certifications","Field engineer; junior engineer; layout engineer","Procore (daily logs, photos, material receiving); survey instruments (Trimble, Topcon, Leica); Bluebeam","Low — tracked in project_users but field engineer role rarely classified in project_role_memberships; photo and daily log contributions tracked",Compare field engineer documentation volume and discrepancy identification rates across project types,"Gets hands dirty — learns how buildings actually go together. Transitions to PE or assistant super. Cross-domain: Field Operations (daily documentation)."
