ucdm_element,ucdm_code,section,databricks_table,key_columns,primary_key,gold_ready,join_path_to_projects,critical_gotcha
Project Budget,fi-budget,Budget & Cost Structure,finance.budget_line_items (aggregated),"project_id, SUM(amount), SUM(original_amount)",budget_line_item_id,N,budget_line_items.project_id = projects.project_id,NOT READY in gold. Use projects.total_value as proxy. Budget = PLANNED spend not actual cost.
Budget Line Item,fi-budget-line,Budget & Cost Structure,finance.budget_line_items,"budget_line_item_id, project_id, cost_code_id, wbs_code_id, original_amount, amount",budget_line_item_id,N,budget_line_items.project_id = projects.project_id,"NOT READY in gold. amount = PLANNED allocation, not actual cost."
Cost Code,fi-cost-code,Budget & Cost Structure,finance.cost_codes,"cost_code_id, code, name, standard_cost_code_id, company_id",cost_code_id,Y,cost_codes.company_id = companies.company_id,"First 2 digits of code = MasterFormat division = building system. Codes vary wildly between companies."
WBS Code,fi-wbs-code,Budget & Cost Structure,finance.wbs_codes,"wbs_code_id, cost_code_id, cost_code, cost_code_name, wbs_code_flat_code, line_item_type, project_id",wbs_code_id,Y,wbs_codes.project_id = projects.project_id,"THE key FK on all financial line items. Adoption varies — some companies use 5+ segments, others none."
Budget Code,fi-budget-code,Budget & Cost Structure,finance.budget_codes,"budget_code_id, code, name, company_id",budget_code_id,N,via budget_line_items,"NOT READY in gold. Least standardized code type. 'Rework'/'Warranty' codes = rework signal (339 cos)."
Commitment (Subcontract),fi-commitment-sub,Commitments,finance.commitments,"commitment_id, project_id, vendor_id, title, status, type",commitment_id,Y,commitments.project_id = projects.project_id,"Filter: type = 'Subcontract'. Title often names trade scope. Vendor links to Organizations domain."
Commitment (Purchase Order),fi-commitment-po,Commitments,finance.commitments,"Same as subcontract — filter by type",commitment_id,Y,commitments.project_id = projects.project_id,"Filter: type = 'Purchase Order'. PO delays = schedule risk → Material Shortage insight."
Commitment Line Item,fi-commitment-line,Commitments,finance.commitment_line_items,"commitment_line_item_id, commitment_id, cost_code_id, wbs_code_id, description, amount",commitment_line_item_id,N,via commitments.project_id,"NOT READY in gold. Sum by cost code = committed cost on budget line. Description = NLP signal."
Change Event (CE),fi-chg-event,Change Management,finance.change_events,"change_event_id, project_id, title, change_reason, origin_type, origin_id, mapped_to_status, status",change_event_id,N,change_events.project_id = projects.project_id,"change_event_id NOT 'id'. change_reason is PRIMARY (snake_case). origin_id is bigint FK (91.5% null NOT a category). mapped_to_status != 'void'. NEVER sum CE+CCO."
CE Line Item,fi-chg-event-line,Change Management,finance.change_event_line_items,"change_event_line_item_id, change_event_id, wbs_code_id, latest_cost_amount, description, commitment_potential_change_order_line_item_id",change_event_line_item_id,N,via change_events.project_id,"latest_cost_amount NOT 'amount'. wbs_code_id → cost_codes → building system. CPCO line item link 40.8% populated."
