Domain,Description,Elements,Status,Connections,Notes
Building Elements,"What's being built — the physical systems, assemblies, and components that make up a constructed facility","14 categories (systems), 86 elements, 6 standard measures. Categories: Site & Earthwork (4), Foundations (6), Site Utilities (5), Structural Frame (7), Exterior Enclosure (7), Roofing (5), HVAC (8), Plumbing (7), Electrical (6), Fire Protection (5), Low Voltage & Technology (5), Interiors (14), Elevators (2), Site Improvements (5)",Defined,4 out / 12 in (16 total),"taxonomy-building-elements.csv. Migrated to unified 9-column structure. Category = System, Description = heavy-lifting column with trades/materials/lifecycle woven in. Procore Coverage = High/Medium/Low/None. 6 standard measures added."
Resources,"What's used to build — the labor, equipment, and materials consumed during construction","4 sections, 70 elements. Trades (25): General Laborer, Carpenter, Concrete Worker, Ironworker, Mason, Roofer, Glazier, Waterproofer, Drywall, Painter, Floor Installer, Ceiling Installer, Insulation Installer, Fireproofer, Plumber, HVAC/Sheet Metal, Electrician, Sprinkler Fitter, Elevator Mechanic, Low Voltage Tech, Equipment Operator, Surveyor, Safety Professional, QC Inspector, Commissioning Agent | Equipment (11): Crane, Earthmoving, Concrete, Material Handling, Access, Compaction, Piling/Foundation, Hauling, Temporary Utilities, Welding/Fabrication, Survey/Layout | Materials (25): Concrete, Rebar, Structural Steel, Lumber, Masonry, Roofing, Waterproofing, Thermal/Fire Protection, Doors/Frames/Hardware, Glass/Glazing, Interior Framing/Gypsum, Ceilings, Flooring, Paint/Coatings, Specialties, Casework/Millwork, Plumbing, HVAC Distribution, HVAC Equipment/Controls, Electrical Distribution/Wiring, Lighting, Fire Protection, Low Voltage, Site/Utility Materials, Elevator/Conveying | Standard Measures (9)",Defined,2 out / 9 in (11 total),"taxonomy-resources.csv. Migrated to unified 9-column structure. 70 elements across 4 sections. Sub-categories consolidated into Common Values and Description. Procore Coverage: High 3 (4%), Medium 56 (81%), Low 10 (14%), None 0. MasterFormat references throughout. 9 standard measures added."
Phases,When work happens in the project lifecycle — the major stages from conception through operations,"Preconstruction (5 sub-phases): Programming & Feasibility, Design Development, Estimating & Budgeting, Permitting & Approvals, Preconstruction Planning | Procurement (4): Bidding & Buyout, Submittals & Shop Drawings, Fabrication & Long-Lead Items, Material Ordering & Delivery Coordination | Mobilization (2): Site Setup, Safety & Environmental Orientation | Sitework & Foundations (5): Demolition & Site Clearing, Earthwork, Site Utilities, Foundations, Slab on Grade | Structure (4): Structural Steel Erection, Elevated Concrete, Concrete Frame, Stairs & Miscellaneous Metals | Building Enclosure (4): Curtain Wall & Glazing, Masonry & Cladding, Air & Moisture Barrier, Roofing | MEP Rough-In (6): Above-Ceiling Coordination, HVAC Distribution, Plumbing Rough-In, Electrical Rough-In, Fire Protection, Low Voltage Rough-In | Interior Rough-In (3): Metal Stud Framing, Drywall, Ceiling Grid | Finishes & MEP Trim (10): Paint & Wall Coatings, Flooring, Ceilings, Doors & Hardware, Casework & Millwork, HVAC Trim & Controls, Plumbing Fixtures, Electrical Devices & Lighting, Fire Alarm & Detection Devices, Low Voltage Devices | Commissioning (5): Pre-Functional Testing, Systems Startup, TAB, Integrated Systems Testing, Performance Verification | Closeout (5): Punch List, Final Inspections & Approvals, As-Built Documentation, Owner Training, Contract Closeout | Warranty & Operations (3): Warranty Period, Seasonal Commissioning, Facility Transition",Defined,6 out / 6 in (12 total),"taxonomy-phases.csv. Migrated to unified 9-column structure. 12 phases, 56 sub-phases + 7 standard measures (63 elements). 8 sections. Description = heavy-lifting column with activities, gates, durations, building systems. Procore Coverage: High 16, Medium 27, Low 10, None 3 (sub-phases). Industry standards and source systems added throughout."
Project Attributes,"What defines a project — the properties used to classify, compare, and segment projects","11 sections, 79 elements. Project Identity (5): Project Type, Subtype, Sector, Work Type, Program Type | Financial (7): Estimated Value, Contract Value, Value Band, Cost/SF, Hard Cost, Contingency, Final Cost | Location (8): Address, City, State, Country, ZIP, Climate Zone, Seismic Category, Region | Schedule (8): Planned/Actual Start, Planned/Actual Completion, Planned/Actual Duration, Precon Duration, Season | Procurement (6): Delivery Method, Contract Type, Bid Type, Bonding, Prevailing Wage, Union/Open Shop | Building (12): Area, Stories Above/Below, Height, Site Area, Structural System, Foundation, Units, Parking, Construction Type, Occupancy, Code Edition, Sprinkler, Accessibility | Standards (5): LEED, WELL, Energy Code, Net Zero, Resilience | Organization (6): Owner Type, GC/CM, Architect, Sub Count, Peak Workforce, Self-Perform | Scope (8): New/Existing, Occupied, Phased, Fast-Track, Site Constraints, BIM, Modular/Prefab, Specialty Systems | Performance (5): Status, Phase, % Complete, CPI, SPI | Standard Measures (7)",Defined,8 out / 0 in (8 total),"taxonomy-project-attributes.csv. Migrated to unified 9-column structure. 79 elements across 11 sections. Procore Coverage: High ~22%, Medium ~17%, Low ~24%, None ~31%. Many None items are contextual attributes (delivery method, contract type, code classifications) that live in design/contract documents rather than PM systems. Industry standards (AIA, AACE, IBC, ASHRAE, OSHA, PMI) and source systems (Procore + 10 others) added throughout. 7 standard measures (cost growth, schedule growth, CO rate, RFI density, TRIR, punch density, submittal approval rate)."
Organizations,"Who's involved — the companies, firms, and entities that participate in a project","Owner / Developer (3): Private Developer, Institutional Owner, Public / Government Entity | Construction Management (5): General Contractor, CM at Risk, CM Agency, Design-Builder, Program Manager | Design Team (7): Architect of Record, Structural Engineer, MEP Engineer, Civil Engineer, Fire Protection Engineer, Geotechnical Engineer, Landscape Architect | Specialty Consultants (6): Specifications Writer, Lighting Designer, Acoustics Consultant, Building Envelope Consultant, Sustainability / LEED Consultant, Code Consultant | Trade Contractors (2): Subcontractor (Trade-Specific), Self-Performing GC Division | Suppliers & Fabricators (3): Material Supplier, Fabricator, Equipment Rental Company | Testing & Inspection (4): Special Inspection Agency, Materials Testing Lab, Commissioning Agent, Environmental Monitoring Firm | Regulatory Authorities (6): Building Department, Fire Marshal, Health Department, Environmental / EPA Agency, OSHA / Safety Authority, Zoning / Planning Authority | Financial Institutions (3): Construction Lender, Surety / Bonding Company, Insurance Broker / Carrier | Utilities (4): Electric Utility, Gas Utility, Water / Sewer Authority, Telecom / Internet Provider",Defined,5 out / 7 in (12 total),"taxonomy-organizations.csv. Unified 9-column structure. 11 sections, 49 elements (43 organization types + 6 standard measures). Procore Coverage: High 5 (10%), Medium 12 (24%), Low 17 (35%), None 9 (18%) on org types; standard measures vary. Trade Contractors section intentionally thin (Subcontractor, Self-Performing GC Division) — trade specialization lives in Resources domain (25 trade families). Connected via relationship layer, not duplicated. Contracts & Procurement domain covers the commercial process for engaging these organizations."
Roles,What function people play on a project — distinct from the organization they belong to,"Project Leadership (5): Owner's Representative, Project Executive, Project Manager, Assistant Project Manager, Design Manager | Field Operations (7): Superintendent, Assistant Superintendent, Project Engineer, Field Engineer, Foreman / General Foreman, Journeyman / Craft Worker, Apprentice | Safety & Quality (3): Safety Manager / Safety Director, Safety Officer / Safety Coordinator, Quality Manager / QC Inspector | Preconstruction & Estimating (2): Estimator / Chief Estimator, Preconstruction Manager | Project Controls (3): Scheduler / Project Controls Manager, Document Controller, Cost Engineer / Cost Analyst | BIM & Technology (2): BIM Manager / VDC Coordinator, Technology Manager | Procurement & Contracts (2): Procurement Manager, Contract Administrator | Commissioning & Startup (2): Commissioning Agent, TAB Technician | Office & Administrative (2): Office Manager / Project Admin, Accountant / Financial Analyst",Defined,2 out / 4 in (6 total),"taxonomy-roles.csv. Unified 9-column structure. 10 sections, 33 elements (28 roles + 5 standard measures). Procore Coverage: High 6 (18%), Medium 18 (55%), Low 8 (24%), None 1 (3%). Migrated from 10-column format — all knowledge preserved in Description column. Roles are context-dependent — same person can hold different roles on different projects."
Locations,Where work happens physically — the hierarchical spatial decomposition of a project site,"Level 0 — Project Site (1): Project Site | Level 1 — Major Divisions (5): Building, Exterior Zone, Laydown / Staging Area, Right-of-Way, Temporary Facility | Level 2 — Floor / Level (3): Floor / Level, Below-Grade Level, Roof Level | Level 3 — Zone (3): Zone / Wing, Core / Shaft, Ceiling Plenum | Level 4 — Room / Space (3): Room / Space, Functional Area, Wet Area | Level 5+ — Sub-Space (3): Wall / Surface, Equipment Location, Penetration / Opening | Cross-Cutting (4): Fire / Smoke Compartment, Work Zone / Phase Area, Commissioning Zone, Grid Line Intersection",Defined,4 out / 9 in (13 total),"taxonomy-locations.csv. Unified 9-column structure. 7 sections, 29 elements (22 location types + 7 standard measures). Procore Coverage: High 10 (34%), Medium 10 (34%), Low 9 (31%), None 0. Migrated from 10-column hierarchy format — all knowledge preserved (parent/child, records, building systems, project types woven into Description and Notes)."
Financial Instruments,"How money flows through a project — the budgets, contracts, changes, costs, and payments","Budget & Cost Structure (5): Project Budget, Budget Line Item, Cost Code, WBS Code, Budget Code | Commitments (3): Commitment (Subcontract), Commitment (Purchase Order), Commitment Line Item | Change Management (7): Change Event, Change Event Line Item, Potential Change Order (CPCO), Commitment Change Order (CCO), CCO Line Item, Owner Change Order, Budget Modification | Cost Tracking (2): Direct Cost, Direct Cost Line Item | Billing & Payment (5): Owner Invoice / Pay Application, Subcontractor Invoice, Retainage, Payment, Lien Waiver | Financial Classification (3): Schedule of Values, Allowance, Contingency | Earned Value & Forecasting (2): Cost Forecast / EAC, Cash Flow Projection",Defined,12 out / 3 in (15 total),"taxonomy-financial-instruments.csv. Unified 9-column structure. 8 sections, 36 elements (27 instruments + 9 standard measures). Procore Coverage: High 23 (64%), Medium 8 (22%), Low 5 (14%), None 0 (0%). Scope split with Contracts & Procurement: Financial Instruments = money flow (budgets, costs, changes, billing, forecasting). Contracts & Procurement = commercial process (bidding, prequalification, contract terms, surety, insurance, warranties). High-level contract instruments (Subcontract, PO) appear in both — financial detail here, commercial terms there. Critical rules: CE→CPCO→CCO deduplication (GREATEST, never sum); budget = planned spend, not actual cost; tool availability gating."
Schedule,"How work is sequenced — the tasks, milestones, dependencies, and baselines that define project timing","Activity Structure (6): Detail Activity, Summary Activity & WBS, Milestone, Activity Identification, Duration & Progress, Activity Codes | Logic & Dependencies (5): Relationship Type, Lag & Lead Time, Dependency Classification, Open Ends, Logic Density & Redundancy | Time Management (5): Work Calendar, Schedule Constraint, Calculated Dates, Data Date, Baseline Dates | Schedule Analysis (4): Float / Slack, Critical Path, Path Analysis Methods, Earned Schedule | Schedule Lifecycle (5): Baseline Schedule, Schedule Update, Look-Ahead Schedule, Recovery Schedule, As-Built Schedule | Resource & Cost Loading (4): Labor Loading, Equipment Loading, Cost Loading & Cash Flow, Resource Leveling | Delay & Claims (5): Delay Classification, Time Impact Analysis, Retrospective Delay Analysis, Time Extension Request, Acceleration | Schedule Quality (3): DCMA 14-Point Assessment, Specification Compliance, Critical Path Length Index | Schedule Integration (4): Schedule Levels, CPM Tool Integration, Schedule-to-Field Linkage, Schedule Change Tracking | Lean & Alternative (4): Last Planner System, Takt Time Planning, Linear Scheduling, 4D/5D BIM Scheduling | Standard Measures (8): SPI, BEI, Float Erosion Rate, Milestone Adherence Rate, Critical Activity Ratio, PPC, Out-of-Sequence Rate, Schedule Health Score",Defined,5 out / 9 in (14 total),"taxonomy-schedule.csv. Unified 9-column structure. 11 sections, 53 elements (45 schedule concepts + 8 standard measures). Procore Coverage: High 15 (28%), Medium 23 (43%), Low 13 (25%), None 2 (4%). Consolidated from 112-element 3-tier hierarchy (Domain→Category→Element) to 2-tier unified format — enumeration values (4 relationship types, 5 calendars, 5 constraints, 5 delay types) folded into Common Values. All domain knowledge preserved. Pressure-tested against P6 and MS Project. Standard Measures: SPI, BEI, float erosion, milestone adherence, critical activity ratio, PPC, out-of-sequence rate, schedule health score."
Documents & Communications,What information is created and exchanged — the formal and informal records of a project,"11 sections, 41 elements. Design & Construction Documents (7): Drawing Set, Drawing Sheet, Drawing Revision, Specification Section, Addendum, Bulletin/ASI | Requests & Clarifications (3): RFI, RFI Response, RFP/Pricing Request | Submittals & Approvals (5): Submittal, Submittal Response/Review, Shop Drawing, Product Data Submittal, Sample Submittal | Correspondence & Notices (4): Correspondence, Transmittal, Notice of Delay, Change Directive/CCD | Meeting Records (2): Meeting, Meeting Minutes/Meeting Item | Field Communications (5): Daily Report/Daily Log, Daily Log Note, Site Instruction, Phone Call Log, Plan Revision Notice | Action Plans & Tasks (3): Action Plan, Action Plan Line Item (Task), Project Task | Visual Documentation (2): Photo, Video | Regulatory & Compliance Documents (5): Permit Application, Certificate of Insurance, Lien Waiver, Safety Plan, SWPPP/Environmental Compliance | Closeout Documents (4): Punch List (as Document), As-Built Documentation, O&M Manual, Warranty Documentation | Forms & Templates (2): Form/ProForma Form, Daily Log Template",Defined,12 out / 4 in (16 total),"taxonomy-documents-communications.csv. Unified 9-column structure. 12 sections, 48 elements (41 documents/communications + 7 standard measures). Procore Coverage: High 28 (58%), Medium 10 (21%), Low 9 (19%), None 1 (2%). Standard Measures added: RFI Response Time, RFI Volume Density, Submittal Cycle Time, Submittal Rejection Rate, Drawing Revision Frequency, Daily Log Completion Rate, Correspondence Response Time. Documents are the connective tissue — they REFERENCE drawings/specs and LINK to building elements, financial instruments, and quality records."
