Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- CONSTRUCTION PERMITS: the primary jurisdictional authorizations required to build ---",,,,,,,,
Construction Permits,Building Permit,"Primary authorization from the local building department to begin construction. Lifecycle: Application → Plan Review → Approval → Issuance → Active → Final Inspection → Closed. Specifies scope of permitted work, applicable building codes, occupancy classification, construction type, and conditions of approval. Required before any structural or building system work begins. Issued by the Authority Having Jurisdiction (AHJ).",IBC (International Building Code); local building codes; IECC (energy code); ADA/ICC A117.1 (accessibility),"New Construction, Addition, Tenant Improvement, Shell & Core, Foundation Only, Partial Permit (early start)","Municipal permit portals (Accela / Citizenserve / EnerGov); architect offices; Excel; email; paper",None — no native permit tracking module; permits tracked as uploaded documents or action plan items,"Permit approval cycle time by jurisdiction and project type reveals regulatory efficiency and planning requirements","Critical path item — construction cannot legally start without an issued building permit. Most jurisdictions allow early-start or partial permits for foundations while full permit is pending. The permit set of drawings is the code-reviewed approved construction document set."
Construction Permits,Demolition Permit,"Authorization to demolish or remove existing structures. Lifecycle: Application → Hazmat Survey → Review → Approval → Issuance → Active → Completion Notification. Requires documentation of hazardous material surveys (asbestos / lead / PCBs) and abatement plans before issuance. Separate from building permit in most jurisdictions.",OSHA 29 CFR 1926 Subpart T (Demolition); EPA NESHAP (asbestos); local demolition ordinances,"Full Demolition, Partial/Selective Demolition, Interior Demolition, Soft Strip","Municipal permit portals; environmental consulting firms; Excel; paper",None — no native permit tracking; demolition scope tracked in daily logs and action plans,Demolition permit timelines by jurisdiction indicate hazmat survey requirements and regulatory complexity,"Asbestos survey is typically a prerequisite — jurisdictions won't issue demo permits without a completed survey. NESHAP notification required 10 working days before demolition of structures with regulated asbestos."
Construction Permits,Renovation / Alteration Permit,"Authorization for modifications to existing structures — alterations / repairs / changes of use. Triggers when work exceeds substantial improvement thresholds defined by the jurisdiction (often 50% of building value). May trigger full code compliance for the entire building vs. only the work area depending on scope classification. Decision authority: building official determines scope classification.",IBC Chapter 34 (Existing Buildings); IEBC (International Existing Building Code); local amendments,"Alteration Level 1/2/3, Change of Occupancy, Repair, Addition, Substantial Improvement","Municipal permit portals; code analysis reports; Excel; paper",None — no native permit tracking; renovation scope defined in project setup and specifications,Renovation permit complexity by alteration level and building age highlights code compliance cost drivers,"Often more complex than new construction — requires code analysis of the existing building. The IEBC provides prescriptive (3 alteration levels) and performance paths. Historic buildings may have additional preservation requirements."
Construction Permits,Temporary Structures Permit,"Authorization for temporary construction facilities — scaffolding / shoring / formwork / temporary enclosures / construction hoists. Required for structures affecting public safety or right-of-way. Lifecycle: Application → Engineering Review → Issuance → Active → Inspection → Removal → Closeout. Typically requires PE-stamped drawings for scaffolding over certain heights.",OSHA 29 CFR 1926 Subpart L (Scaffolds); ANSI/ASSE A10.8 (scaffolding safety); local codes,"Scaffold, Sidewalk Shed, Construction Fence, Tower Crane Foundation, Shoring, Temporary Enclosure, Construction Hoist","Municipal permit portals; scaffold engineering firms; Excel; paper",None — no native permit tracking; tracked via action plans or daily log entries,Temporary structure permit duration by type reveals project-specific overhead costs and site logistics complexity,"In urban environments (NYC / Chicago / SF) sidewalk shed and scaffold permits are major cost drivers with annual renewal requirements. Tower crane permits may require FAA notification. Many temporary structure permits have time limits requiring renewal."
Construction Permits,Trade Permit,"Separate jurisdictional permits required for specific building system work — electrical / plumbing / mechanical / fire protection / elevator. Each trade permit authorizes work by licensed contractors in that discipline and triggers trade-specific rough-in and final inspections. Some jurisdictions issue trade permits as part of the building permit; others require separate applications per trade.",NEC (National Electrical Code); UPC/IPC (Plumbing Code); UMC/IMC (Mechanical Code); NFPA 13/14/72 (Fire Protection); ASME A17.1 (Elevators),"Electrical, Plumbing, Mechanical/HVAC, Fire Protection (sprinkler), Fire Alarm, Elevator, Gas, Low Voltage","Municipal permit portals; trade contractor offices; Excel; paper",None — no native permit tracking; trade work tracked through daily logs and field inspections,Trade permit count and cycle time by project type indicate system complexity and jurisdictional requirements,"Trade permits are typically pulled by the responsible subcontractor (electrician pulls electrical permit) not the GC. Some jurisdictions combine fire sprinkler and fire alarm into one fire permit; others separate them. Elevator permits often involve a separate state agency."
"--- SITE & ENVIRONMENTAL PERMITS: regulatory authorizations for site disturbance and environmental protection ---",,,,,,,,
Site & Environmental Permits,Environmental Permit,"Regulatory authorizations for work affecting air quality / water resources / wetlands / hazardous materials. Issued by federal (EPA) / state / and local environmental agencies. Lifecycle: Environmental Assessment → Application → Agency Review → Issuance → Compliance Monitoring → Closeout. May require Environmental Impact Statements (EIS) or Assessments (EA) for large or sensitive projects.",Clean Air Act; Clean Water Act (Section 404); NEPA; RCRA (hazmat); state environmental regulations,"Air Quality Permit, Wetlands Permit (Section 404), Hazardous Materials Permit, Noise Variance, Dust Control Permit, Dewatering Permit","EPA portals; state environmental agencies; environmental consulting firms; Excel; paper",Low — environmental notes captured in daily logs; compliance documents uploadable but not structured for permit tracking,Environmental permit count and review duration by project type and location indicate regulatory complexity and potential delays,"Often the longest-lead regulatory item — wetlands permits can take 6-18 months. Projects near sensitive receptors (schools / hospitals / waterways) face stricter requirements. NEPA applies only to federally funded or permitted projects."
Site & Environmental Permits,Stormwater Permit / SWPPP,"Stormwater Pollution Prevention Plan and associated permit required for sites disturbing one or more acres. Mandates erosion and sediment control (ESC) best management practices (BMPs). Lifecycle: NOI Filing → SWPPP Preparation → Permit Coverage → Active Monitoring → NOT (Notice of Termination). Requires weekly inspections and post-rain-event inspections with corrective actions for BMP deficiencies.",Clean Water Act Section 402; EPA Construction General Permit (CGP); state NPDES permits,"Notice of Intent (NOI), Notice of Termination (NOT), BMP Inspection, Corrective Action, Turbidity Monitoring","EPA eNOI system; state NPDES portals; environmental consultants; daily logs; Excel",Low — BMP inspections may use inspection checklists; SWPPP documents uploaded as attachments; no structured stormwater tracking,SWPPP violation frequency by project type and region indicates site management effectiveness and regulatory exposure,"One of the most common regulatory violations on construction sites — EPA fines can exceed $50K/day. Many states have stricter requirements than federal CGP. GC is typically the permit holder but shares responsibility with the owner."
Site & Environmental Permits,Street / Right-of-Way Permit,"Authorization for construction activities within the public right-of-way — lane closures / sidewalk closures / utility cuts / material staging / crane operations over public streets. Issued by local transportation or public works departments. Often time-restricted (nighttime work only / no closures during rush hour) with traffic control plan requirements.",MUTCD (Manual on Uniform Traffic Control Devices); local DOT requirements; utility coordination standards,"Lane Closure, Sidewalk Closure, Street Closure, Utility Cut, Crane Swing Over ROW, Material Staging, Dumpster Placement","Municipal DOT portals; traffic engineering firms; Excel; paper",None — no native ROW permit tracking; may be tracked via action plans or project-level documents,"ROW permit restrictions by jurisdiction and project location affect construction logistics cost and schedule","Urban projects may require multiple ROW permits throughout construction — each crane pick / concrete pour / or steel delivery that affects traffic may need separate authorization."
