Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- OWNER / DEVELOPER: the entity that funds and owns the project ---",,,,,,,,
Owner / Developer,Private Developer,"Company or individual funding a project for profit — develops to sell, lease, or operate. Decision authority on scope, budget, and schedule. Delivers program requirements, design approvals, change authorizations, and substantial completion acceptance. Active across all phases from conception through operations.","State real estate licensing; SEC (if publicly traded); local development agreements","Developer; owner's rep; equity partner; fund manager","Procore (company directory); Yardi; Argus; MRI; Dealpath; Excel","Low — tracked in companies table as project owner but no structured classification of owner type",Compare developer decision timelines and change authorization rates across project types,"Role polymorphism: a developer may self-perform CM services. Owner decisions drive cost and schedule more than any other party. Cross-domain: Financial Instruments (funding and change authorization)."
Owner / Developer,Institutional Owner,"Organization building for its own use — corporate campus, hospital, university, government facility. End user and operator of the facility. Defines program requirements, coordinates stakeholders, provides operations input, and plans occupancy. Especially active in Preconstruction and Post-Construction.","Joint Commission (healthcare); state education codes; GSA (federal); ADA","Corporate real estate; healthcare system; university; school district; military","Procore (company directory); Planon; Archibus; CMMS systems; ERP systems","Low — tracked as project owner in companies table; no institutional owner classification",Compare program definition completeness and stakeholder coordination timelines across institutional types,"Institutional owners care about lifecycle cost, not just first cost. Internal facility teams often have strong opinions on systems and maintainability."
Owner / Developer,Public / Government Entity,"Federal, state, or local government agency procuring a public project. Regulated procurement authority with statutory constraints — competitive bidding, prevailing wage enforcement, ADA compliance, environmental review. Active across all phases with additional regulatory overlay.","Miller Act (federal bonding); Davis-Bacon Act (prevailing wage); state procurement statutes; FAR (federal); DBE requirements","Federal agency; state DOT; municipal public works; school board; housing authority","Procore (company directory); government procurement portals (SAM.gov, state systems); Excel","Low — tracked as project owner; no public entity classification or procurement compliance tracking",Compare public procurement timelines and change order documentation rates vs. private projects,"Procurement rules severely constrain flexibility. Change orders require public documentation. Davis-Bacon prevailing wage on federal projects. Cross-domain: Financial Instruments (public project billing requirements)."
"--- CONSTRUCTION MANAGEMENT: the entity responsible for delivering the project ---",,,,,,,,
Construction Management,General Contractor (GC),"Company contracted to construct the project — holds risk for cost, schedule, and quality under lump sum or GMP contract. Single point of responsibility to the owner. Manages subcontractors, schedule, quality control, safety, and cost control. Delivers schedule, budget reports, pay applications, daily reports, punchlist management, and closeout documents. Active from Procurement through Closeout (sometimes Preconstruction if CM at Risk).","AGC contract forms; AIA A201 (general conditions); OSHA 29 CFR 1926; state contractor licensing","GC; prime contractor; builder; constructor","Procore (primary user — directory, daily logs, schedule, financials, quality); Sage 300; Viewpoint Vista; CMiC; MS Project; P6","High — GC is the primary Procore user; companies, vendors, project_users, and all project management tools serve GC workflows",Compare GC project delivery performance (schedule variance, cost growth, safety rates) across project types and contract types,"The hub of all project information — GC touches every UCDM domain. In lump sum, GC bears cost risk; in GMP, shared savings possible. Cross-domain: all domains."
Construction Management,Construction Manager at Risk (CM at Risk),"CM engaged during design to provide preconstruction services (estimating, VE, constructability, scheduling), then transitions to GC role during construction under a GMP. Most common delivery method for large commercial projects. Early involvement improves cost certainty. Active from Preconstruction through Closeout.","AIA A133 (CM at Risk); AGC ConsensusDocs 500; state CM licensing","CM/GC; CMAR; preconstruction manager → constructor","Procore (primary user — same as GC); Sage 300; Viewpoint Vista; CMiC; estimating tools","High — same as GC once in construction; precon estimating tables also available",Compare preconstruction-to-GMP conversion rates and estimate accuracy across CM at Risk projects,"GMP conversion is a key contractual milestone. Pre-construction services agreement → GMP amendment or separate construction contract."
Construction Management,Construction Manager Agency (CM Agency),"CM acts as owner's agent — manages project but does NOT hold trade contracts or bear construction cost risk. Provides schedule/budget management, trade coordination, quality oversight, and reporting. Owner holds direct contracts with trades. Common on institutional and public projects. Active from Preconstruction through Closeout.","AIA B132/B133 (CM services); AGC ConsensusDocs 801; CMAA standards","CM agent; owner's CM; program manager (single project)","Procore (as project administrator); MS Project; P6; Primavera Unifier; Excel","Medium — uses Procore for project management but financial tracking is with individual trade contracts, not CM commitments",Compare CM Agency overhead rates and project delivery outcomes vs. CM at Risk and GC models,"CM does not self-perform and does not hold subcontracts. Owner takes more risk but maintains direct trade relationships."
Construction Management,Design-Builder,"Single entity responsible for both design and construction under one contract. Single point of responsibility for owner. Manages architect directly and self-coordinates design-construction overlap. Faster delivery due to concurrent design and construction. Active across all phases.","AIA A141 (design-build); DBIA contract forms; AGC ConsensusDocs 400","Design-builder; design-build contractor; EPC contractor","Procore (as GC); BIM 360; Revit (design coordination); Sage 300; Viewpoint","High — same as GC for construction phase; design tools outside Procore",Compare design-build delivery speed and cost certainty vs. design-bid-build and CM at Risk,"Owner gives up some design control. Design-builder manages architect directly. Cross-domain: Phases (design and construction overlap significantly)."
Construction Management,Program Manager,"Firm managing a portfolio of related projects for an owner — multiple projects under one program. Provides portfolio-level schedule, budget, and risk management with standardization across projects. Common for healthcare campuses, university programs, corporate rollouts. Active across all phases on multiple projects simultaneously.","CMAA (program management standards); PMI PgMP (program management professional)","Program manager; portfolio manager; owner's program rep","Procore (multi-project views); Primavera Unifier; Kahua; e-Builder; Oracle P6 (multi-project)","Medium — Procore supports multi-project views and portfolio reporting but lacks formal program management workflows",Compare program standardization effectiveness and cross-project consistency metrics,"Provides consistency across projects. Cross-domain: Project Attributes (portfolio-level benchmarking)."
