Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- TRADES: the labor crafts and specialties that build a construction project. 25 trade families covering every distinct craft on vertical construction. ---",,,,,,,,
General Labor,General Laborer,"General construction labor across all project phases — site prep through closeout. Lifecycle: mobilize → work → demobilize. Sub-specialties include site laborers (earthwork, erosion control, flagging), interior laborers (cleanup, protection, material movement during finishes), and demolition workers (selective/structural demo, hazmat abatement). Typically the largest headcount on early-phase daily logs. Decision authority: superintendent.",OSHA 29 CFR 1926; NCCER Core Curriculum,"Site Laborer, Interior Laborer, Demolition Worker, Flagging, Material Handler","Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Foundation Software; HCSS HeavyJob","Medium — daily log manpower captures crew counts and hours; vendor directory tracks subcontractors; workforce timecard tables exist but not in gold layer",Compare crew size and labor hours per $1M project value across project types and phases,"Category-level entry. Sub-specialties rarely distinguished in data — usually reported as one headcount. Demolition workers may require separate licensing (hazmat, asbestos)."
General Labor,Carpenter,"Rough and finish carpentry — one of the most versatile trades on any project. Rough carpenters build formwork, shoring, blocking, backing, and temporary structures during foundations and structural phases. Finish carpenters install doors, frames, hardware, trim, and casework during interiors. Millworkers handle custom paneling and specialty wood on high-end projects. Often two different subcontractors for rough vs. finish work.",CSI MasterFormat 06 00 00; NCCER Carpentry,"Rough Carpenter, Finish Carpenter, Millworker, Form Carpenter","Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Foundation Software","Medium — daily log manpower tracks crew counts; cost codes under Division 06; no standardized trade taxonomy distinguishes rough from finish",Compare carpentry labor hours per SF by project type and building system,"One of the most common trades on daily logs. Rough and finish are often different subs but may share a cost code."
General Labor,Concrete Worker,"All concrete forming, placing, and finishing — from foundations through elevated slabs. Sub-specialties: concrete finishers (screeding, finishing, curing flatwork), formwork carpenters (construction and stripping), and post-tension specialists (strand placement, stressing, grouting on PT structures). Production measured in CY placed per day. Pour records in daily logs are a strong signal.",CSI MasterFormat 03 00 00; ACI 301; ACI 318,"Concrete Finisher, Formwork Carpenter, Post-Tension Specialist","Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; HCSS HeavyJob; Tekla","Medium — daily log manpower and productivity logs capture pour records; cost codes under Division 03",Compare CY placed per crew-hour and pour cycle time by structural system type,"Overlaps with carpentry (formwork). Post-tension is a distinct specialty sub — present only on PT structures."
Structural Trades,Ironworker / Steel Erector,"Steel erection and reinforcing — structural steel columns, beams, and deck plus reinforcing bar placement. Sub-specialties: structural steel erectors (bolting, plumbing, decking), welders (certified structural and misc welding), rebar installers (tying, splicing, cage assembly), and riggers/signal persons (crane rigging, heavy lifts). Production measured in tons erected per day. Critical path trade during structure phase.",CSI MasterFormat 05 00 00; AISC 360; AWS D1.1; OSHA Steel Erection 1926 Subpart R,"Structural Steel Erector, Welder, Rebar Installer, Rigger / Signal Person","Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Tekla; SDS/2; Fabsuite","Medium — daily log manpower captures crew presence; cost codes under Division 05; RFIs for connection details are a strong structural complexity signal",Compare steel erection rate (tons/day) and structural RFI density per ton across project types,"Riggers/signal persons required for all crane operations. Welder may be under ironworker crew or a separate specialty. Rebar sometimes called 'rodbusting' — may be a separate sub."
Structural Trades,Mason,"All unit masonry — brick, block, and stone. Sub-specialties: bricklayers (face brick, thin brick veneer), block layers (CMU walls, backup walls, elevator shafts), and stone masons (natural and manufactured stone for exterior veneer and interior lobbies). Weather-sensitive — production depends on temperature and moisture. Measured in SF of wall face per day.",CSI MasterFormat 04 00 00; TMS 402/602; BIA Technical Notes,"Bricklayer, Block Layer, Stone Mason","Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Foundation Software","Medium — daily log manpower captures crew counts; cost codes under Division 04; daily log weather conditions affect production",Compare masonry production rate (SF/day) and waste rate by wall type and weather zone,"Masonry is seasonal in cold climates — hot weather mortar and cold weather protection add cost. Stone is often a separate specialty sub from brick/block."
Building Envelope,Roofer,"All roofing work — membrane, metal, and built-up systems. Sub-specialties: membrane roofers (TPO, PVC, EPDM, BUR, modified bitumen) and metal roofers/sheet metal workers (standing seam, metal panels, copings, flashing). Highly weather-sensitive — daily log delays frequently reference roofing holds. Manufacturer warranty submittals are a key deliverable. Critical path on most projects.",CSI MasterFormat 07 50 00 – 07 60 00; NRCA Roofing Manual; FM Global,"Membrane Roofer, Metal Roofer / Sheet Metal, Built-Up Roofer","Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Foundation Software","Medium — daily log manpower plus delay records capture weather holds; cost codes under Division 07",Compare roofing installation rate (squares/day) and weather delay frequency by climate zone,"Metal roofer overlaps with sheet metal worker. Weather sensitivity means daily log delay records are especially useful for roofing benchmarks."
Building Envelope,Glazier / Curtain Wall Installer,"All glass and curtain wall work — unitized and stick-built curtain wall systems, punch windows, storefronts, entrances, and skylights. Highly specialized — usually one sub for the full building envelope scope. Unitized systems are fabricated off-site and installed as complete units. Long lead time for fabrication. Often critical path on high-rise projects.",CSI MasterFormat 08 40 00 – 08 80 00; AAMA; ASTM E2190,"Curtain Wall Installer, Window / Storefront Installer, Skylight Installer","Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Bluebeam; Revit","Medium — daily log manpower tracks presence; submittals capture shop drawings and performance specs; cost codes under Division 08",Compare curtain wall installation rate (panels/day) and submittal cycle time by system type,"Often the same crew for the full envelope. Submittal turnaround is a leading indicator of schedule risk for glazing."
Building Envelope,Waterproofer,"Below-grade and above-grade moisture protection — foundation membranes, air/vapor barriers, and joint sealants. Sub-specialties: below-grade waterproofers (fluid-applied, sheet membrane, bentonite), air/vapor barrier installers (building wrap, fluid-applied, self-adhered), and caulkers/sealant applicators (joint sealants, expansion joints, firestopping). Failure leads to long-term moisture intrusion — a top rework driver.",CSI MasterFormat 07 10 00 – 07 92 00; ASTM E2112; ABAA,"Below-Grade Waterproofer, Air Barrier Installer, Caulker / Sealant Applicator","Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Bluebeam","Medium — quality observations capture waterproofing failures; cost codes under Division 07",Compare waterproofing defect rate and rework cost as % of envelope budget,"Waterproofing failures are among the top rework drivers — observation data is a strong signal. Air barrier is increasingly a code requirement (IECC)."
Interior Finishes,Drywall Hanger / Finisher,"Metal framing and gypsum board — one of the largest interior workforces. Sub-specialties: metal framers (light-gauge steel framing, furring, soffits), drywall hangers (board hanging, specialty boards for moisture/abuse/fire), tapers/finishers (joint taping, mudding, sanding), and plasterers (traditional plaster, EIFS, stucco). Large crews during interior rough-in phase.",CSI MasterFormat 09 20 00 – 09 29 00; ASTM C840; GA-216,"Metal Framer, Drywall Hanger, Taper / Finisher, Plasterer","Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Foundation Software","Medium — daily log manpower captures large crew presence; cost codes under Division 09",Compare drywall installation rate (SF/day) and crew size per floor by project type,"Plasterer is specialty — not on every project. Metal framing and hanging are often the same sub but different crews. EIFS crosses into exterior work."
