Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- SUBSTRUCTURE: Below-grade and underground infrastructure — site prep, foundations, and buried utilities. ---",,,,,,,,
Site & Earthwork,Excavation & Shoring,"Bulk and detailed excavation, sheeting, shoring, and underpinning. Typical trades: equipment operators, general laborers. Often the first major activity on site — schedule and cost overruns here cascade through the project.",MasterFormat 31 10 00 – 31 50 00,"Mass excavation, trench excavation, sheet piling, soldier pile and lagging, soil nailing","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel; HeavyBid",Medium — daily logs and cost codes exist but often lumped under general sitework,Compare excavation cost per CY by soil type and project type,Cost codes often combine all sitework. Daily logs are the best signal for earthwork activities.
Site & Earthwork,Backfill & Grading,"Structural fill, fine grading, compaction, and subgrade preparation. Equipment-heavy — dozers, loaders, compactors. Quality depends on compaction testing (typically third-party geotechnical).",MasterFormat 31 20 00 – 31 23 00,"Structural fill, gravel, crushed stone, compaction to 95% Proctor","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel; HeavyBid",Medium — daily logs capture activity but rarely its own cost code,Compare backfill cost per CY and compaction pass rates across soil conditions,Often combined with excavation in cost codes. Third-party test results live outside project management systems.
Site & Earthwork,Dewatering,"Wellpoints, sump pumps, and groundwater control during construction. Triggered by water table conditions — not present on every project. Can become a major unplanned cost if unexpected.",MasterFormat 31 23 19,"Wellpoint systems, sump pumps, deep wells","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel",Low — rarely its own cost code; shows up in daily logs and delay records,Compare dewatering cost as % of substructure by region and soil type,Highly variable — some projects zero cost; others major budget item. Daily log delays (type: Existing Conditions) may capture water-related issues.
Site & Earthwork,Erosion & Sediment Control,"Silt fence, construction entrances, inlet protection, and SWPPP compliance. Required by EPA/state permits — inspected regularly. Trades: general laborers.",MasterFormat 31 25 00; EPA SWPPP,"Silt fence, erosion blankets, inlet protection, construction entrance","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel",Medium — safety/environmental observations and inspections capture violations,Compare erosion control violation rates by region and project type,Often in general conditions cost code. Environmental observations and inspections are the strongest signal for compliance issues.
Foundations,Deep Foundations,"Driven piles, drilled shafts, caissons, micropiles, and helical piers. Requires specialized subcontractors and equipment. Production rates (piles per day) are a key schedule driver. Trades: pile drivers, equipment operators.",MasterFormat 31 62 00 – 31 66 00,"Steel H-piles, precast concrete piles, drilled shafts, micropiles, auger cast piles","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel; HeavyBid; PileNavigator",Medium — dedicated cost codes on heavy projects; daily logs track production,Compare pile driving production rates and cost per LF by pile type,Daily log productivity records may capture pile counts. RFIs for pile capacity and obstructions are common.
Foundations,Shallow Foundations,"Spread footings, strip footings, mat foundations, and pier pads. Concrete and formwork are the primary cost drivers. Trades: concrete workers, carpenters (formwork). Pour records track volume and placement.",MasterFormat 03 30 00,"Spread footings, strip footings, mat slab, pier pads","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel",Medium — under general concrete code; daily logs capture pour activities,Compare footing concrete cost per CY and pour cycle times by project type,Often grouped under general concrete cost code. Hard to separate from other concrete elements.
Foundations,Foundation Walls,"Cast-in-place or precast foundation walls and retaining walls. Formwork complexity drives cost. Waterproofing is a critical follow-on trade. Trades: concrete workers, carpenters.",MasterFormat 03 30 00,"CIP walls, precast foundation walls, retaining walls","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel",Medium — usually under same code as footings,Compare foundation wall cost per SF of wall face by height and forming method,Rarely separated from footings in cost data. Daily log notes for wall pours help.
Foundations,Grade Beams,"Reinforced concrete beams connecting foundation elements at or below grade. Transfer loads between piles/piers. Trades: concrete workers, carpenters.",MasterFormat 03 30 00,"Grade beams, tie beams","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel",Low — lumped with other foundation concrete,Compare grade beam cost per LF by beam size,Rarely its own cost code. RFIs for reinforcing conflicts are common.
Foundations,Slab on Grade,"Ground-supported concrete floor slabs with vapor barriers and joint sealants. Includes reinforcement (rebar, WWF, fiber). Quality depends on subgrade prep and finishing. Trades: concrete workers.",MasterFormat 03 30 00,"4"" SOG, 6"" SOG, post-tensioned SOG, fiber-reinforced, vapor barrier","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel",Medium — sometimes its own code; daily logs capture pour records,Compare slab cost per SF by thickness and reinforcement type,Daily log pour records are a good signal. Observations capture flatness and cracking issues.
Foundations,Below-Grade Waterproofing,"Foundation waterproofing membranes, dampproofing, underslab vapor barriers, and drainage boards. Failure leads to long-term moisture intrusion. Trades: specialty waterproofing applicators.",MasterFormat 07 10 00 – 07 16 00,"Fluid-applied membrane, sheet membrane, bentonite, drainage board, dampproofing","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel; Bluebeam",Medium — often its own code on larger projects; quality observations capture failures,Compare waterproofing warranty claim rates and cost per SF by membrane type,Quality observations are a strong signal — waterproofing failures are a top rework driver.
Site Utilities,Water Main / Service,"Underground domestic and fire water supply piping from street to building. Requires coordination with municipality. Trades: plumbers/pipefitters, equipment operators.",MasterFormat 33 10 00,"Ductile iron pipe, copper service, valves, meters","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel",Low — usually grouped under site utilities,Compare site utility cost per LF of trench by soil conditions,Inspection records help when specific utility inspections exist. Municipality coordination adds schedule risk.
Site Utilities,Sanitary Sewer,"Underground sanitary waste piping from building to main, with manholes and cleanouts. Gravity-driven — slope is critical. Trades: plumbers/pipefitters, equipment operators.",MasterFormat 33 30 00,"PVC pipe, concrete manholes, cleanouts, fittings","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel",Low — usually grouped under site utilities,Compare sanitary sewer cost per LF by pipe diameter,Similar to water — often grouped in cost codes. Daily logs capture installation activities.
Site Utilities,Storm Drainage,"Underground storm water piping, catch basins, and retention/detention systems. Sized by hydrological analysis. Subject to local stormwater regulations. Trades: plumbers/pipefitters, equipment operators.",MasterFormat 33 40 00,"HDPE/PVC pipe, concrete structures, catch basins, detention vaults","P6; Sage 300; Viewpoint Vista; CMiC; Procore; MS Excel",Low — usually grouped under site utilities,Compare storm drainage cost per acre of impervious area,Sometimes combined with sanitary in cost codes. Detention/retention system costs vary significantly by locality.
