Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- BIM AUTHORING MODELS: the 3D digital representations of what is being built ---",,,,,,,,
BIM Authoring Models,3D Building Information Model,"A parametric digital representation of the physical and functional characteristics of a building — the authoritative geometric and data source for design, construction coordination, and facility operations. Organized by discipline: architectural, structural, MEP (mechanical, electrical, plumbing), civil. Each discipline model is authored in a BIM tool and contains model elements with type, material, dimensions, location, and relationship properties. The model is the source of truth for quantities, coordination, and visualization. Lifecycle: Concept → Schematic Design → Design Development → Construction Documents → As-Built.","AIA E203 (BIM and Digital Data Protocol); ISO 19650 (BIM Framework); BIM Execution Plan (BEP); National BIM Standard","Architectural Model, Structural Model, Mechanical Model, Electrical Model, Plumbing Model, Fire Protection Model, Civil Model, Landscape Model","Revit (Autodesk); ArchiCAD (Graphisoft); Tekla Structures (Trimble); Bentley OpenBuildings; Vectorworks; Allplan","None — Procore does not host or import BIM authoring models. Models are viewed in Procore via embedded viewers but model data is not structured in Procore tables.",Compare model discipline coverage and authoring tool usage across project types,"BIM models are the richest source of Building Element data — every element has type, material, dimensions, location, and spatial relationships. The REPRESENTS relationship bridges Models & BIM to Building Elements. Cross-domain: model → drawings → RFIs → change events."
BIM Authoring Models,Federated Model,"A combined multi-discipline model assembled from individual discipline models — the integrated view used for coordination, clash detection, and owner reviews. Created by aggregating models from architect, structural engineer, MEP engineers, and trade contractors into a single spatial environment. Federated models are reference-only (not editable) and must be refreshed as discipline models are updated.","AIA E203 (multi-discipline coordination); ISO 19650 (Common Data Environment); BIM Execution Plan","Full federation (all disciplines), Partial federation (MEP only, structure + MEP), Trade-specific coordination sets","Navisworks (Autodesk); Solibri; BIM Track; BIM Collab; Trimble Connect; BIM 360 Glue; Procore (model viewer)","None — Procore provides model viewing but does not store or manage federated model data. Federation happens in coordination tools outside Procore.",Compare federated model update frequency and coordination cycle duration across project types,"Federation quality depends on model exchange format (IFC, NWC, RVT) and update cadence. Weekly federation with detection is standard; daily on fast-track projects. Cross-domain: federated models are the input for clash detection and coordination issues."
BIM Authoring Models,4D Model (Schedule-Linked),"A 3D model linked to the project schedule — visualizes construction sequence over time by associating model elements with schedule activities. Enables construction phasing visualization, logistics planning, and progress tracking. Each model element or group is linked to a schedule activity that defines when it is installed. Lifecycle: Created during preconstruction → Updated as schedule changes → Used during construction for planning.","BIM Execution Plan phasing requirements; AGC BIMForum LOD Spec (for construction-phase modeling)","Phase visualization, Logistics simulation, Progress comparison (planned vs. actual), Safety sequence review, Crane placement planning","Synchro (Bentley); Navisworks; Fuzor; Autodesk Construction Cloud; Primavera (P6 integration); MS Project","None — Procore does not support 4D model linking. Schedule data exists in Procore (scheduling tables) and models are viewable, but the linkage between model elements and schedule activities is managed in external tools.",Compare 4D model adoption rates across project types and complexity levels,"4D models bridge the Models & BIM domain to the Schedule domain. Most valuable on complex projects with phasing constraints. Adoption is growing but still limited to ~15-25% of major projects. Cross-domain: schedule activities → model elements → building elements."
BIM Authoring Models,5D Model (Cost-Linked),"A 3D model linked to cost data — enables quantity-based estimating and cost visualization by associating model elements with cost information (cost codes, unit prices, assemblies). Quantities extracted from the model drive the estimate. Lifecycle: Created during estimating → Updated as design evolves → Reconciled against bid amounts.","AACE cost estimating practices; BIM-based estimating workflows; RICS (quantity surveying)","Quantity takeoff from model, Assembly-based costing, Cost visualization by system, Value engineering analysis","Sage Estimating; CostX (Exactal); Cubicost; Revit quantity schedules; Assemble (Autodesk); iTWO (RIB)","None — Procore does not support 5D cost-model linking. Budget and commitment data exist in Procore financial tables, but model-to-cost linkage is managed in estimating tools.",Compare model-based estimating accuracy (model quantity vs. actual installed) across project types,"5D models bridge Models & BIM to Financial Instruments. Model quantities → cost estimates → budgets → actuals is the full financial lifecycle. Most GCs still estimate separately from the model — 5D adoption is limited to larger/more sophisticated firms."
BIM Authoring Models,As-Built Model,"A BIM model updated to reflect actual constructed conditions — incorporates field modifications, deviations from design, and final installed locations. Created during closeout by updating the design model with as-built survey data, field markups, and contractor input. Delivered to the owner as part of closeout documentation for facility management and future renovations.","AIA E203 (as-built modeling requirements); contract-specific BIM deliverables; COBie (Construction Operations Building Information Exchange)","Updated architectural model, Updated structural model, Updated MEP models, Reality capture-verified model, COBie data export","Revit; Navisworks; point cloud software (Leica Cyclone, Trimble RealWorks); reality capture platforms","None — as-built models are not stored in Procore. As-built documentation (drawings, PDFs) may be uploaded but the model itself lives in BIM authoring tools.",Compare as-built model delivery rates and completeness across project types,"As-built models are a major closeout deliverable but adoption is inconsistent. Many projects still deliver 2D as-built drawings (redlines) rather than updated 3D models. Cross-domain: as-built models represent the final state of Building Elements and connect to closeout Documents."
"--- MODEL ELEMENTS & PROPERTIES: the individual components and their data within a BIM model ---",,,,,,,,
Model Elements & Properties,Model Element,"An individual component within a BIM model — a wall, beam, column, pipe, duct, fixture, or any other discrete building component with geometry, type, material, and location properties. Model elements are the atomic units of BIM — each one represents a specific physical thing that will be built. Element properties include: type/family, material, dimensions (length, width, height, diameter), location (level, grid, coordinates), and relationships to other elements (hosted by, connected to, adjacent to).","IFC entity types (IfcWall, IfcBeam, IfcPipeSegment, etc.); Revit family/type system; LOD Specification","Walls, Columns, Beams, Slabs, Doors, Windows, Pipes, Ducts, Cable Trays, Fixtures, Equipment, Fittings, Accessories","Revit; ArchiCAD; Tekla; MEP authoring tools (Fabrication CADmep, AutoCAD MEP)","None — individual model elements are not stored in Procore. Procore references model elements indirectly through drawings, coordination issues, and observations that cite specific components.",Model element counts by type and system enable quantity benchmarking (elements per SF) across project types,"Model elements are the bridge between the digital model and physical Building Elements. Each model element REPRESENTS a building element. IFC entity types provide the classification. Element properties (material, dimensions) drive quantity takeoff and cost estimation."
Model Elements & Properties,Level of Development (LOD),"A specification that defines the completeness and reliability of a model element at a given project phase — governs what information can be extracted from the model. LOD 100 (conceptual), LOD 200 (approximate geometry), LOD 300 (precise geometry for coordination), LOD 350 (coordination with other systems), LOD 400 (fabrication-ready), LOD 500 (as-built verified). Each LOD level defines what geometry, data, and relationships are reliable. LOD governs which model uses are valid at each phase.","AIA E203; BIMForum LOD Specification (Level of Development); ISO 19650 (information requirements)","LOD 100 (concept), LOD 200 (approx geometry), LOD 300 (precise geometry), LOD 350 (coordination), LOD 400 (fabrication), LOD 500 (as-built verified)","BIM Execution Plans; Revit (model element detail); BIMForum LOD Spec documentation","None — LOD is a modeling specification, not tracked in Procore. LOD requirements are defined in the BIM Execution Plan (a document in the Documents domain).",Compare LOD specification requirements across project types and delivery methods,"LOD 300/350 is the minimum for reliable coordination and clash detection. LOD 400 enables prefabrication. LOD requirements affect modeling cost and schedule. Cross-domain: LOD governs what quantities can be reliably extracted for Financial Instruments."
Model Elements & Properties,Quantity Takeoff,"Material quantities extracted from model elements — counts, areas, volumes, lengths, and weights derived from model geometry and type properties. Quantities drive estimating (5D), procurement, and production tracking. Model-based takeoff is more accurate and faster than manual takeoff from 2D drawings but depends on model quality and LOD.","AACE quantity surveying practices; RICS New Rules of Measurement; BIM-based QTO workflows","Element counts, Linear quantities (LF of pipe, duct, conduit), Area quantities (SF of wall, floor, ceiling), Volume quantities (CY of concrete), Weight quantities (tons of steel)","CostX; Bluebeam (2D takeoff); Assemble; Revit quantity schedules; On-Screen Takeoff; PlanSwift; Sage Estimating","None — Procore does not perform or store quantity takeoffs. Quantities may be reflected in budget line items and commitment line items as bid quantities, but the takeoff process is external.",Compare model-based vs. manual takeoff accuracy and speed across project types,"Quantity takeoff bridges Models & BIM to Financial Instruments (cost estimates) and Resources (material quantities). Takeoff accuracy depends on LOD — LOD 300+ needed for reliable quantities. Discrepancy between model quantities and installed quantities reveals design vs. field gaps."
