Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- DAILY LOG FRAMEWORK: the structure that organizes all daily field data collection ---",,,,,,,,
Daily Log Framework,Daily Log (Header),"The parent record for all daily field data — one per project per day. Acts as the container that links all log sections (manpower, equipment, weather, delays, notes, etc.) to a single date and project. Completion and distribution tracking ensure the log was finalized and sent to stakeholders. The daily log is the legal record of what happened on site each day.","No universal standard; contractually required on most projects; AIA A201 §3.11 references site documentation obligations","One header per project per day; completed/distributed status; completable flag controls whether log is ready for finalization; day_of_week for calendar analysis","Procore, Raken, FieldWire, Rhumbix, paper forms","High — daily_log_completion table is the header/parent record. Fields: log_date, completed (boolean), completed_at, completed_by_id, distributed (boolean), distributed_at, completable, missing_day, variance, day_of_week, admin_actual_start_date, admin_projected_finish_date. All child log tables reference daily_log_completion_id as FK.","Daily log completion rate (% of project days with completed logs); distribution rate; average days between log date and completion; missing day frequency","The foundation of field operations data. A project with low log completion rates has unreliable field data across ALL sections. completion rate is the single best metric for field data quality. missing_day flag identifies gaps. Cross-domain: every field insight depends on log completion consistency."
Daily Log Framework,Daily Log Section Configuration,"The template configuration that defines which log sections are required, optional, or hidden for a project. Determines what data gets collected — a project with 'Delays' set to optional may have sporadic delay records, while one with it required will have consistent data. Section configuration is the key to data consistency across projects and companies.","No standard; company/project-specific configuration","Required, Optional, Hidden per section; configurable by project or company-wide template; sections: Manpower, Equipment, Deliveries, Delays, Notes, Safety Violations, Weather, Visitors, Waste/Dumpsters, Inspections, Accidents, Phone Calls, Scheduled Work, Plan Revisions, Productivity, Quantities","Procore (template configuration), company-level settings","Medium — configuration is a system setting, not a data table. daily_log_construction_reports table tracks workforce reporting configuration. Section-level completion can be inferred from child table population rates.","Section completion rate by project; companies with standardized vs. ad-hoc templates; section adoption rate across portfolio","Template standardization is the single biggest lever for field data quality. Companies that mandate all sections get 3-5x more data per project. Cross-company benchmarking requires template normalization — can't compare delay frequency if one company doesn't track delays."
"--- FIELD NOTES & COMMUNICATIONS: narrative records, verbal communications, and document receipts captured in the daily log ---",,,,,,,,
Field Notes & Communications,Daily Log Note,"Free-text narrative entry by field personnel documenting site conditions, work progress, issues, and events — the superintendent's daily diary. Multiple notes may be entered per day by different team members. Notes can flag issue days when something notable occurred (safety concern, weather event, schedule impact, owner directive). The richest unstructured data source in field operations — frequently used for keyword-based signal extraction across rework, material shortage, and design change topics.","No universal standard; AIA A201 §3.11 references site documentation obligations","Free text narrative; typical length 20-200 words; issue day flag (boolean); entries by superintendent, project engineer, safety manager, or APM","Procore, Raken, FieldWire, paper daily reports","High — daily_log_note table with comment (STRING) and is_issue_day (BOOLEAN). ~130K+ records. Widely adopted. Primary NLP signal source.","Notes per day per project; issue day frequency; keyword density for specific topics (safety, weather, schedule, material)","The primary free-text signal source for NLP-based analysis. Keyword extraction hits ~0.09% for specific topics like material shortages. is_issue_day flag provides structured overlay on unstructured text. Cross-domain: feeds insight discovery across rework, material shortages, and design changes."
Field Notes & Communications,Phone Call Log Entry,"Record of field-related phone calls — caller, recipient, subject, and notes. Documents verbal communications for the project record. Less formal than written correspondence but can capture critical decisions, commitments, or directives made verbally. Phone calls between the superintendent and subcontractors, inspectors, or the design team are common daily occurrences that rarely get documented elsewhere.","No universal standard; good documentation practice","One entry per call; caller, recipient, subject, notes (call summary), time","Procore, paper logs, phone systems","Medium — daily_log_phone_call table with caller, recipient, subject, notes. Adoption varies — not all projects track phone calls in the daily log.","Phone call volume per project; calls by party (owner, architect, sub) over time","Low individual analytics value but call patterns reveal communication dynamics. Frequent architect calls may indicate design issues. Cross-domain: supplements correspondence records in Documents & Communications."
Field Notes & Communications,Plan Revision Receipt,"Field record of updated drawing revisions received on site — which drawings were updated, to what revision, and when the field team received them. Critical for confirming that construction crews are working from current documents. Discrepancies between issued revisions and field-held revisions are a major source of construction errors and rework.","AIA A201 (document distribution); CSI (document management)","One entry per revision received; drawing number, revision identifier (Rev C, ASI #4), date received","Procore, Bluebeam, PlanGrid, Newforma, paper transmittals","Medium — daily_log_plan_revision table with drawing_number, revision, date_received. Links to drawing revisions in project management. Adoption varies.","Field revision receipt lag (days between drawing issue and field receipt); revisions received per week by phase","Tracks WHEN the field received updated drawings — not the drawing content itself. Long receipt lags mean the field may be building from outdated drawings. Cross-domain: connects to drawing revisions in Documents & Communications."
"--- WORKFORCE & LABOR: who is on site, which trades, how many hours ---",,,,,,,,
Workforce & Labor,Manpower Log Entry,"Daily record of workforce on site by trade and vendor — captures trade name, number of workers, hours per worker, total man-hours, and the vendor/subcontractor responsible. One entry per trade per vendor per day. The most direct source of trade-level workforce data in field operations. Superintendent or field engineer enters daily as part of the log.","No universal standard; contractually required on most projects","One entry per trade/vendor/day; trade_name (free text), num_workers (integer), hours (decimal per worker), man_hours (decimal total), vendor_name/vendor_id, cost_code_id, notes","Procore (daily_log_manpower), Raken, FieldWire, Rhumbix, paper forms, timecards (separate system)","High — daily_log_manpower table is well-structured and widely adopted. Fields: trade_name (STRING, primary trade signal), num_workers (INT), hours (DECIMAL per worker), man_hours (DECIMAL total), vendor_id (LONG FK), vendor_name (STRING), cost_code_id (LONG), cost_code_name, notes, location_id, contact_id, contact_name, manpower_logs_date (DATE).","Workers per day by trade; man-hours per day/week/month; peak headcount; trade mix over time; workers-per-million-dollars; man-hours by cost code","The strongest trade-level signal in Procore. trade_name is free text — needs keyword normalization to canonical trades (e.g., 'Electricians' → 'Electrician'). Not all companies fill it consistently. When populated, it's the most direct path from field data to the Resources taxonomy (Trades). Cross-domain: feeds productivity calculations, safety rate denominators, and schedule resource loading."
Workforce & Labor,Construction Report Entry,"Certified payroll and workforce diversity reporting record — tracks hours by worker classification (apprentice, journeyman, foreman) and demographic category (minority, women, veteran, local) per trade and vendor. Required on public projects with prevailing wage and diversity requirements. Separate from the manpower log — focuses on compliance reporting rather than daily operations.","Davis-Bacon Act (federal prevailing wage), state prevailing wage statutes, local hire and diversity requirements","One entry per vendor/trade/day; classification hours: apprentice_hours, journeyman_hours, foreman_hours, other_hours; counts: number_of_apprentice_workers, number_of_journeyman_workers, number_of_foreman_workers, number_of_other_workers; diversity: minority_hours, women_hours, veteran_hours, local_city_hours, local_county_hours, first_year_hours","Procore (daily_log_construction_reports), LCPtracker, Elation Systems, eMars, state-specific portals","High — daily_log_construction_reports table has extensive structured fields for classification and diversity tracking. Fields: trade_name, trade_id, vendor_name, vendor_id, all classification/diversity hour and worker count columns. Specific to compliance-heavy projects.","Total man-hours by classification; apprentice ratio; diversity participation rates; local hire percentage; compliance rate against project-specific targets","Critical for public projects. Prevailing wage violations carry heavy penalties. Diversity tracking (minority hours, women hours, veteran hours) increasingly required on private projects too. trade_id (LONG) exists but may not resolve to a lookup table. Cross-domain: feeds certified payroll reporting and workforce diversity metrics."
Workforce & Labor,Timecard Entry,"Structured record of individual worker hours — employee, date, hours worked, cost code, project, overtime classification. More granular than manpower log (individual workers vs. crew-level). Timecards are the source of truth for payroll and labor cost accounting. Captured by field foremen or self-reported by workers.","FLSA (Fair Labor Standards Act), state labor laws, union agreements for overtime and classification rules","One entry per worker per day; hours (regular, overtime, double-time), cost_code, project, employee_id, job_title","Procore (workforce.timecard_entries — NOT READY), Rhumbix, Hcss, ExakTime, paper timesheets","None (Not Ready) — workforce.timecard_entries table exists but is not yet available for import. When ready, it will be the most granular labor tracking source.","Hours per worker per day; overtime ratio; labor cost per unit; cost code distribution; worker utilization rate","NOT READY for import. When available, timecards will be the authoritative source for labor cost and productivity at the individual worker level. Currently, daily_log_manpower is the best available approximation at the crew level."
Workforce & Labor,Employee Record,"Master record for a field worker — name, role, job title, trade classification, certifications, company assignment. The identity record that timecards, crew memberships, and workforce planning reference. Includes safety training and certification status.","No universal construction standard; OSHA 10/30 certification tracking","Employee ID, name, job_title, company_id, trade classification, certification status","Procore (workforce.employees — NOT READY), HRIS systems, Rhumbix, ExakTime","None (Not Ready) — workforce.employees table exists but is not yet available. When ready, it will provide individual-level trade classification.","Workforce size by trade; certification compliance rate; employee turnover","NOT READY. When available, employee-level trade classification will be more reliable than inferring trade from manpower log free text. Currently, crew-level data from daily_log_manpower is the best available."
Workforce & Labor,Crew / Crew Membership,"Grouping of workers into a named crew assigned to a specific scope of work — crew name, members, lead/foreman, trade, and assignment. Crews are the operational unit of field labor management. A plumber crew of 6 is scheduled, tracked, and managed as a unit, not 6 individuals.","No standard; company-specific crew management","Crew name, crew lead/foreman, member list, trade, assigned scope/area","Procore (workforce.crew_memberships — NOT READY), Rhumbix, Excel","None (Not Ready) — workforce.crew_memberships exists but is not available. Crew-level tracking currently inferred from manpower log (vendor + trade + num_workers).","Crew size by trade; crew continuity (same crew on project over time); crew-to-scope assignment","NOT READY. Crew-level workforce planning is how superintendents actually think about labor — not individual workers. When available, links to workforce planning (assignments, requests)."
"--- EQUIPMENT: what machines and tools are on site and how they're being used ---",,,,,,,,
Equipment,Equipment Log Entry,"Daily record of equipment on site — equipment name, hours operating, hours idle, and inspection status. One entry per piece of equipment per day. Captures both utilization (operating vs. idle) and safety compliance (inspected flag, inspection_time). Equipment is identified by free-text name — no standardized equipment taxonomy in field data.","OSHA 29 CFR 1926 Subpart N (Cranes), Subpart O (Motor Vehicles), Subpart P (Excavations — equipment requirements)","One entry per equipment per day; equipment_name (free text — brand names common), hours_operating (decimal), hours_idle (decimal), inspected (boolean), inspection_time, vendor_name, cost_code_id, notes","Procore (daily_log_equipment), Tenna, HCSS, equipment rental company portals, paper logs","High — daily_log_equipment table is well-structured. Fields: equipment_name (STRING, primary identifier), hours_operating (DECIMAL), hours_idle (DECIMAL), inspected (BOOLEAN), inspection_time (STRING), equipment_logs_date (DATE), cost_code_id, cost_code_name, notes, vendor_name. equipment_id and equipment_identification_number exist but are untyped (sparse).","Equipment utilization rate (operating / (operating + idle)); equipment count by type; equipment on site over time; uninspected equipment rate; equipment cost per hour","equipment_name is free text — needs keyword classification into canonical types (12 categories per Resources taxonomy: crane, excavator, loader, aerial lift, forklift, scaffolding, etc.). Brand names are common ('JLG', 'Genie', 'CAT 320'). Inspected flag is a daily safety compliance signal. Cross-domain: equipment utilization feeds cost analysis and schedule resource loading."
Equipment,Equipment Master Record,"Catalog record for a piece of equipment — type, model, serial number, capacity, ownership/rental status, maintenance schedule. The identity record for equipment that field logs, timecards, and maintenance records reference. Equipment master data lives in fleet management systems.","No universal standard; company-specific equipment management","Equipment ID, name, type, model, serial number, capacity, owner (company or rental), maintenance status","Procore (workforce.equipment — NOT READY), Tenna, HCSS, fleet management systems, rental company systems","None (Not Ready) — workforce.equipment table exists but is not available. When ready, it will provide the authoritative equipment catalog with structured type/model data.","Fleet size; equipment age; maintenance compliance; rental vs. owned ratio","NOT READY. Currently, equipment identification relies on free-text equipment_name in daily_log_equipment. Structured equipment master data would enable reliable classification without keyword matching."
Equipment,Equipment Timecard Entry,"Structured time record for individual equipment — hours by category (operating, idle, maintenance, travel), cost allocation, and operator assignment. More granular than the daily equipment log (includes cost allocation and maintenance time). Source of truth for equipment cost accounting.","No universal standard","Equipment ID, date, hours by category, cost code, operator, project","Procore (workforce.equipment_timecard_entry — NOT READY), Tenna, HCSS, rental billing records","None (Not Ready) — workforce.equipment_timecard_entry exists but is not available. When ready, provides granular equipment cost tracking.","Equipment cost per hour; utilization by cost code; idle time analysis","NOT READY. Currently, daily_log_equipment provides operating and idle hours at the day level. Equipment timecards would add cost allocation and more precise utilization tracking."
"--- MATERIALS & DELIVERIES: what arrives on site and when ---",,,,,,,,
