Taxonomy Node,Node Type,Procore Table,Procore Column(s),Mapping Method,Signal Type,Estimated Coverage,Confidence,Notes
"--- BUILDING SYSTEMS TO COST CODES ---",,,,,,,,
Site & Earthwork,System,finance.cost_codes,"code, name",MasterFormat number match (02xxxx),Cost Code,Medium,High,"Companies using CSI MasterFormat have 02-series codes for sitework. Company-specific code lists vary."
Site & Earthwork,System,finance.wbs_codes,"cost_code, cost_code_name, wbs_code_flat_code",MasterFormat number match + keyword,Cost Code,Medium,High,"WBS codes provide the budget-level view. cost_code + line_item_type gives full WBS segmentation."
Foundations,System,finance.cost_codes,"code, name",MasterFormat number match (03xxxx),Cost Code,Medium,High,"03-series covers concrete and foundations. Most GCs have concrete cost codes."
Foundations,System,finance.cost_codes,"code, name","Keyword match on name: 'foundation', 'footing', 'pile', 'slab on grade'",Cost Code,Medium,Medium,"Supplements MasterFormat matching for companies with non-standard cost codes."
Site Utilities,System,finance.cost_codes,"code, name","MasterFormat 33xxxx or keyword: 'utility', 'sewer', 'water main', 'ductbank'",Cost Code,Low-Medium,Medium,"Some companies separate site utilities from sitework; others lump together."
Structural Frame,System,finance.cost_codes,"code, name",MasterFormat 05xxxx (steel) + 03xxxx (structural concrete),Cost Code,Medium-High,High,"Steel and structural concrete are consistently coded across companies."
Exterior Enclosure,System,finance.cost_codes,"code, name","MasterFormat 07xxxx, 08xxxx (curtain wall, masonry, waterproofing)",Cost Code,Medium,Medium,"Envelope costs spread across multiple MasterFormat divisions."
Roofing,System,finance.cost_codes,"code, name","MasterFormat 07xxxx + keyword: 'roof', 'membrane', 'flashing'",Cost Code,Medium,High,"Roofing is typically a distinct cost code category."
HVAC,System,finance.cost_codes,"code, name","MasterFormat 23xxxx + keyword: 'HVAC', 'ductwork', 'air handling'",Cost Code,Medium-High,High,"Mechanical is consistently coded. Large budget line item."
Plumbing,System,finance.cost_codes,"code, name","MasterFormat 22xxxx + keyword: 'plumbing', 'piping', 'fixture'",Cost Code,Medium-High,High,"Plumbing is consistently coded."
Electrical,System,finance.cost_codes,"code, name","MasterFormat 26xxxx + keyword: 'electrical', 'power', 'lighting'",Cost Code,Medium-High,High,"Electrical is consistently coded."
Fire Protection,System,finance.cost_codes,"code, name","MasterFormat 21xxxx + keyword: 'fire protection', 'sprinkler'",Cost Code,Medium,High,"Fire protection is typically a distinct commitment/cost code."
Low Voltage & Technology,System,finance.cost_codes,"code, name","MasterFormat 27xxxx/28xxxx + keyword: 'low voltage', 'data', 'security', 'telecom'",Cost Code,Low-Medium,Medium,"Low voltage often lumped into electrical by some companies."
Interiors,System,finance.cost_codes,"code, name","MasterFormat 09xxxx (finishes), 06xxxx (carpentry), 08xxxx (doors) + keywords",Cost Code,Medium,Medium,"Interiors span multiple divisions. Flooring, drywall, paint, doors each coded separately."
Elevators,System,finance.cost_codes,"code, name","MasterFormat 14xxxx + keyword: 'elevator', 'escalator', 'conveying'",Cost Code,Medium,High,"Elevators are almost always a distinct cost code and commitment."
Site Improvements,System,finance.cost_codes,"code, name","MasterFormat 32xxxx + keyword: 'paving', 'landscaping', 'site improvement'",Cost Code,Low-Medium,Medium,"Often combined with sitework in company cost code structures."
"--- BUILDING SYSTEMS TO FIELD DATA ---",,,,,,,,
All Systems,System,project_management.observation,"name, category, type_name","Keyword clustering on observation.name (18 issue categories validated)",Field Data,"5,923 cos (quality obs)",Medium,"observation.category = 'Quality' for quality; 'Safety' for safety. name field is the classification target."
All Systems,System,project_management.punch_item,"name, punch_item_type_name","Keyword clustering on punch_item.name (18 issue categories validated)",Field Data,"11,722 cos",Medium,"Punch items are the strongest field signal for building element mapping. 0% null on name field."
All Systems,System,project_management.rfis,"subject, predicted_topic",ML-classified predicted_topic taxonomy (176 topics),Field Data,"17,540 cos (91% populated)",High,"predicted_topic is the strongest structured signal for system-level classification. Zero NLP needed."
All Systems,System,project_management.inspection_items,"name, status","Keyword match on inspection_items.name + status = 'Deficient'",Field Data,"5,470 cos",Medium,"Inspection items have structured status. Safety-focused names. Deficiency rate 2-6%."
All Systems,System,project_management.coordination_issue,"issue_type, trade","Structured issue_type: Clash, Design Review, Constructability, etc.",Field Data,327 cos (2yr),Medium,"Small volume but high signal. trade field is free text (not standardized)."
"--- BUILDING SYSTEMS TO FINANCIAL DATA ---",,,,,,,,
All Systems,System,finance.change_events,"change_reason, change_event_id, wbs_code_id (via line items)",change_reason categorization + wbs_code_id on line items,Financial,"18K+ cos (CEs)",High,"change_reason is the primary categorization. origin_type links to RFI/Observation/Meeting."
All Systems,System,finance.change_event_line_items,"wbs_code_id, latest_cost_amount, description","wbs_code_id maps to cost codes → building system. description for NLP.",Financial,Medium,High,"Line items carry the cost-code-level detail. wbs_code_id is the system mapping key."
All Systems,System,finance.commitment_change_orders,"change_reason, grand_total","LOWER(change_reason) for categorization. Title case format (not snake_case).",Financial,"4,200+ cos",High,"Independent from CEs. 96.7% approved status. $13.8B+ in design changes alone."
All Systems,System,finance.commitment_change_order_line_items,"wbs_code_id, extended_amount",wbs_code_id maps to cost codes → building system,Financial,Medium,High,"wbs_code_id exists directly on CCO line items. Key for system-level cost attribution."
All Systems,System,finance.direct_costs + direct_cost_line_items,"description, wbs_code_id",wbs_code_id mapping + keyword on description,Financial,Medium,Medium,"Direct costs not tied to commitments. description field available for NLP."
All Systems,System,finance.commitments,"title, status, vendor_id","Commitment title + vendor mapping for system inference",Financial,High,Medium,"Each commitment is typically for a specific trade/system. Title often contains system info."
"--- TRADES ---",,,,,,,,
All Trades,Trade,project_management.daily_log_manpower,"trade_name, vendor_name, vendor_id, num_workers, man_hours, hours",Direct — trade_name is the primary trade identifier,Workforce Log,High,High,"trade_name is the most direct trade signal. Not all companies fill it consistently."
All Trades,Trade,core.project_vendors,"name, vendor_id, project_id","Vendor names carry trade info. No structured 'trade' field on project_vendors.",Vendor Directory,High,Medium,"project_vendors maps vendors to projects. Trade must be inferred from vendor name or commitment."
All Trades,Trade,finance.commitments,"title, vendor_id",Commitment title often names the trade scope (e.g. 'Electrical Subcontract'),Financial,High,Medium,"Commitments are per-trade contracts. Title + vendor gives strong trade signal."
All Trades,Trade,project_management.observation,"vendor_id, trade_id","vendor_id 80% populated, trade_id 51% populated but NO lookup table",Field Data,Medium,Low,"trade_id has no resolution table in gold layer. vendor_id resolves to project_vendors."
All Trades,Trade,project_management.punch_item,vendor_id,vendor_id links to project_vendors for trade attribution,Field Data,Medium,Medium,"Punch items assigned to responsible vendor. Vendor → trade is indirect."
All Trades,Trade,core.project_role_memberships,"role_name, group, contact_name","group = 'design_team' contains Architect. role_name for PM, Super, etc.",Project Directory,High,High,"Structured roles. group is SQL reserved word — use backticks."
General Laborer,Trade,project_management.daily_log_manpower,trade_name,"Exact match: trade_name LIKE '%laborer%' OR '%labor%'",Workforce Log,Medium,Medium,"Often not broken out — lumped into general workforce count."
Carpenter,Trade,project_management.daily_log_manpower,trade_name,"Exact match: trade_name LIKE '%carpenter%' OR '%carpentry%'",Workforce Log,Medium,Medium,"Common trade on daily logs."
Concrete Worker,Trade,project_management.daily_log_manpower,trade_name,"Keyword: '%concrete%'",Workforce Log,Medium,Medium,"Strong daily log signal during structural phase."
Ironworker / Steel Erector,Trade,project_management.daily_log_manpower,trade_name,"Keyword: '%ironworker%' OR '%steel erect%'",Workforce Log,Medium,Medium,"Distinct trade on daily logs."
Electrician,Trade,project_management.daily_log_manpower,trade_name,"Keyword: '%electric%'",Workforce Log,Medium-High,Medium,"One of the most consistently logged trades."
Plumber / Pipefitter,Trade,project_management.daily_log_manpower,trade_name,"Keyword: '%plumb%' OR '%pipefitter%'",Workforce Log,Medium,Medium,"Distinct trade."
HVAC / Sheet Metal Worker,Trade,project_management.daily_log_manpower,trade_name,"Keyword: '%hvac%' OR '%sheet metal%' OR '%mechanical%'",Workforce Log,Medium,Medium,"Often the largest MEP sub."
Sprinkler Fitter,Trade,project_management.daily_log_manpower,trade_name,"Keyword: '%sprinkler%' OR '%fire protection%'",Workforce Log,Low-Medium,Medium,"Distinct trade with separate licensing."
Elevator Mechanic,Trade,project_management.daily_log_manpower,trade_name,"Keyword: '%elevator%'",Workforce Log,Low,Medium,"Distinct trade. Very specialized — fewer daily log entries."
Surveyor / Layout,Trade,project_management.daily_log_manpower,trade_name,"Keyword: '%survey%' OR '%layout%'",Workforce Log,Low,Low,"Occasionally noted on daily logs. Often a specialty sub."
Equipment Operator,Trade,project_management.daily_log_equipment,"equipment_name, hours_operating",Implied from equipment usage — operator is inferred,Workforce Log,Medium,Medium,"daily_log_equipment tracks equipment; operator is implied."
Safety Professional,Trade,core.project_role_memberships,"role_name = 'Safety Manager'",Direct structured field,Project Directory,Medium,High,"project_role_memberships identifies safety managers. Safety observations/violations are the activity signal."
"--- EQUIPMENT ---",,,,,,,,
All Equipment,Equipment,project_management.daily_log_equipment,"equipment_name, hours_idle, hours_operating, inspected, cost_code_id",Direct — equipment_name is the primary identifier,Equipment Log,High,High,"equipment_name is free text. Keyword matching needed to classify into canonical types."
All Equipment,Equipment,workforce.equipment,"(table exists, columns unknown)",Direct equipment master list,Equipment Master,Not Ready,N/A,"workforce.equipment table exists but is NOT READY for import. Would be the authoritative source."
All Equipment,Equipment,workforce.equipment_timecard_entry,"(table exists, columns unknown)",Equipment time tracking,Equipment Log,Not Ready,N/A,"workforce.equipment_timecard_entry — NOT READY."
Tower Crane,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%tower crane%'",Equipment Log,Medium,Medium,"Major schedule event. Erection/dismantling noted in daily log notes."
Mobile Crane,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%crane%' AND NOT '%tower%'",Equipment Log,Medium,Medium,"Crane lifts often noted in daily log notes too."
Concrete Pump,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%concrete pump%' OR '%pump truck%'",Equipment Log,Low-Medium,Medium,"Concrete pour days are high-activity events."
Excavator,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%excavator%' OR '%trackhoe%'",Equipment Log,Medium,Medium,"Primary equipment during site and foundation phases."
Loader / Backhoe,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%loader%' OR '%backhoe%'",Equipment Log,Medium,Medium,"Common site equipment."
Aerial Lift,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%boom lift%' OR '%scissor lift%' OR '%aerial%' OR '%JLG%' OR '%Genie%'",Equipment Log,Medium,Medium,"Common during MEP rough-in and exterior work. Brand names often used."
Forklift / Telehandler,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%forklift%' OR '%telehandler%' OR '%lull%'",Equipment Log,Medium-High,Medium,"Present throughout project. Brand names common."
Scaffolding,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%scaffold%'",Equipment Log,Low,Low,"Sometimes tracked as equipment, sometimes not logged."
Compactor,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%compactor%' OR '%roller%' OR '%plate compactor%'",Equipment Log,Low-Medium,Medium,"Used during fill and utility backfill."
Generator / Temp Power,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%generator%' OR '%temp power%'",Equipment Log,Low-Medium,Medium,"Relevant until permanent power connected."
Personnel / Material Hoist,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%hoist%' OR '%man lift%'",Equipment Log,Low,Medium,"Hoist availability affects schedule."
Welding Equipment,Equipment,project_management.daily_log_equipment,equipment_name,"Keyword: '%welder%' OR '%welding%'",Equipment Log,Low,Low,"Sometimes captured. Welding activities noted in daily log notes."
"--- MATERIALS ---",,,,,,,,
All Materials,Material,project_management.submittals,"title, overdue, actual_delivery_date, required_on_site_date",Submittal title carries specific product/material info,Submittal,High,High,"Strongest material signal. Every material is specified by submittal. Title describes the product."
All Materials,Material,project_management.daily_log_delivery,"contents, delivery_from, tracking_number, comments",contents field describes what was delivered,Delivery Log,Medium,Medium,"contents is free text describing delivered materials."
All Materials,Material,project_management.daily_log_delay,"delay_type = 'Material', duration, comments",Structured category — zero NLP needed,Delay Log,"4,351 cos",High,"84K records. delay_type = 'Material' is a structured enum. Primary signal for material shortages."
All Materials,Material,workforce.materials,"(table exists, columns unknown)",Material master list,Material Master,Not Ready,N/A,"workforce.materials — NOT READY. Would be authoritative source."
All Materials,Material,workforce.materials_purchase_order,"(table exists, columns unknown)",Material procurement,Procurement,Not Ready,N/A,"workforce.materials_purchase_order — NOT READY."
