Source Domain,Target Domain,Primary Relationships,Bridge Elements,Data Flow,Connection Strength,Notes
"--- FINANCIAL CASCADE: how money connects to everything ---",,,,,,
Financial Instruments,Documents & Communications,"ORIGINATED_FROM, REFERENCES","RFI→CE (origin_type = 'Rfi::Header'), Drawing→Submittal (spec_section)",→,Dense,"RFIs generate 307K origin-linked CEs. Strongest document-to-financial bridge."
Financial Instruments,Quality & Safety Records,"ORIGINATED_FROM, COSTS_AGAINST","Observation→CE (origin_type = 'Observations::Item'), Punch Item→Rework Cost (inferred chain), NCR→Backcharge",←,Moderate,"Observations are leading indicators (28-day lead on CEs). 20,238 observation-originated CEs across 727 cos."
Financial Instruments,Building Elements,"MAPS_TO, CLASSIFIED_AS, COSTS_AGAINST","Cost Code→MasterFormat Division→Building System, WBS Code→Element-level cost, CE/CCO Line Items→wbs_code_id",↔,Dense,"MasterFormat cost codes are the primary financial-to-physical mapping. wbs_code_id on line items enables element-level cost attribution."
Financial Instruments,Organizations,"CONTRACTED_TO, COMMITTED_TO","Commitment→Vendor (vendor_id), CCO→Vendor (via commitment)",↔,Dense,"Every commitment links to a vendor. Vendor performance measured via CO rate, invoice timing, and quality records."
Financial Instruments,Schedule,"DEPENDS_ON, IMPACTS","Schedule Activity→Cost Loading, CE schedule_impact flag, Delay→Cost Impact",↔,Moderate,"Schedule delays trigger cost changes. Cost-loaded schedules enable earned value. Cash flow tied to billing cycle."
Financial Instruments,Standards & Classifications,"MAPS_TO, CLASSIFIED_AS","Cost Code→MasterFormat Division, Budget Code→UniFormat Category, change_reason→structured enum",↔,Dense,"MasterFormat is the Rosetta Stone for cross-company cost normalization. change_reason is the primary CE/CCO categorization."
Financial Instruments,Field Operations,"TRIGGERED_BY, COSTS_AGAINST","Daily Log Delay→Cost Impact, T&M Ticket→Direct Cost, Manpower→Labor Cost",←,Moderate,"Daily log delays trigger cost events. T&M entries become direct costs. Manpower hours feed cost tracking."
Financial Instruments,Contracts & Procurement,"COMMITTED_TO, BUDGETED_FOR","Commitment (Subcontract/PO)→Budget Line Items, Bid→Award→Commitment",↔,Dense,"Financial Instruments tracks money flow; Contracts & Procurement tracks commercial process. Subcontract/PO instruments shared."
Financial Instruments,Phases,"PRECEDES, DEPENDS_ON","Billing cycle→Phase milestones, Retainage→Substantial Completion, Contingency→Construction phase",→,Moderate,"Contingency burned during construction. Retainage released at substantial/final completion. Billing follows phase milestones."
Financial Instruments,Risk,"IMPACTS, MITIGATED_BY, EXPOSES_TO","Contingency→Risk Reserve, CE change_reason→Risk Category, CO Rate→Risk Indicator",↔,Moderate,"Contingency burn rate is a leading financial risk indicator. Change order rate decomposed by change_reason reveals risk sources."
Financial Instruments,Locations,"LOCATED_AT, COSTS_AGAINST","WBS Code→Location segment, Budget Line Item→Location allocation",←,Sparse,"WBS codes can segment cost by location. Not all companies use location-based WBS."
Financial Instruments,Roles,"MANAGED_BY, APPROVED_AS","Cost Engineer→Budget, PM→Change Orders, Accountant→Invoices",←,Moderate,"Financial workflows require specific role approvals. Cost engineer, PM, and accounting roles drive financial process."
"--- FIELD-TO-FINANCIAL BRIDGE: how field data connects to money ---",,,,,,
