Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- SITE LEVEL: project boundary and major divisions of the construction site ---",,,,,,,,
Site Level,Project Site,"The overall geographic boundary of a construction project — everything within the property line or limit of work. Top of the location hierarchy; every project has exactly one. Anchored by coordinates (lat/long or state plane). Contains all buildings, exterior zones, staging areas, and infrastructure. Project-level records attach here: daily reports, weather logs, safety metrics, site logistics.",OmniClass Table 13; COBie Facility,"Single campus, city block, parcel, right-of-way corridor, multi-building campus","Procore; BIM 360; PlanGrid; P6; CMMS (Archibus/Maximo); GIS platforms",High — projects table with location data and coordinates; all project-level records attach here,Site-level metrics anchor all cross-project comparison — defect density per project and cost per SF of site,"Multi-building campuses are one site. The site boundary defines geographic extent. Level 0 in the hierarchy."
Site Level,Building,"A distinct structure within the project site — the primary vertical container for constructed space. Multi-building projects separate records by structure. Single-building projects still carry one Building node for hierarchy consistency. Children: Floor/Level, Core/Shaft. Systems: structural frame, exterior enclosure, roofing, elevators, building-level HVAC and electrical.",OmniClass Table 13; Uniformat II Level 1; IBC Chapter 5 (building classification),"Building A/B, North Tower, South Tower, Parking Structure, Central Plant, Data Hall","Procore; Revit; BIM 360; PlanGrid; Bluebeam; P6; Sage 300","High — locations table supports building as a hierarchy level; observations, punch items, and inspections reference location_id",Compare defect rates and schedule per building within multi-building projects,"Building footprint defines horizontal boundary. Level 1 in hierarchy."
Site Level,Exterior Zone,"A defined area outside the building envelope but within the project site — organized by function or orientation. Facade orientation zones (N/S/E/W) are critical for enclosure work as different exposures have different weather and solar conditions. Children: Sub-Zone (optional). Systems: site & earthwork, site utilities, site improvements, exterior enclosure (by facade orientation).",OmniClass Table 13; MasterFormat 32 00 00 (Exterior Improvements),"North/South/East/West Facade, Courtyard, Plaza, Loading Dock, Parking Lot, Green Space, Entrance Drive","Procore; Revit; BIM 360; PlanGrid; Bluebeam; P6; landscape architecture tools",Medium — locations table supports exterior zones but adoption varies; field records reference exterior locations,Compare site improvement defect rates and cost by zone type across projects,"Facade orientation zones connect enclosure scope to physical location. Level 1 in hierarchy."
Site Level,Laydown / Staging Area,"Designated areas for material storage, prefabrication, and equipment staging. Shift as construction progresses — what was steel staging becomes curtain wall staging. Tight urban sites have minimal laydown, requiring just-in-time delivery. Leaf node. Records: delivery logs, material tracking, equipment logs, safety observations for material handling.","OSHA 1926.250 (Materials Storage); site logistics planning standards","Main Laydown Yard, Steel Staging, Curtain Wall Staging, Dumpster Area, Concrete Washout, Crane Pad, Trailer Compound","Procore; site logistics software; P6; delivery management platforms",Medium — locations table supports but rarely used for staging; daily logs capture activity,Compare laydown area efficiency (deliveries per SF of staging) by site type,"Laydown areas are dynamic and shift through the project. Urban vs. suburban site constraints drive logistics strategy. Level 1 leaf node."
Site Level,Right-of-Way,"Public or utility easement areas where project work occurs outside the property line. Governed by municipal permits with strict restoration requirements. Work windows may be restricted (night work, traffic hours). Separate inspection jurisdiction from building department. Leaf node.",MUTCD (Manual on Uniform Traffic Control Devices); municipal ROW permits,"Street Cut (Water Main), Sidewalk Reconstruction, Utility Ductbank, Curb Cut, Traffic Signal Work","Procore; municipal permit systems; P6; utility coordination systems",Low — not specifically modeled; daily logs and permits capture ROW work,Compare ROW work duration and restoration cost by municipality,"ROW work adds schedule risk from municipal coordination. Common on urban and infrastructure projects. Level 1 leaf node."
Site Level,Temporary Facility,"Contractor-provided temporary structures that support construction but are removed at completion. General conditions cost items. Location on site affects logistics. Removed before final site improvements. Leaf node. Records: setup/removal logs, equipment logs, safety inspections, temporary utility records.","OSHA 1926 Subpart F (Fire Protection); temporary utility standards","Job Trailer/Field Office, Temporary Parking, Guard Shack, Decontamination Unit, Temporary Restrooms, Temporary Power Distribution","Procore; equipment management software; P6; general conditions tracking",Low — not specifically modeled as locations; daily logs and equipment records capture,Compare temporary facility cost as % of general conditions by project type and duration,"Temporary facilities are general conditions items not part of the permanent building. Level 1 leaf node."
"--- BUILDING VERTICAL: floor-level organization within a structure ---",,,,,,,,
Building Vertical,Floor / Level,"A horizontal plane within a building that divides it vertically — the primary vertical organizing unit. The most universally used location level. Most field records attach at floor level or below. Below-grade levels have different system profiles (waterproofing, underslab MEP). Every building system has work organized by floor. Children: Zone/Wing, Room/Space, Area, Ceiling Plenum.",OmniClass Table 13; COBie Floor; IBC Chapter 5 (stories),"Basement 2 (B2), Basement 1 (B1), Ground Floor (L1), Level 2-N, Mezzanine, Penthouse, Roof","Procore; Revit; BIM 360; PlanGrid; Bluebeam; P6; Sage 300",High — locations table supports floors as primary hierarchy level; most field records attach at floor level,Compare defect density per floor and floor completion rates across projects,"The universal organizing unit for field work. Level 2 in hierarchy."
Building Vertical,Below-Grade Level,"Floors below ground level — basements, sub-basements, parking levels, underground mechanical spaces. Unique challenges: waterproofing, hydrostatic pressure, radon mitigation, garage ventilation, fire department access. Waterproofing defects are among the most expensive to remediate. Children: Zone/Wing, Room/Space, Area.","IBC Chapter 4 (special uses); ACI 350 (water-retaining structures); NFPA 88A (parking structures)","B1, B2, B3, Sub-Basement, Underground Parking P1/P2/P3","Procore; Revit; BIM 360; PlanGrid; Bluebeam; P6",High — modeled as floor levels in locations table; observations capture waterproofing and ventilation issues,Compare below-grade waterproofing defect rates and cost per below-grade SF,"Below-grade levels have distinct system profiles from above-grade. Waterproofing failures are a top rework driver. Level 2 in hierarchy."
