Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- RISK FRAMEWORK: the core entities and structures for identifying and tracking project risks ---",,,,,,,,
Risk Framework,Risk,"An identified potential event or condition that could affect project objectives — the fundamental unit of risk management. Defined by source (what causes it), trigger (what signals it), consequence (what it affects), and owner (who manages it). Risks exist along a spectrum from known-known (identified and quantified) to unknown-unknown (emergent). In construction, most risks are known but unmanaged — the gap is process, not knowledge.","PMI PMBOK Risk Management; ISO 31000; AACE 62R-11","Design conflict, material shortage, permit delay, subcontractor default, weather event, unforeseen condition, scope creep, labor dispute","Risk registers (Excel/Smartsheet); P6 Risk; @Risk; Safran Risk; ARM; Oracle Primavera Risk Analysis","None — no native risk management tool. Risks are inferred from signals: change_events (scope), daily_log_delay (schedule/material), observations (safety/quality), incidents (safety events).",Compare risk frequency and type distribution across project types and value bands,"Risk management in construction is overwhelmingly informal — spreadsheets, meeting discussions, and institutional knowledge. The UCDM can infer risks from structured signals across domains even without a formal risk register."
Risk Framework,Risk Register,"A project-level inventory of all identified risks — the master document that tracks risk identification, assessment, response, and status throughout the project lifecycle. Maintained from preconstruction through closeout. Typically a spreadsheet with columns for description, category, likelihood, impact, score, owner, response, status, and trigger.","PMI PMBOK 11.2; AACE 62R-11; ISO 31000","50–200 risks per major project; reviewed monthly or at phase transitions","Excel; Smartsheet; P6 Risk; ARM; Safran; Oracle Primavera Risk Analysis; custom SharePoint lists","None — no native risk register. Closest proxy: aggregating change events, RFIs, observations, and delays into a risk-like view.",Compare risk register size and category distribution across project types,"Most GCs maintain risk registers in Excel. The opportunity is to auto-populate risk signals from Procore data into an external register — or build one natively."
Risk Framework,Risk Category,"A classification that groups risks by their source or nature — the organizing principle for a risk register. Categories are typically defined at the company or program level and applied consistently across projects.","PMI PMBOK Risk Breakdown Structure (RBS); AACE 62R-11","Design, Construction, Financial, Schedule, Safety, Environmental, Regulatory, Market, Geotechnical, Labor, Coordination, Political, Force Majeure","Risk registers; project management plans; insurance policies","None — no structured risk categorization. Procore signals map to categories: change_reason → design/scope, delay_type → schedule/material, observation.category → safety/quality, incident → safety.",Compare risk category frequency across projects to identify systemic exposure patterns,"Risk categories should map to the UCDM's cross-domain relationships: design risk → Documents & Communications (RFIs), financial risk → Financial Instruments (change orders), safety risk → Quality & Safety Records (observations, incidents)."
Risk Framework,Risk Trigger,"An observable condition or event that signals a risk is materializing — the early warning system. Triggers convert abstract risks into actionable alerts. In construction, triggers are often embedded in daily operations data: an RFI surge signals design risk, a submittal delay signals supply chain risk, recurring safety observations signal hazard risk.","PMI PMBOK 11.6 (Monitor Risks); AACE 62R-11","RFI volume spike, submittal delay, weather forecast, change order rate increase, safety observation recurrence, labor shortage report, permit delay notice","Risk registers; project dashboards; ERP alerts; Procore (via signal analysis)","Low — no native trigger mechanism, but underlying data exists: RFI counts, submittal overdue flags, delay logs, observation patterns. Triggers must be computed from these signals.",Compare trigger frequency and lead time to risk materialization across projects,"Triggers are the bridge between reactive and proactive risk management. Procore's cross-domain data (RFIs + delays + observations + changes) is uniquely positioned to detect triggers that single-domain tools miss."
Risk Framework,Risk Owner,"The person or party responsible for monitoring a risk and executing the response plan — accountability for risk management. In construction, risk ownership follows contractual responsibility: the GC owns means-and-methods risk, the architect owns design risk, the owner owns market/financing risk, subcontractors own trade-specific execution risk.","PMI PMBOK 11.5; AIA A201 (risk allocation); ConsensusDocs","Project Manager, Superintendent, Estimator, Architect, Owner's Rep, Subcontractor PM, Safety Manager","Risk registers; contract documents; meeting minutes","None — no native risk ownership tracking. Project role memberships (project_role_memberships table) identify who holds PM, Super, Safety roles but not risk-specific assignments.",Compare risk ownership distribution across project delivery methods,"Risk ownership often misaligns with contractual responsibility — the party best positioned to manage a risk is not always the party contractually responsible for it."
"--- RISK ASSESSMENT: how risks are evaluated for likelihood, impact, and priority ---",,,,,,,,
Risk Assessment,Likelihood Assessment,"The evaluation of probability that a risk event will occur — qualitative (High/Medium/Low) or quantitative (percentage, frequency). In construction, likelihood is often estimated from historical data: how often has this happened on similar projects? OSHA incident rates, change order frequency, weather patterns, and subcontractor performance history all inform likelihood.","PMI PMBOK 11.3; AACE 62R-11; ISO 31000","Very Low (<10%), Low (10-25%), Medium (25-50%), High (50-75%), Very High (>75%); or 1-5 scale","Risk registers; Monte Carlo tools (@Risk, Crystal Ball, Primavera Risk); actuarial models","None — no native likelihood assessment. Historical rates can be computed from Procore data: incident frequency, change order rate, delay frequency per project type.",Benchmark likelihood by risk category and project type to improve estimation accuracy,"Qualitative likelihood (H/M/L) is standard in construction. Quantitative likelihood is rare outside of large infrastructure projects where Monte Carlo simulation justifies the effort."
Risk Assessment,Impact Assessment,"The evaluation of consequence severity if a risk materializes — measured across one or more dimensions: cost, schedule, quality, safety, reputation. Impact is the 'so what' of risk — a likely event with negligible impact is low priority, while an unlikely event with catastrophic impact (structural failure, fatality) demands active management regardless of probability.","PMI PMBOK 11.3; AACE 62R-11; OSHA severity classifications","Cost impact ($K–$M range); schedule impact (days/weeks); safety severity (first aid → fatality); quality impact (rework scope)","Risk registers; cost estimates; schedule analysis tools; insurance actuarial tables","Low — incident_record.estimated_cost_impact exists for safety events. Change event line items provide cost impact for scope risks. No native multi-dimensional impact scoring.",Compare actual impact by risk category to improve future impact estimation,"Impact assessment is most accurate when grounded in historical data from similar projects — exactly where Procore's cross-company benchmarking creates value."
Risk Assessment,Risk Score,"The combined measure of likelihood × impact that determines risk priority — the basis for triage and resource allocation. Typically displayed as a number (1–25 on a 5×5 matrix) or color (red/amber/green). In construction, risk scores drive which risks get contingency, which get mitigation plans, and which are accepted and monitored.","PMI PMBOK 11.3; ISO 31000; AACE 62R-11","1–5 (low) to 20–25 (critical) on 5×5 matrix; or qualitative H/M/L","Risk registers; risk matrices; Monte Carlo output (expected value)","None — no native risk scoring. Could be computed from Procore signals: frequency × average cost impact from historical change events, incidents, delays.",Compare risk score distributions across projects to identify high-risk patterns,"Risk scores are only as good as the underlying likelihood and impact estimates. Procore data enables evidence-based scoring rather than gut-feel estimates."
Risk Assessment,Risk Matrix,"A visual grid that plots risks by likelihood (y-axis) and impact (x-axis) — the standard tool for risk prioritization. Typically 3×3 or 5×5 with color-coded zones (green = accept, amber = mitigate, red = escalate). The matrix is a communication tool — it makes risk priorities visible to the project team and stakeholders.","PMI PMBOK 11.3; ISO 31000","3×3, 4×4, or 5×5 grid; color-coded (green/amber/red); quadrant-based prioritization","Risk registers (typically embedded); Safran Risk; @Risk; project dashboards; PowerPoint/Excel","None — no native risk matrix visualization. Could be generated from computed risk scores overlaid on a standard grid template.",Compare risk matrix density and distribution patterns across project portfolios,"The risk matrix is the most widely recognized risk management artifact in construction — even teams without formal risk processes understand the red/amber/green framework."
"--- RISK RESPONSE: how risks are addressed once identified and assessed ---",,,,,,,,
Risk Response,Risk Response Type,"The strategic approach to managing an identified risk — the four fundamental options. Each risk in the register should have an assigned response type that determines the nature of the mitigation plan.","PMI PMBOK 11.5; ISO 31000","Avoid (eliminate the risk by changing plans), Mitigate (reduce likelihood or impact), Transfer (shift to another party via contract/insurance/bond), Accept (monitor without active response)","Risk registers; contract documents; insurance policies; meeting minutes","None — no native response tracking. Response types are implicit in actions: change orders (avoid/mitigate), insurance (transfer), contingency (accept).",Compare response type distribution by risk category across projects,"In construction, Transfer is the dominant strategy — subcontracting is fundamentally risk transfer. The GC transfers execution risk to subs while retaining coordination risk."
