Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- COST & WORK CLASSIFICATIONS: standards that organize construction costs and specifications ---",,,,,,,,
Cost & Work Classifications,MasterFormat,"The 50-division classification system published by CSI/CSC that organizes construction costs and specifications by type of work. The single most important standard for cross-company financial data comparison. Divisions map directly to building systems: Division 03 = Concrete → Foundations + Structural Frame, Division 26 = Electrical → Electrical system. Used for cost codes, specification sections, and bid packages. Three levels: division (2-digit), section (4-digit), subsection (6-digit). The UCDM's primary Rosetta Stone between company-specific codes and universal categories.","CSI MasterFormat 2018 (50 divisions); CSI Practice Guide; maintained by Construction Specifications Institute","Div 02 Existing Conditions, 03 Concrete, 05 Metals, 07 Thermal/Moisture, 08 Openings, 09 Finishes, 21 Fire Suppression, 22 Plumbing, 23 HVAC, 26 Electrical, 27 Communications, 31 Earthwork, 32 Exterior Improvements, 33 Utilities","Procore (cost_codes); Sage 300; Viewpoint; CMiC; Foundation; Spectrum; estimating software (Sage Estimating, WinEst, ProEst)","High — cost_codes and cost_code_lists tables map to MasterFormat divisions. standard_cost_code field provides industry-standard mapping. Foundational to all financial tracking.",Normalize company cost codes to MasterFormat divisions for cross-company cost comparison by building system,"Cost codes vary wildly between companies — some follow MasterFormat strictly, others use proprietary numbering. The first 2 digits of a MasterFormat code reliably map to building systems. Company code → MasterFormat division → building system is the primary financial-to-physical mapping path."
Cost & Work Classifications,Specification Section,"A numbered section within a project's technical specifications organized by MasterFormat — defines quality standards, materials, methods, and acceptance criteria for a specific scope of work. Specification sections are the contractual quality standard against which work is inspected and accepted. Each section maps to a MasterFormat number (e.g., 03 30 00 Cast-in-Place Concrete, 09 29 00 Gypsum Board). Sections govern submittals (what must be submitted for approval) and inspections (what must pass).","CSI MasterFormat (section numbering); CSI SectionFormat (internal organization: General, Products, Execution); AIA MasterSpec; ARCOM SpecText","Part 1 General (scope, references, submittals), Part 2 Products (materials, manufacturers, standards), Part 3 Execution (installation, quality control, protection)","Procore (specification_sections); Bluebeam; ProjectWise; Newforma; Specpoint; physical spec books","Medium — specification_sections table exists (section_number, description, revision) and is READY, but adoption depends on whether project teams enter spec sections into Procore. Many projects keep specs as PDF uploads only.",Compare specification section coverage (% of project specs entered as structured data) across projects,"Specification sections link to submittals (specification_section_id on submittals table — sparse but high-value) and to RFIs (spec reference in question). The spec section number directly maps to MasterFormat and building systems."
Cost & Work Classifications,Standard Cost Code List,"A company-standard or industry-standard template of cost codes used to set up new projects — ensures consistency across an organization's project portfolio. Companies may maintain multiple lists for different project types. Standard lists enable cross-project comparison within a company. The UCDM maps company lists to MasterFormat for cross-company comparison.","Company-specific; some industry templates (AGC, AIA); MasterFormat-aligned","3-level hierarchies (division.section.subsection), flat code lists, project-type-specific lists; 50–500 codes per list depending on granularity","Procore (cost_code_lists); Sage 300; Viewpoint; CMiC; Foundation; Excel","High — cost_code_lists table tracks company cost code hierarchies. READY.",Compare cost code list granularity and standardization across companies to assess data quality readiness,"Standard cost code lists are the prerequisite for cross-project financial comparison. Companies without standard lists have inconsistent cost codes across projects — making benchmarking unreliable. cost_code_lists table enables assessment of code standardization."
Cost & Work Classifications,WBS Code Structure,"Work Breakdown Structure code templates that provide a second dimension of cost classification beyond cost codes — segments costs by phase, location, category, or other company-defined dimension. WBS codes add granularity within a cost code: cost code 03 30 00 (Concrete) + WBS 'Foundation' vs. WBS 'Elevated Slab'. Key WBS values like 'Rework' and 'Warranty' are signals for rework cost detection. Adoption varies widely.","PMI PMBOK WBS (§5.4); MIL-STD-881 (defense WBS); company-specific WBS structures","Phase-based (Design, Construction, Closeout), Location-based (Building A, Level 3), Category-based (Rework, Warranty, Original Scope), Hybrid","Procore (wbs_codes); Primavera P6; MS Project; CMiC; Viewpoint","Medium — wbs_codes table exists and is READY, but WBS adoption varies widely across companies. Some use extensively, others not at all.",WBS-level cost segmentation enables building-system-specific and location-specific benchmarking,"WBS 'Rework' and 'Warranty' segments are high-confidence signals for rework cost detection (validated in insight #1). Budget codes serve a similar reporting purpose but are less standardized."
Cost & Work Classifications,Budget Code Structure,"Company-specific grouping codes applied to budget line items for executive reporting — distinct from cost codes (transactional) and WBS codes (segmentation). Budget codes group budget lines into roll-up categories (Structure, Enclosure, MEP, General Conditions, Contingency). Less standardized than cost codes but valuable for executive dashboards and portfolio views.","Company-specific; loosely aligned with UniFormat categories; no universal standard","Structure, Enclosure, MEP, General Conditions, Contingency, Site, Interiors, Overhead, Fee","Procore (budget_codes); Sage 300; Viewpoint; CMiC; Excel","Medium — budget_codes table exists but NOT READY for import. Not all companies use budget codes.",Compare budget code roll-up categories across companies to enable executive-level cost comparison,"Budget codes with values like 'Rework' or 'Warranty' are rework cost detection signals (339 cos validated). Budget codes are the least standardized of the three code types (cost code > WBS > budget code). Can map to building system groups."
"--- BUILDING & ELEMENT CLASSIFICATIONS: standards that classify what is being built ---",,,,,,,,
Building & Element Classifications,UniFormat,"A building element classification system that organizes construction by functional systems rather than by product type — the complement to MasterFormat. While MasterFormat classifies by WHAT is installed (materials, products), UniFormat classifies by WHAT IT DOES (function, system). Used for conceptual estimating, systems-level cost analysis, and facility lifecycle management. Levels: Level 1 (Major Group Elements: A Substructure, B Shell, C Interiors, D Services), Level 2, Level 3.","ASTM E1557 (UniFormat); maintained by CSI/CSC alongside MasterFormat","A Substructure (A10 Foundations, A20 Basement), B Shell (B10 Superstructure, B20 Exterior Enclosure, B30 Roofing), C Interiors (C10 Construction, C20 Stairs, C30 Finishes), D Services (D10 Conveying, D20 Plumbing, D30 HVAC, D40 Fire Protection, D50 Electrical)","Estimating software (RSMeans, DProfiler, Sage Estimating); BIM tools (Revit); Procore (conceptual — not a native classification)","Low — Procore does not natively use UniFormat. No dedicated UniFormat table. Budget codes may loosely align with UniFormat categories but are not standardized.",Compare building system costs at UniFormat Level 2 across project types for conceptual benchmarking,"UniFormat is the natural classification for the UCDM Building Elements domain. The taxonomy-building-elements.csv categories (Foundations, Structural Frame, Exterior Enclosure, etc.) align with UniFormat Level 2 groups. Cross-reference: MasterFormat divisions map to UniFormat elements."
Building & Element Classifications,OmniClass,"A comprehensive classification system covering ALL construction entities — buildings, spaces, elements, products, phases, disciplines, and more. Organized in 15 tables covering different facets of construction (Table 21: Elements, Table 22: Work Results, Table 23: Products, Table 31: Phases, Table 33: Disciplines, Table 34: Organizational Roles). Designed as a unifying framework for BIM and facility management. Rarely used directly in field operations but important for data interoperability.","ASTM E2271 (OmniClass); maintained by CSI; aligns with ISO 12006-2 (building classification)","Table 11 Construction Entities, Table 13 Spaces, Table 21 Elements (UniFormat-based), Table 22 Work Results (MasterFormat-based), Table 23 Products, Table 31 Phases, Table 33 Disciplines, Table 34 Organizational Roles, Table 36 Information","BIM authoring tools (Revit, ArchiCAD); IFC-based platforms; asset management systems; COBie","None — Procore does not use OmniClass natively. No OmniClass tables or fields in the data model.",OmniClass Table 21 (Elements) provides a universal benchmarking framework for building system costs,"OmniClass is the most comprehensive classification but the least adopted in practice. Its value is as a mapping target — the UCDM can map its own domains to OmniClass tables for interoperability with BIM and FM systems."
Building & Element Classifications,IFC Classification (buildingSMART),"Industry Foundation Classes — an open data standard for BIM that defines entity types, properties, and relationships for all building elements. IFC entities (IfcWall, IfcDoor, IfcDuctSegment, etc.) provide a machine-readable classification of building elements that complements UniFormat and MasterFormat. Used for BIM coordination, clash detection, and digital twin integration.","ISO 16739 (IFC); buildingSMART International; IFC4 (current), IFC4x3 (infrastructure)","IfcWall, IfcSlab, IfcBeam, IfcColumn, IfcDoor, IfcWindow, IfcDuctSegment, IfcPipeSegment, IfcCableSegment, IfcFireSuppressionTerminal","Revit; ArchiCAD; Tekla; Navisworks; Solibri; BIM 360; open BIM platforms","None — Procore does not natively import or classify by IFC entity type. BIM models are viewed in Procore but IFC classification is not exposed as structured data.",IFC entity type mapping enables BIM-to-UCDM building element cross-reference,"IFC is the bridge between BIM and construction management data. Mapping IFC entities to UCDM building elements enables automated classification of model elements into the taxonomy. The coordination_issue table in Procore captures BIM coordination findings."
"--- SAFETY & HAZARD CLASSIFICATIONS: standards that categorize safety risks and regulatory requirements ---",,,,,,,,
Safety & Hazard Classifications,OSHA Hazard Categories,"Standardized safety hazard types defined by OSHA for construction — the Focus Four hazards (Fall, Struck By, Electrical, Caught In/Between) plus additional categories. These categories align directly with observation.hazard_name in Procore — an OSHA-aligned structured taxonomy with 16 types having 50+ companies each. The primary classification for safety observation analysis and recurrence tracking.","OSHA 29 CFR 1926 (Construction Safety Standards); OSHA Focus Four Hazards; BLS injury classification","Fall Protection, Struck By, Electrical, Caught In/Between, Housekeeping, PPE, Scaffolding, Excavation, Ladder Safety, Fire Prevention, Confined Space, Crane/Rigging, Trenching, Welding/Hot Work","Procore (observation.hazard_name); iAuditor/SafetyCulture; OSHA reporting systems; company safety databases","High — observation.hazard_name provides OSHA-aligned structured taxonomy. 55% populated on safety observations. 16 types with 50+ cos each.",Compare hazard type frequency and recurrence rates across project types and trades to benchmark safety risk profiles,"OSHA hazard categories are validated as the primary safety classification in the UCDM (insight #11). hazard_name is 45% null — enrichment opportunity. Recurrence rates range 29–45% by hazard type. Fall Protection has highest volume across all project types."
