Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- PROCUREMENT LIFECYCLE: the process of scoping, soliciting, evaluating, and awarding construction work ---",,,,,,,,
Procurement Lifecycle,Prequalification,"Vetting of a contractor or vendor's financial health, safety record, bonding capacity, and relevant experience BEFORE they are invited to bid. The gatekeeping step that determines who is eligible to compete for work. Evaluates EMR, TRIR, financials, references, and license status.","AGC Prequalification Standards; AIA A305 (Contractor's Qualification Statement); Dun & Bradstreet","Financial review, safety record (EMR < 1.0), bonding capacity, trade license verification, project references","Procore (Prequalification tool); TradeTapp; ISNetworld; Avetta; BuildingConnected","None — Procore has a Prequalification tool but no tables in the data warehouse gold layer","Prequalification pass rates and common disqualification reasons benchmark subcontractor pool quality by market","Procore Prequalification exists as a product but data is not yet in the analytics layer. TradeTapp and ISNetworld are major third-party platforms."
Procurement Lifecycle,Bid Package,"A defined scope of work issued to qualified contractors for competitive pricing. Bundles drawings, specifications, schedule, and commercial terms into a single solicitation. The unit of procurement — one package per trade or work scope.","AIA A701 (Instructions to Bidders); AGC; ConsensusDocs","By trade: Concrete, Structural Steel, MEP, Drywall, Roofing, Elevators","Procore (Bidding tool); BuildingConnected; SmartBid; iSqFt; PlanHub","None — Procore has a Bidding module but no tables in the data warehouse gold layer","Bid package count and coverage percentage reveal how much of the project scope is competitively bid vs. sole-sourced","Bid packages are typically organized by CSI MasterFormat division. The number of packages varies by delivery method (hard bid = many, CM/GC = fewer, design-build = fewest)."
Procurement Lifecycle,Request for Qualification,"Formal solicitation to assess contractor capabilities before inviting bids. Used on complex or specialized scopes where not all contractors can perform the work. Shortlists the field before pricing begins.","AIA; AGC; federal FAR (for public work)","RFQ for structural steel erection, curtain wall, elevator, fire protection","Procore; BuildingConnected; SmartBid; PlanHub","None — no RFQ-specific data in the data warehouse","RFQ response rates by trade and market reveal subcontractor availability and competitive landscape","RFQs are most common on owner-driven projects and large GC programs. Design-build uses RFQs at the prime contract level."
Procurement Lifecycle,Request for Proposal,"Detailed solicitation requesting scope, approach, schedule, and price from qualified contractors. More comprehensive than a simple bid — evaluates methodology, not just price. Common on negotiated or best-value procurements.","AIA; AGC; federal FAR; DBIA","Design-build RFP, CM-at-risk RFP, specialty trade RFP","Procore; BuildingConnected; SmartBid; PlanHub","None — no RFP-specific data in the data warehouse","RFP-to-award conversion rates and response timelines benchmark procurement process efficiency","RFPs are the standard for design-build, CM/GC, and public best-value projects. Pure hard-bid projects skip RFPs and go straight to ITB."
Procurement Lifecycle,Proposal / Bid,"A contractor's formal response to an ITB, RFQ, or RFP — includes pricing, scope clarifications, exclusions, alternates, and schedule. The document that becomes the basis for contract negotiation upon award.","AIA; AGC; ConsensusDocs","Lump sum bid, unit price bid, GMP proposal, T&M proposal, design-build proposal","Procore (Bidding tool); BuildingConnected; SmartBid; Excel","None — Procore Bidding module captures bids but data not in warehouse","Bid spread (high-to-low ratio) and number of bidders per package benchmark market competitiveness","Bid leveling (comparing proposals across bidders) is typically done in Excel. Number of bidders per package is a key market health indicator."
Procurement Lifecycle,Bid Evaluation / Leveling,"Comparative analysis of competing proposals — normalizing scope, pricing, qualifications, and exclusions to make an apples-to-apples recommendation. Identifies the apparent low bidder or best-value selection.","AIA; AGC; FAR (federal evaluation criteria)","Price comparison, scope gap analysis, exclusion identification, reference checks, schedule evaluation","Excel; BuildingConnected; Procore (Bidding tool); SmartBid","None — bid leveling is manual/Excel-based even in Procore's Bidding module","Average number of bidders per package, bid spread, and evaluation cycle time benchmark procurement competitiveness","Bid leveling is one of the most Excel-dependent processes in construction. No PM system fully automates scope normalization."
Procurement Lifecycle,Award / Notice to Proceed,"Formal notification to the selected contractor that they have won the work and are authorized to begin. Triggers mobilization, procurement, and insurance/bonding requirements. May precede the executed contract via a Letter of Intent.","AIA A101/A201; AGC; ConsensusDocs","Award letter, Letter of Intent (LOI), Notice to Proceed (NTP), verbal authorization","Procore; Sage 300; Viewpoint; CMiC; BuildingConnected","Low — award is implicit when a commitment is created in Procore, but no formal award/NTP tracking exists","Time from bid opening to award/NTP benchmarks procurement decision speed and organizational agility","LOI vs. NTP vs. executed contract: many subs start work on an LOI before the contract is signed. This creates risk exposure for the GC."
"--- CONTRACT INSTRUMENTS: the executed agreements that define scope, price, and terms (financial detail in Financial Instruments domain) ---",,,,,,,,
Contract Instruments,Subcontract,"Executed agreement between a general contractor and a subcontractor for a defined scope of work at an agreed price. The primary commercial vehicle for trade work. Includes scope, price, schedule, insurance, and flow-down terms.","AIA A401 (Standard Subcontract); AGC ConsensusDocs 750","Lump sum, GMP, unit price, T&M, cost-plus","Procore; Sage 300; Viewpoint Vista; CMiC; Foundation; Spectrum","High — commitments table with type, status, value, vendor. Widely adopted.","Contract value distribution by trade reveals where project dollars concentrate — drives negotiation leverage analysis","In Procore, subcontracts are stored as commitments with type classification. Financial detail (line items, COs, invoicing) lives in Financial Instruments domain."
Contract Instruments,Purchase Order,"Agreement for material supply, equipment rental, or services at a specified price. Simpler than a subcontract — typically no labor/scope-of-work component. Tracks what was ordered, from whom, at what cost.","UCC (Uniform Commercial Code); company-specific","Material PO, equipment rental PO, service PO","Procore; Sage 300; Viewpoint; CMiC; Foundation","High — commitments table includes POs. materials_purchase_order table exists but NOT ready.","PO volume and value by material category reveals procurement concentration and supply chain risk","In Procore, POs are commitments with a different type classification. The workforce.materials_purchase_order table would add detailed PO data when ready."
Contract Instruments,Prime Contract,"Agreement between the project owner and the general contractor or CM. The top-level commercial agreement that defines the overall project price, scope, schedule, and terms. All subcontracts flow down from this.","AIA A101/A102/A103; AGC ConsensusDocs 200; DBIA","Lump sum, GMP, cost-plus, design-build, CM-at-risk, IPD","Procore; Sage 300; Viewpoint; CMiC; Oracle Unifier","Low — prime_contracts table exists but is NOT ready for import in the data warehouse","Prime contract type and value distribution benchmarks delivery method trends by market and project type","Prime contract data in Procore is sparse. Most GCs track prime contract terms in their ERP or contract management system, not Procore."
Contract Instruments,Master Service Agreement,"Standing agreement with a vendor or subcontractor that covers multiple projects or a defined time period. Sets standard terms so individual project work orders can be issued without full contract negotiation each time.","AGC; company-specific","Annual MSA, multi-project MSA, vendor blanket PO","Sage 300; Viewpoint; CMiC; Oracle; SAP","None — no MSA tracking in Procore. Each project commitment is standalone.","MSA coverage rate (% of contracts under MSAs) benchmarks procurement maturity and vendor relationship management","MSAs are an enterprise procurement tool — most common on large programs or with repeat subcontractors. Procore's project-centric model doesn't support cross-project agreements."
"--- CONTRACT TERMS & EXHIBITS: the commercial provisions that define obligations, risks, and payment structure ---",,,,,,,,
Contract Terms & Exhibits,Scope of Work,"Detailed description of contracted work — defines what the subcontractor or vendor is responsible for delivering. May reference drawings, specifications, and schedule. The single most important exhibit to any construction contract.","AIA A201; AGC; CSI SectionFormat","Division-based scope (03 Concrete, 09 Finishes), activity-based scope, area-based scope","Procore; Bluebeam; Word/PDF; Sage 300","Low — commitment description field exists but scope detail lives in attached documents, not structured data","Scope completeness and clarity correlate with change order rates — vague scopes generate more changes","Scope of work is almost always a PDF/Word attachment, not structured data. NLP on commitment descriptions is the best path to scope classification."
Contract Terms & Exhibits,General Conditions,"The standard legal and administrative terms that apply to all contracts on a project — defines roles, responsibilities, dispute resolution, insurance requirements, and procedural obligations. The 'rules of the game' for the project.","AIA A201 (General Conditions); AGC ConsensusDocs; EJCDC","AIA A201, ConsensusDocs 200, modified/supplementary conditions, owner-specific","Legal document — not in PM software","None — general conditions are legal documents stored outside PM systems","Modification frequency and type of supplementary conditions reveal risk allocation trends by owner type","GCs and owners negotiate supplementary conditions that modify the standard AIA or AGC terms. These modifications define the actual risk allocation."
Contract Terms & Exhibits,Retainage Terms,"Contractual provision specifying the percentage of each payment withheld until substantial completion or final acceptance. Protects the owner/GC against incomplete or defective work. Typically 5-10% of contract value.","AIA A201 (9.3.1); state lien laws; Miller Act (federal)","5% standard, 10% on first 50% then 0%, graduated release, 0% (waived)","Procore; Sage 300; Viewpoint; CMiC","Medium — retainage tracked on invoices and commitments but retainage TERMS (percentage, release conditions) are not structured fields","Retainage rates and release timing benchmark payment practices by market and owner type","Retainage rules vary by state law. Some states cap retainage at 5%. Financial detail (actual retainage amounts) lives in Financial Instruments domain."
Contract Terms & Exhibits,Liquidated Damages,"Pre-agreed daily or milestone-based financial penalty for late completion. Establishes the cost of delay without requiring the owner to prove actual damages. A critical risk term that drives schedule urgency.","AIA A201 (4.3); AGC; state contract law","$500-$50,000/day depending on project size and type. Milestone-based LDs for phased projects.","P6 (schedule-linked); contract documents; Sage 300","None — LD terms are in contract documents, not tracked in PM software. LD calculations happen in Excel or ERP.","LD exposure by project type and contract value benchmarks schedule risk pricing","LDs create strong incentive alignment but are almost never tracked in construction PM systems. LD exposure is computed from contract terms × schedule variance."
Contract Terms & Exhibits,Allowance,"A budgeted amount included in the contract for work that cannot be fully defined at contract execution. Spent against actual costs as scope is clarified. Commonly used for concealed conditions, owner selections, or design development items.","AIA A201 (3.8); AGC","Owner selection allowance, concealed condition allowance, design development allowance, testing allowance","Procore; Sage 300; Viewpoint; CMiC","Medium — allowances can be tracked as budget line items but lack dedicated allowance tracking. Financial detail in Financial Instruments.","Allowance burn rate and overrun frequency benchmark estimating accuracy and scope definition quality","Allowances are a financial planning tool detailed in Financial Instruments. Listed here for the commercial/contractual context — they define where scope risk is allocated."
