Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- DESIGN & CONSTRUCTION DOCUMENTS: the drawings, specifications, and models that define what to build ---",,,,,,,,
Design & Construction Documents,Drawing Set,"Complete package of design documents issued for a project phase — architectural, structural, MEP, civil, landscape sheets organized by discipline and numbered by convention. Issued at milestones (SD, DD, CD, IFC, As-Built). Each set supersedes the prior issue. The authoritative record of design intent.","AIA E202 (BIM Protocol), AIA G702, NCS (National CAD Standard), US National BIM Standard","Schematic Design (SD), Design Development (DD), Construction Documents (CD), Issued for Construction (IFC), Issued for Permit, As-Built, Record Set","Bluebeam, Procore, PlanGrid (Autodesk), Newforma, ProjectWise (Bentley), BIM 360 Docs, SharePoint, Physical plan rooms","High — drawing_revision table tracks all revisions with discipline, number, revision number, dates. Widely adopted across projects.","Drawing revision frequency by discipline; revision volume over time; late-stage revision rate (post-IFC revisions signal design instability)","Drawing sets are the primary REFERENCES target — RFIs, submittals, observations, and punch items all reference specific drawing sheets. VERSIONED_AS relationship tracks revision history. Cross-domain: GOVERNS building elements."
Design & Construction Documents,Drawing Sheet,"Individual sheet within a drawing set — identified by discipline prefix and sheet number (e.g., S-301, M-201, A-102). Contains plan views, sections, details, schedules, and notes for a specific scope. Sheets carry a revision block tracking issue dates and revision descriptions.","NCS (sheet numbering convention), AIA CAD Layer Guidelines","Architectural (A-series), Structural (S-series), Mechanical (M-series), Electrical (E-series), Plumbing (P-series), Civil (C-series), Landscape (L-series), Fire Protection (FP-series)","Bluebeam, Procore, PlanGrid, AutoCAD, Revit, ProjectWise","High — drawing_revision captures individual sheet-level data: discipline, number, revision, received_date, current flag. Sheet-level tracking is core functionality.","Sheets per discipline; revision count per sheet; average revisions per sheet by discipline (structural vs. architectural)","Sheets are what RFIs reference (drawing_number field on rfis). Most granular unit of design documentation. ATTACHED_TO locations via plan markups."
Design & Construction Documents,Drawing Revision,"A new version of a drawing sheet issued to correct errors, incorporate changes, or add information. Tracked by revision number (Rev A, Rev B, or numeric) with a revision date and description of changes. Each revision supersedes the prior version. Revision clouds on the sheet highlight changed areas.","AIA standard revision tracking, NCS revision block format","Rev 0 (original issue), Rev A/B/C or Rev 1/2/3, Addendum revisions, Bulletin revisions, ASI revisions","Bluebeam, Procore, PlanGrid, Newforma, ProjectWise","High — drawing_revision table is the primary record. Fields: revision number, revision date, received_date, description, discipline, current (boolean). Well-structured and widely adopted.","Revision volume by phase; revisions per drawing; post-IFC revision rate; time between revisions","VERSIONED_AS relationship. Post-IFC revisions almost always generate change orders — high correlation with cost growth. ORIGINATED_FROM design changes, ASIs, or RFI responses."
Design & Construction Documents,Specification Section,"Written document defining material, product, and installation requirements for a specific scope of work — organized by CSI MasterFormat division and section number. Contains Part 1 (General), Part 2 (Products), Part 3 (Execution). Spec sections are the legal standard for quality; conflicts between specs and drawings generate RFIs.","CSI MasterFormat (50 divisions), CSI SectionFormat (3-part structure), ASTM referenced standards","Division 03 30 00 Cast-in-Place Concrete, Division 05 12 00 Structural Steel, Division 08 44 00 Curtain Walls, Division 09 29 00 Gypsum Board, Division 26 05 00 Common Work Results for Electrical","Specpoint, BSD SpecLink, e-SPEC, Procore, Bluebeam (for review), Word/PDF (authoring)","Medium — specification_sections table exists with section number, description, and revision tracking. Used for submittal and RFI cross-referencing. Adoption depends on whether the project team enters spec sections into Procore.","Spec sections per project by division; spec-to-submittal coverage ratio","GOVERNS materials and installation quality. Submittals are organized by spec section (specification_section_id on submittals). RFIs often reference spec sections. The bridge between design intent and construction quality."
Design & Construction Documents,Addendum,"Formal modification to bidding or contract documents issued before contract execution — changes drawings, specs, or bid conditions. Numbered sequentially (Addendum 1, 2, 3). Issued during bidding to address errors, respond to bidder questions, or modify scope. All bidders must acknowledge receipt. After contract execution, changes become ASIs or change orders instead.","AIA A701 (Instructions to Bidders), AIA A201 (General Conditions §1.1)","Addendum 1, 2, 3; Drawing revisions via addendum; Spec section revisions; Bid form modifications; Bid date extensions","Procore (as correspondence or document), Bluebeam, email, physical distribution","Low — no dedicated addendum table. Tracked as correspondence or uploaded documents. Not structured as a distinct record type.","Addendum count per project; addenda issued within 7 days of bid (late addenda correlate with bid errors)","SUPERSEDES prior bid document versions. Addenda volume during bidding indicates design completeness. High addendum count = design not ready for bidding. BECOMES contract document upon execution."
Design & Construction Documents,Bulletin / Architect's Supplemental Instruction (ASI),"Post-contract design clarification or minor change issued by the architect that does not change the contract sum or time. ASIs modify drawings or specs to clarify intent, correct minor errors, or adjust details. If the change affects cost or schedule, it should be a change order, not an ASI — disputes over this boundary generate claims.","AIA G710 (Architect's Supplemental Instructions)","ASI-001, ASI-002; Drawing revisions via ASI; Spec clarifications; Detail modifications","Procore (as correspondence or site instruction), Newforma, email, AIA forms","Low — no dedicated ASI table. Typically entered as correspondence or site instruction. Some teams use custom correspondence types.","ASI count per project; ASI-to-change-order conversion rate (ASIs that should have been COs)","Contentious document type: GCs argue ASIs that affect cost should be change orders. ORIGINATED_FROM design review or field conditions. TRIGGERS drawing revisions. Cost impact disputes are common."
"--- REQUESTS & CLARIFICATIONS: formal questions and information exchanges that drive decisions ---",,,,,,,,
Requests & Clarifications,Request for Information (RFI),"Formal question from the contractor to the design team requesting clarification on drawings, specs, or design intent. RFIs have a structured lifecycle: initiated → assigned → responded → closed/accepted. Each RFI identifies the requesting party, assigned responder (typically architect or engineer of record), drawing/spec reference, due date, and cost/schedule impact flags. The answer becomes a binding project document.","AIA G716 (Request for Information), ConsensusDocs 200","Open, Closed, Draft, Overdue; Cost impact: yes_known, yes_unknown, no_impact, tbd, n_a; Schedule impact: yes/no with days; Priority: Normal, Urgent, Emergency","Procore, PlanGrid, Newforma, Aconex, Submittal Exchange, email (legacy)","High — rfis table is one of the most structured and adopted tools. Fields: subject, question, status, cost_impact, schedule_impact, predicted_topic (ML-classified, 176 topics, 91% populated), drawing_number, due_date, due_date_variance, ball_in_court, responsible_contractor, assignees, overdue flag. 17,540+ cos.","RFI volume per project; response time (days); overdue rate; RFI-to-change-order conversion rate; RFI volume by predicted_topic; cost/schedule impact rate","The strongest structured document signal in Procore. predicted_topic enables zero-NLP topic classification. ORIGINATED_FROM design ambiguity or field conditions. BECOMES change_event when cost impact is confirmed (origin_type = 'Rfi::Header'). REFERENCES drawing sheets and spec sections."
Requests & Clarifications,RFI Response,"Formal answer to an RFI from the design team — provides the clarification, direction, or decision requested. May include supplementary sketches, revised details, or references to existing drawings. Response status (official vs. preliminary) affects contractual weight. Multiple responses may occur on a single RFI if follow-up is needed.","AIA G716","Official response, Preliminary response, Follow-up response; Response with supplemental sketch; Response referencing ASI","Procore, PlanGrid, Newforma, email","High — rfi_responses table tracks each response with text, responder, date, and official status. rfi_assignees tracks who is responsible for responding.","Average response time; response time by assignee (architect vs. engineer); overdue response rate","RESPONDS_TO the RFI question. Response quality affects downstream work — vague responses generate follow-up RFIs. Late responses delay construction. LINKED_TO drawing revisions when the response triggers a design change."
