System,Resource Type,Resource Name,Involvement,Notes
Site & Earthwork,Trade,General Laborer,Primary,"Site prep, cleanup, erosion control"
Site & Earthwork,Trade,Equipment Operator,Primary,"Excavators, loaders, compactors"
Site & Earthwork,Trade,Surveyor / Layout,Primary,"Site layout, control points, grade verification"
Site & Earthwork,Trade,Concrete Worker,Supporting,"Shoring elements, concrete encasement"
Site & Earthwork,Equipment,Excavator,Primary,"Bulk and detailed excavation"
Site & Earthwork,Equipment,Loader / Backhoe,Primary,"Material handling, light excavation, backfill"
Site & Earthwork,Equipment,Compactor,Primary,"Soil and base compaction"
Site & Earthwork,Equipment,Generator / Temp Power,Supporting,"Power before permanent service"
Site & Earthwork,Material,Soil / Fill Material,Primary,"Not in Procore material tables — tracked via delivery logs"
Foundations,Trade,Concrete Worker,Primary,"Forming, placing, finishing all foundation concrete"
Foundations,Trade,Carpenter,Primary,"Formwork construction and stripping"
Foundations,Trade,Ironworker / Steel Erector,Supporting,"Rebar placement, embed setting"
Foundations,Trade,Equipment Operator,Primary,"Crane for pile driving, concrete pump operation"
Foundations,Trade,General Laborer,Supporting,"Cleanup, material handling, waterproofing labor"
Foundations,Trade,Surveyor / Layout,Primary,"Foundation layout, pile locations, grade checks"
Foundations,Trade,Plumber / Pipefitter,Supporting,"Underslab plumbing rough-in before slab pour"
Foundations,Equipment,Excavator,Primary,"Foundation excavation, pile pre-drilling"
Foundations,Equipment,Concrete Pump,Primary,"Foundation and slab pours"
Foundations,Equipment,Mobile Crane,Supporting,"Pile driving, heavy formwork, precast setting"
Foundations,Equipment,Compactor,Supporting,"Backfill compaction around foundations"
Foundations,Material,Concrete (ready-mix & precast),Primary,"Foundation concrete, slab on grade"
Foundations,Material,Rebar & Reinforcing,Primary,"Foundation and slab reinforcing"
Foundations,Material,Lumber & Wood,Supporting,"Formwork material"
Foundations,Material,Waterproofing & Sealants,Supporting,"Below-grade waterproofing, vapor barrier"
Site Utilities,Trade,Plumber / Pipefitter,Primary,"Water, sewer, storm, gas piping"
Site Utilities,Trade,Electrician,Primary,"Site electrical, ductbank"
Site Utilities,Trade,Equipment Operator,Primary,"Trench excavation, backfill"
Site Utilities,Trade,General Laborer,Supporting,"Trench safety, pipe bedding, backfill"
Site Utilities,Equipment,Excavator,Primary,"Trench excavation"
Site Utilities,Equipment,Loader / Backhoe,Primary,"Light trenching, backfill, pipe handling"
Site Utilities,Equipment,Compactor,Primary,"Trench backfill compaction"
Site Utilities,Material,Piping & Plumbing Materials,Primary,"Ductile iron, PVC, HDPE pipe"
Site Utilities,Material,Concrete (ready-mix & precast),Supporting,"Manholes, thrust blocks, encasement"
