Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
"--- ACTIVITY STRUCTURE: how work is represented in the schedule ---",,,,,,,,
Activity Structure,Detail Activity,"The lowest-level schedulable work item — has its own duration, logic ties, resources, and cost assignment. The fundamental unit of CPM scheduling. Typical duration 5-20 working days; activities exceeding 20 days indicate insufficient detail. Includes Level of Effort (LOE) for time-dependent items (supervision, general conditions, temporary facilities) that span a period regardless of work accomplished.","AACE 10S-90; PMI PMBOK","5-20 working day duration (typical); should not exceed 2 update periods; LOE for supervision/general conditions","P6; MS Project; Asta Powerproject; Procore; Tilos","High — scheduling activity tables with duration, dates, progress, and resource fields",Activity count and average duration are key schedule quality metrics,"Activities > 40 working days are a red flag in most specifications. LOE activities should not be on the critical path."
Activity Structure,Summary Activity & WBS,"Roll-up activity that aggregates child activities into a single bar — no independent duration or resources. Used for Work Breakdown Structure nodes, phase summaries, and area roll-ups. Hammock activities span between two other activities and recalculate automatically. Summary and WBS nodes organize the schedule hierarchy for filtering, reporting, and executive communication.",AACE 10S-90; PMI PMBOK,"WBS summary, phase summary, area summary, hammock (duration-driven span)","P6; MS Project; Asta Powerproject; Procore",Medium — imported from CPM tool; WBS structure visible but hierarchy may flatten on import,Activity count by level indicates schedule hierarchy depth and organization quality,"Summary activities should not have logic ties in most specifications. Hammocks are useful for measuring elapsed time of a phase."
Activity Structure,Milestone,"Zero-duration marker representing a key event — start milestone or finish milestone. Contractual milestones carry liquidated damages. Interim milestones (dry-in, permanent power, certificate of occupancy) are schedule gates that trigger downstream work. The primary communication tool between owner and contractor for schedule status.","AACE 10S-90; PMI PMBOK","Start milestones, finish milestones, contractual milestones, interim milestones, procurement milestones","P6; MS Project; Procore","High — milestones identified by zero duration in schedule tables; calendar items also capture milestones",Milestone adherence rate = milestones hit on time / milestones due,"Contractual milestones with liquidated damages are the highest-consequence schedule elements."
Activity Structure,Activity Identification,"The naming and coding conventions that make activities findable, filterable, and analyzable. Activity ID follows a coding convention encoding phase/area/trade (e.g., A1000, 03-EL-0100). Activity Name should describe scope, location, and trade (e.g., 'Install Ductwork - Floor 3 Zone A'). Consistent identification enables automated analysis and NLP-based activity classification across projects.",AACE 10S-90,"ID format varies by contractor; Name format: [Action] [Element] [Location]","P6; MS Project; Procore",High — activity ID and name imported from source tool; custom fields support additional coding,Name consistency enables NLP-based activity classification for cross-project comparison,"Good IDs encode WBS level, trade, and sequence. Good names include what work, where, by whom. Quality varies enormously across contractors."
Activity Structure,Duration & Progress,"The time dimension of an activity — original duration (planned at baseline), remaining duration (days left from data date), actual start/finish dates, and percent complete. Duration types: Fixed Duration (most common — adding crew doesn't proportionally reduce time), Fixed Units (resource-driven), Physical % Complete (quantity-based — most reliable for earned value). Progress tracking method determines earned value accuracy.","AACE 10S-90; PMI PMBOK","Original 5-20 working days; Remaining = Original x (1-% Complete); Physical % preferred over duration %","P6; MS Project; Procore; field measurement systems","High — duration, actual dates, and percent complete fields in scheduling tables; daily productivity logs validate physical progress",Average duration is a schedule quality metric; remaining duration inflation signals trouble,"Remaining duration creep (remaining > original) is a leading indicator of schedule slip. Physical % from field measurement is most accurate."
Activity Structure,Activity Codes,"Classification codes assigned to activities for grouping, filtering, sorting, and reporting — the dimensional analysis framework for schedule data. Common codes: Trade (electrical, mechanical), Area/Zone (Building A Floor 3), Phase (foundations, structure), Responsibility (GC, sub name), CSI Division. Code completeness determines what analytics are possible.","AACE 10S-90; CSI MasterFormat (for trade/division codes)","Trade, area/zone, phase, responsibility, CSI division, building system, crew","P6 (Activity Codes); MS Project (custom fields); Procore (custom fields on activities)",Medium — custom field framework supports activity codes but adoption depends on contractor setup,Code completeness enables dimensional analysis; consistent trade codes allow cross-project comparison,"Custom field framework replaces rigid activity code structures with extensible fields. Enables trade, area, phase, and responsibility analysis."
"--- LOGIC & DEPENDENCIES: how activities connect and drive the schedule ---",,,,,,,,
Logic & Dependencies,Relationship Type,"The logical connection between two activities that drives the CPM calculation. Four types: Finish-to-Start (FS, most common, ~80-90% of ties), Start-to-Start (SS, overlapping work), Finish-to-Finish (FF, activities ending together), Start-to-Finish (SF, rarely used, often error). SS+FF pairs represent parallel work sequences. Relationship type ratios are a core schedule quality metric — specifications often require >80% FS.","AACE 10S-90; PMI PMBOK","FS (~80-90% of ties), SS (often paired with FF), FF (paired with SS), SF (<1% — often error)","P6; MS Project; Procore",High — scheduling relationship tables capture typed dependencies with lag values,FS ratio is a schedule quality metric; specs often require >80% FS,"Heavy SS/FF without pairing can obscure the critical path. SF ties should be flagged for review. DCMA 14-point check #4."
Logic & Dependencies,Lag & Lead Time,"Time offset on a logical relationship — positive lag represents waiting time (concrete cure 7-28 days, submittal review 14-21 days, coating dry 1-3 days). Negative lag (lead) represents overlap — many specifications prohibit entirely. Lag should represent real waiting time with documented justification. Excessive lag can hide float and distort the critical path. Lag used to manipulate float is a common schedule gaming tactic.","AACE 10S-90; PMI PMBOK","Concrete cure 7-28 days; submittal review 14-21 days; coating dry 1-3 days; negative lag prohibited by many specs","P6; MS Project; Procore",High — lag values captured on relationships with display units,Lag ratio (activities with lag / total) indicates potential schedule manipulation,"Best practice: use SS relationships instead of negative lag on FS ties. Lag >20 days should document what's being waited for. DCMA checks #2 and #3."
